,Date,High,Low,Open,Close,Volume,Adj Close
0,1/3/2017,4657,4603,4628,4612,2356727,3229.901611
1,1/4/2017,4625.518066,4574.5,4576,4591.5,2000461,3215.544678
2,1/5/2017,4852.75,4566.5,4582,4580,2682431,3207.490723
3,1/6/2017,4600,4557.5,4558,4574,2324882,3203.28833
4,1/9/2017,4681.5,4586,4591,4675,2505235,3274.020752
5,1/10/2017,4687,4603.895996,4673.5,4672,2167306,3271.920654
6,1/11/2017,4731,4650.5,4650.5,4713,2734814,3300.634033
7,1/12/2017,4728,4676,4680,4705,2918851,3295.031738
8,1/13/2017,4741.5,4704,4727.5,4729.5,2114803,3312.189453
9,1/16/2017,4763.453125,4721.5,4735.5,4762.5,1640639,3335.300781
10,1/17/2017,4820,4569,4810,4580,10020823,3207.490723
11,1/18/2017,4697.5,4615,4620,4634,8092042,3245.307861
12,1/19/2017,4736.5,4593.751953,4680,4734,7788887,3315.341064
13,1/20/2017,4810.359863,4703.681152,4750,4760,5256250,3333.549561
14,1/23/2017,4800.551758,4711,4718.5,4767,4981457,3338.451904
15,1/24/2017,4811.5,4755,4778,4800,4466633,3361.561768
16,1/25/2017,4894,4795,4811.5,4894,4918262,3427.393066
17,1/26/2017,4937,4853.827148,4888.5,4929.5,4359672,3452.254639
18,1/27/2017,4949.140137,4896.674805,4910.5,4920.5,3713728,3445.951172
19,1/30/2017,4931.115234,4865,4899,4896.5,2689114,3429.143799
20,1/31/2017,4902.5,4723.680176,4883.5,4899.5,4240170,3431.244629
21,2/1/2017,4907.5,4856,4888,4865.5,3146557,3407.433594
22,2/2/2017,4962.52002,4830,4844,4910,3876234,3438.5979
23,2/3/2017,4970.5,4894,4903.5,4963,3649407,3475.715576
24,2/6/2017,5008,4955,4963,4985,3050353,3491.122314
25,2/7/2017,5011,4977.5,4985,4981.5,3312475,3488.670654
26,2/8/2017,5035,4952.5,4981.5,5025,3486658,3519.135254
27,2/9/2017,5038,4951.426758,5019,5021,4186606,3516.333496
28,2/10/2017,5078,4990.652832,5025,5008,3331507,3507.229492
29,2/13/2017,5029,4984,4997,4992,2301628,3496.024902
30,2/14/2017,4998.169922,4913.5,4964,4930,6181208,3452.604248
31,2/15/2017,4997.437988,4916,4950,4964.5,2755705,3476.765137
32,2/16/2017,5009,4950,4964.5,4976.5,1999633,3485.169434
33,2/17/2017,5040,4966,4983,5004,4754192,3504.428711
34,2/20/2017,5016,4963,5001,4982.5,1974658,3489.371582
35,2/21/2017,5013,4966.109863,4968,4993,3051953,3496.725342
36,2/22/2017,5019,4975.425781,4985,5000,2503221,3501.627197
37,2/23/2017,5064,4970,4970,5060,3037521,3543.64624
38,2/24/2017,5076,5021,5070,5070,2446321,3550.649902
39,2/27/2017,5123.5,5055.592773,5071,5092,2966778,3566.057373
40,2/28/2017,5100,5062,5092,5080,3233532,3557.653809
41,3/1/2017,5165,5080,5147,5161,3124236,3614.379639
42,3/2/2017,5170,5124,5160,5155,3045031,3610.17749
43,3/3/2017,5156,5086,5156,5107,4532880,3576.562012
44,3/6/2017,5094,5060,5083,5082,2910541,3559.053955
45,3/7/2017,5120,5090,5102,5108,1757873,3577.262695
46,3/8/2017,5121,5085,5113,5102,2659266,3573.060547
47,3/9/2017,5100,5065,5094,5100,2217446,3571.659912
48,3/10/2017,5128,5097,5100,5108,4045369,3577.262695
49,3/13/2017,5141,5097,5121,5139,2931940,3598.972656
50,3/14/2017,5187,5118,5140,5171,4551522,3621.382813
51,3/15/2017,5196,5146,5179,5185,3016599,3631.187256
52,3/16/2017,5254.271973,5067,5072,5149,4459878,3690.023926
53,3/17/2017,5192,5122,5122,5192,6430586,3720.8396
54,3/20/2017,5202,5074.444824,5165,5188,2174425,3717.973877
55,3/21/2017,5227.86084,5148,5183,5188,2560690,3717.973877
56,3/22/2017,5208,5154.012207,5176,5180,2908669,3712.240723
57,3/23/2017,5204.839844,5134,5168,5174,2728852,3707.939697
58,3/24/2017,5277,5131.926758,5200,5277,3819330,3781.755127
59,3/27/2017,5281.474121,5227,5254,5228,3431564,3746.640381
60,3/28/2017,5236,5194,5208,5219,2401609,3740.189697
61,3/29/2017,5318,5227.901855,5245,5318,3314761,3811.138672
62,3/30/2017,5328,5212.957031,5324,5310,3438318,3805.405029
63,3/31/2017,5304.97998,5275,5286,5300,5066074,3798.238525
64,4/3/2017,5310,5265,5303,5290,3082897,3791.07251
65,4/4/2017,5338,5275,5294,5290,2632443,3791.07251
66,4/5/2017,5333,5270,5296,5318,2708529,3811.138672
67,4/6/2017,5343,5288,5318,5291,2520375,3791.789063
68,4/7/2017,5360,5272,5290,5357,2322304,3839.087891
69,4/10/2017,5367,5320,5351,5345,1828065,3830.487061
70,4/11/2017,5408,5328,5336,5392,2445889,3864.169189
71,4/12/2017,5400,5355,5376,5382,2091560,3857.003662
72,4/13/2017,5401,5369,5381,5383,1941833,3857.720215
73,4/18/2017,5408,5263,5400,5263,3748843,3771.7229
74,4/19/2017,5255,5175,5242,5185,3475007,3715.82373
75,4/20/2017,5243,5188,5197,5218,4856435,3739.473145
76,4/21/2017,5212,5165,5174,5200,2447812,3726.572998
77,4/24/2017,5331,5227,5258,5328,2719408,3818.304443
78,4/25/2017,5358,5290,5344,5290,2420004,3791.07251
79,4/26/2017,5336,5275,5281,5307,2619882,3803.255127
80,4/27/2017,5289,5226,5288,5236,1888064,3752.373535
81,4/28/2017,5337,5182,5249,5215,2754105,3737.32251
82,5/2/2017,5288,5223.809082,5241,5266,2681830,3773.872803
83,5/3/2017,5277,5225,5260,5233,2488262,3750.223633
84,5/4/2017,5268,5227,5245,5239,2184148,3754.523926
85,5/5/2017,5301,5224,5232,5287,2192816,3788.921143
86,5/8/2017,5320,5275,5287,5320,2364180,3812.571045
87,5/9/2017,5371,5310,5315,5310,2684084,3805.405029
88,5/10/2017,5335,5262,5296,5317,2587709,3810.421631
89,5/11/2017,5363,5302.649902,5329,5339,2614629,3826.1875
90,5/12/2017,5408,5319.330078,5364,5408,2377463,3875.636475
91,5/15/2017,5422,5360.198242,5408,5394,2123906,3865.60376
92,5/16/2017,5506.651855,5391,5404,5505,3516719,3945.151611
93,5/17/2017,5524,5465,5500,5480,2368179,3927.235107
94,5/18/2017,5510,5373.25,5500,5386,2871974,3859.869629
95,5/19/2017,5421,5370,5410,5401,3533494,3870.620361
96,5/22/2017,5467,5418,5424,5467,2011206,3917.918701
97,5/23/2017,5479,5420,5461,5420,2612919,3884.23584
98,5/24/2017,5446.339844,5409,5429,5432,2293371,3892.834961
99,5/25/2017,5501,5450,5451,5495,1521415,3937.984375
100,5/26/2017,5602,5492,5502,5591,2156773,4006.783936
101,5/30/2017,5565,5454,5560,5501,2869578,3942.284424
102,5/31/2017,5571,5483.693848,5532,5530,4288901,3963.067383
103,6/1/2017,5593,5465.85498,5548,5508,2735786,3947.301514
104,6/2/2017,5590,5537.569824,5558,5578,2314321,3997.467285
105,6/5/2017,5612,5565.660156,5581,5580,1908343,3998.899902
106,6/6/2017,5643.600098,5564,5566,5643,2333143,4044.047852
107,6/7/2017,5639,5569,5624,5583,2749252,4001.049316
108,6/8/2017,5633.964844,5506.449219,5610,5507,2755967,3946.584961
109,6/9/2017,5634,5499,5557,5518,4220723,3954.467773
110,6/12/2017,5538.200195,5396.500977,5450,5462,3529768,3914.335693
111,6/13/2017,5475.756836,5397,5463,5414,2675190,3879.936279
112,6/14/2017,5498.183105,5314,5325,5446,4130438,3902.869629
113,6/15/2017,5465,5395,5455,5440,3809847,3898.56958
114,6/16/2017,5512,5439,5447,5499,5632662,3940.851563
115,6/19/2017,5578,5500,5544,5567,1922913,3989.583008
116,6/20/2017,5611,5552,5587,5563,166448,3986.716553
117,6/21/2017,5589.915039,5490,5578,5553,305159,3979.550781
118,6/22/2017,5561.660156,5484,5561,5485,266738,3930.817871
119,6/23/2017,5517,5439,5467,5482,255908,3928.668213
120,6/26/2017,5516,5477,5507,5494.314941,297828,3937.495117
121,6/27/2017,5488,5423,5465,5445.35791,604492,3902.409668
122,6/28/2017,5421,5346,5409,5351,311753,3834.787354
123,6/29/2017,5371,5235,5340,5235,631381,3751.656494
124,6/30/2017,5280,5189.174805,5235,5234,805603,3750.939453
125,7/3/2017,5253,5210,5214,5236,2503098,3752.373535
126,7/4/2017,5228,5177,5205,5177,2095120,3710.09082
127,7/5/2017,5262,5160,5177,5257,3326153,3767.42334
128,7/6/2017,5277,5157.669922,5246,5184,3188843,3715.107422
129,7/7/2017,5247,5160,5168,5219,3100051,3740.189697
130,7/10/2017,5241.810059,2879.889893,5220,5210,2523085,3733.73999
131,7/11/2017,5210,5210,5210,5210,0,3733.73999
132,7/12/2017,5289,5184,5189,5278,4142385,3782.471436
133,7/13/2017,5317,5276,5285,5290,6173058,3791.07251
134,7/14/2017,5289,5253,5275,5277,3309899,3781.755127
135,7/17/2017,5330,5254.589844,5288,5305,2438145,3801.821777
136,7/18/2017,5273.347168,5214,5247,5237,3688839,3753.089111
137,7/19/2017,5315,5215,5220,5288,3535884,3789.638672
138,7/20/2017,5433,5306,5325,5425,5380593,3887.818604
139,7/21/2017,5485,5405.220215,5423,5485,7525778,3930.817871
140,7/24/2017,5529,5358,5482,5413,66484464,3879.219727
141,7/25/2017,5356,5256,5312,5283,12775345,3786.054932
142,7/26/2017,5394,5264.125977,5311,5323,10742018,3814.72168
143,7/27/2017,5483,5300,5330,5322,8971130,3814.003662
144,7/28/2017,5500.773926,4591,5350,4960,19707484,3554.578125
145,7/31/2017,4975,4711.615234,4960,4713.5,11646047,3377.923828
146,8/1/2017,4833.5,4664,4713.5,4832,7208370,3462.84668
147,8/2/2017,4854,4802,4844,4854,6067910,3478.612793
148,8/3/2017,5004,4494.700195,4872,5004,7528431,3586.110352
149,8/4/2017,5100,4998.5,5020,5057,5691783,3624.093506
150,8/7/2017,5079,5026,5073,5055,2549527,3622.659424
151,8/8/2017,5042,4975.5,5041,4990,4704669,3576.077881
152,8/9/2017,5011,4928.5,4940,4976.5,5767934,3566.402832
153,8/10/2017,5005.174805,4895.5,4980,4903,2384794,3513.729004
154,8/11/2017,4904.5,4820,4830,4855.5,3182315,3479.687744
155,8/14/2017,4885.5,4832,4884.5,4845.5,2888322,3472.522217
156,8/15/2017,4937,4845.5,4867.5,4907.5,2444587,3516.954102
157,8/16/2017,4956,4857.686035,4930.5,4929,2485495,3532.362305
158,8/17/2017,4882,4823.5,4855,4832,2595685,3503.001221
159,8/18/2017,4789.5,4723.5,4789.5,4752,3166771,3445.00415
160,8/21/2017,4784,4718.5,4732,4777,2684069,3463.128174
161,8/22/2017,4829.5,4769,4795,4773,2094958,3460.228516
162,8/23/2017,4787,4722,4722,4728.5,3332074,3427.967529
163,8/24/2017,4871,4751,4759.5,4840,3751170,3508.800293
164,8/25/2017,4875.5,4816.5,4840,4835,2759431,3505.175537
165,8/29/2017,4789,4736.5,4756,4752.5,3012737,3445.366211
166,8/30/2017,4801.5,4754,4791.5,4754,2530433,3446.453857
167,8/31/2017,4839,4747.5,4761,4831,3260257,3502.275879
168,9/1/2017,4850,4799,4835.5,4815.5,2615524,3491.039795
169,9/4/2017,4844,4794,4794,4808.5,1050699,3485.9646
170,9/5/2017,4816.5,4776.5,4804.5,4776.5,2407529,3462.765625
171,9/6/2017,4821,4744,4761.5,4812,3189004,3488.501465
172,9/7/2017,4924,4839.5,4855,4903.5,3860062,3554.835449
173,9/8/2017,4963,4882,4886.5,4917,3943868,3564.622559
174,9/11/2017,4939.5,4895,4925,4897.5,3128016,3550.48584
175,9/12/2017,4893,4789,4892.5,4798.5,4899819,3478.715088
176,9/13/2017,4824,4747.495117,4807,4813,4095773,3489.226318
177,9/14/2017,4833,4692,4819,4692.5,4587643,3401.869141
178,9/15/2017,4748.111816,4642.5,4680,4741,7564775,3437.029053
179,9/18/2017,4758,4673,4746,4704,2881055,3410.206787
180,9/19/2017,4707,4645,4684,4648.5,4430380,3369.970947
181,9/20/2017,4683,4593.334961,4635,4606,2416451,3339.159668
182,9/21/2017,4626.5,4552,4590,4565,4045975,3309.436279
183,9/22/2017,4630,4546,4560.5,4611,3000541,3342.784668
184,9/25/2017,4613.5,4550,4613.5,4585,3039916,3323.936523
185,9/26/2017,4655,4508.5,4595.5,4650,4485152,3371.057861
186,9/27/2017,4722,4638,4664.5,4704.5,4557521,3410.568604
187,9/28/2017,4708,4640.5,4708,4650,3741810,3371.057861
