,Date,High,Low,Open,Close,Volume,Adj Close,Predicted
0,1/3/2017,748.4984131,748.4984131,748.4984131,748.4984131,0,647.4914551,
1,1/4/2017,751.2642212,751,751.2642212,751,2546,649.6554565,
2,1/5/2017,751,751,751,751,0,649.6554565,
3,1/6/2017,760.5,754.5,756,755,24371,653.1156006,
4,1/9/2017,777,757.5,769,777,16674,672.1467285,
5,1/10/2017,782.5,776.5,780.5,782.5,16588,676.9046021,
6,1/11/2017,803.2000122,786,796,789,34477,682.5274048,
7,1/12/2017,825.6380005,654.0985107,812.5,812,32645,702.4237671,
8,1/13/2017,804.4525146,791,793.5,796,28700,688.5829468,
9,1/16/2017,778.5,771.5,778.5,772.5,16616,668.2540894,
10,1/17/2017,792,783.5,785.5,786.5,22551,680.3649292,
11,1/18/2017,798.8300171,783,788,791.5,22689,684.6901245,
12,1/19/2017,800.7600098,786,790,786.5,29513,680.3649292,
13,1/20/2017,795.6607056,592.6287231,792,783,46229,677.3371582,
14,1/23/2017,814.7512817,804,809,804,43760,695.5033569,
15,1/24/2017,821.5,812,813,821.5,27402,710.6416626,
16,1/25/2017,859,821,837,854.5,41161,739.1885376,
17,1/26/2017,878,840,855.5,848,80420,733.5657349,
18,1/27/2017,846.5,835.5,844.5,843,15820,729.2402954,
19,1/30/2017,844.5,834,840,834.5,10107,721.8874512,
20,1/31/2017,852,842,842,850.5,27578,735.7283325,
21,2/1/2017,846.5,840,841,846.5,21426,732.2681885,
22,2/2/2017,865.5,854,854,865,13026,748.2715454,
23,2/3/2017,864,855.5,856,864,18315,747.4063721,
24,2/6/2017,866.5,861,864,866.5,12651,749.5689697,
25,2/7/2017,866.5,840.5,845,850,15259,735.2957764,
26,2/8/2017,842,832.5,832.5,841.5,10360,727.942627,
27,2/9/2017,839,833.5,839,835,17679,722.3198853,
28,2/10/2017,833.5,828,832,829.5,14362,717.5620728,
29,2/13/2017,823.5,816.5,820,819,25352,708.4789429,
30,2/14/2017,826,808,820,817.5,22609,707.1815186,
31,2/15/2017,833.5,822.5,822.5,830,22297,717.994751,
32,2/16/2017,837.5,827,827,837.5,23547,724.482666,
33,2/17/2017,822.5,816.5,819.5,819,19572,708.4789429,
34,2/20/2017,854.5,834.9000244,849,839.5,22158,726.2127075,
35,2/21/2017,850,845,850,849,13419,734.430603,
36,2/22/2017,856,849,855.5,854,22803,738.7559814,
