,date,open,close,high,low,volume,code,predict
118,2021/7/1,9.12,9.14,9.17,9.1,369991,600000,
119,2021/7/2,9.12,9.04,9.16,9.03,515351,600000,
120,2021/7/5,9.06,9.03,9.07,8.96,448069,600000,
121,2021/7/6,9.02,9.1,9.12,8.99,377374,600000,
122,2021/7/7,9.12,9.14,9.15,9.05,356670,600000,
123,2021/7/8,9.16,9.05,9.16,9.03,307452,600000,
124,2021/7/9,9.04,9.02,9.12,9.01,345901,600000,
125,2021/7/12,9.07,9.02,9.1,9.01,334156,600000,
126,2021/7/13,9.05,9.07,9.1,8.99,346117,600000,
127,2021/7/14,9.08,8.94,9.08,8.91,522076,600000,
128,2021/7/15,8.94,9.05,9.07,8.92,459034,600000,
129,2021/7/16,9.12,9.09,9.19,9.07,455578,600000,
130,2021/7/19,9.09,9.12,9.14,8.96,530494,600000,
131,2021/7/20,9.12,9.1,9.13,9.05,368347,600000,
132,2021/7/21,9.1,9.14,9.23,9.1,584509,600000,
133,2021/7/22,9.17,9.23,9.31,9.15,439772,600000,
134,2021/7/23,9.19,9.17,9.26,9.16,300903,600000,
135,2021/7/26,9.16,8.93,9.17,8.89,517427,600000,
136,2021/7/27,8.95,8.74,9.02,8.68,532799,600000,
137,2021/7/28,8.75,8.8,8.95,8.75,463359,600000,
138,2021/7/29,8.84,8.71,8.87,8.69,435877,600000,
139,2021/7/30,8.72,8.62,8.72,8.6,356971,600000,
140,2021/8/2,8.62,8.72,8.83,8.56,457134,600000,
141,2021/8/3,8.72,8.71,8.73,8.63,330141,600000,
142,2021/8/4,8.71,8.66,8.73,8.64,252145,600000,
143,2021/8/5,8.65,8.64,8.71,8.63,242678,600000,
144,2021/8/6,8.64,8.67,8.67,8.59,224861,600000,
145,2021/8/9,8.65,8.76,8.84,8.64,374619,600000,
146,2021/8/10,8.77,8.79,8.82,8.69,343709,600000,
147,2021/8/11,8.77,8.8,8.88,8.75,373821,600000,
148,2021/8/12,8.8,8.76,8.81,8.75,229785,600000,
149,2021/8/13,8.75,8.77,8.82,8.73,219260,600000,
150,2021/8/16,8.78,8.81,8.86,8.75,273695,600000,
151,2021/8/17,8.82,8.78,8.88,8.76,380168,600000,
152,2021/8/18,8.79,8.92,8.98,8.75,434247,600000,
153,2021/8/19,8.93,8.82,8.93,8.78,363914,600000,
154,2021/8/20,8.84,8.86,8.89,8.77,353744,600000,
155,2021/8/23,8.89,8.79,8.9,8.79,324189,600000,
156,2021/8/24,8.81,8.8,8.89,8.76,408160,600000,
157,2021/8/25,8.82,8.78,8.83,8.75,340640,600000,
158,2021/8/26,8.77,8.73,8.79,8.72,294391,600000,
159,2021/8/27,8.75,8.76,8.81,8.73,276188,600000,
160,2021/8/30,8.64,8.55,8.67,8.51,804103,600000,
161,2021/8/31,8.57,8.64,8.64,8.52,446337,600000,
162,2021/9/1,8.62,8.77,8.82,8.6,582113,600000,
163,2021/9/2,8.79,8.82,8.83,8.75,401227,600000,
164,2021/9/3,8.83,8.83,8.92,8.75,507816,600000,
165,2021/9/6,8.81,8.8,8.9,8.79,356277,600000,
166,2021/9/7,8.8,8.93,8.98,8.75,640518,600000,
167,2021/9/8,8.93,8.93,8.98,8.88,409418,600000,
168,2021/9/9,8.91,8.89,8.93,8.84,319514,600000,
169,2021/9/10,8.91,9,9.07,8.9,572507,600000,
170,2021/9/13,8.97,8.98,9.02,8.93,293733,600000,
171,2021/9/14,8.98,8.8,9.02,8.76,539347,600000,
172,2021/9/15,8.8,8.78,8.85,8.72,380648,600000,
173,2021/9/16,8.79,8.71,8.82,8.7,491999,600000,
174,2021/9/17,8.7,8.7,8.76,8.67,302335,600000,
175,2021/9/22,8.59,8.62,8.67,8.55,350541,600000,
176,2021/9/23,8.69,8.62,8.74,8.6,396400,600000,
177,2021/9/24,8.63,8.61,8.67,8.58,399256,600000,
178,2021/9/27,8.61,8.61,8.64,8.53,417084,600000,
179,2021/9/28,8.57,8.62,8.68,8.57,333408,600000,
180,2021/9/29,8.6,8.61,8.68,8.56,400083,600000,
181,2021/9/30,8.62,8.59,8.64,8.57,291902,600000,
182,2021/10/8,8.64,8.67,8.74,8.62,390806,600000,
183,2021/10/11,8.71,8.74,8.84,8.69,466325,600000,
184,2021/10/12,8.71,8.73,8.78,8.68,357258,600000,
185,2021/10/13,8.73,8.66,8.74,8.64,225383,600000,
186,2021/10/14,8.66,8.63,8.68,8.61,225846,600000,
187,2021/10/15,8.64,8.66,8.7,8.61,275254,600000,
188,2021/10/18,8.65,8.61,8.69,8.57,259647,600000,
189,2021/10/19,8.62,8.6,8.66,8.6,286362,600000,
190,2021/10/20,8.62,8.61,8.65,8.58,274824,600000,
191,2021/10/21,8.64,8.63,8.68,8.6,440746,600000,
192,2021/10/22,8.66,8.66,8.72,8.61,386694,600000,
193,2021/10/25,8.62,8.62,8.65,8.61,265855,600000,
194,2021/10/26,8.65,8.62,8.68,8.6,307518,600000,
195,2021/10/27,8.6,8.58,8.61,8.55,341973,600000,
196,2021/10/28,8.58,8.55,8.6,8.54,281652,600000,
197,2021/10/29,8.55,8.53,8.59,8.52,359907,600000,
198,2021/11/1,8.28,8.31,8.37,8.19,649410,600000,
199,2021/11/2,8.3,8.13,8.34,8.09,700346,600000,
200,2021/11/3,8.18,8.12,8.18,8.1,297852,600000,
201,2021/11/4,8.12,8.1,8.13,8.09,261489,600000,
202,2021/11/5,8.1,8.12,8.13,8.08,229134,600000,
203,2021/11/8,8.07,8.08,8.12,8.05,243530,600000,
204,2021/11/9,8.09,8.13,8.14,8.08,195485,600000,
205,2021/11/10,8.12,8.07,8.12,8.03,274789,600000,
206,2021/11/11,8.07,8.21,8.21,8.06,314193,600000,
207,2021/11/12,8.23,8.24,8.24,8.17,204982,600000,
208,2021/11/15,8.25,8.34,8.34,8.24,276258,600000,
209,2021/11/16,8.29,8.32,8.33,8.22,240301,600000,
210,2021/11/17,8.26,8.24,8.31,8.24,193016,600000,
211,2021/11/18,8.2,8.15,8.25,8.12,204654,600000,
212,2021/11/19,8.15,8.24,8.29,8.14,204720,600000,
213,2021/11/22,8.22,8.19,8.25,8.18,209837,600000,
214,2021/11/23,8.2,8.22,8.29,8.2,215024,600000,
215,2021/11/24,8.2,8.27,8.28,8.18,193427,600000,
216,2021/11/25,8.27,8.23,8.28,8.2,131691,600000,
217,2021/11/26,8.2,8.15,8.21,8.14,211991,600000,
218,2021/11/29,8.16,8.18,8.18,8.09,237464,600000,
219,2021/11/30,8.13,8.1,8.18,8.1,309001,600000,
220,2021/12/1,8.12,8.15,8.17,8.1,193339,600000,
221,2021/12/2,8.15,8.17,8.2,8.11,229062,600000,
222,2021/12/3,8.17,8.18,8.19,8.11,238487,600000,
223,2021/12/6,8.18,8.19,8.23,8.16,338820,600000,
224,2021/12/7,8.28,8.27,8.29,8.19,400163,600000,8.40461
225,2021/12/8,8.29,8.26,8.29,8.22,286059,600000,8.4143305
226,2021/12/9,8.28,8.34,8.39,8.25,511862,600000,8.410578
227,2021/12/10,8.32,8.36,8.37,8.31,424949,600000,8.406287
228,2021/12/13,8.38,8.24,8.4,8.21,562340,600000,8.399023
229,2021/12/14,8.23,8.16,8.24,8.13,493893,600000,8.41124
230,2021/12/15,8.13,8.14,8.17,8.12,206642,600000,8.420282
231,2021/12/16,8.15,8.19,8.2,8.14,268995,600000,8.429409
232,2021/12/17,8.2,8.15,8.21,8.15,272696,600000,8.427419
233,2021/12/20,8.14,8.17,8.2,8.14,277861,600000,8.423778
234,2021/12/21,8.14,8.2,8.24,8.14,263110,600000,8.428952
235,2021/12/22,8.21,8.16,8.23,8.16,216181,600000,8.42789
236,2021/12/23,8.17,8.17,8.19,8.15,189019,600000,8.44078
237,2021/12/24,8.17,8.13,8.18,8.12,182520,600000,8.440465
238,2021/12/27,8.13,8.15,8.16,8.12,195277,600000,8.439658
239,2021/12/28,8.15,8.16,8.18,8.13,298337,600000,8.434519
240,2021/12/29,8.16,8.13,8.17,8.12,200501,600000,8.426649
241,2021/12/30,8.13,8.13,8.17,8.12,232725,600000,8.430933
242,2021/12/31,8.13,8.12,8.16,8.12,229296,600000,8.432151
243,2022/1/3,,,,,,,8.420352
244,2022/1/4,,,,,,,8.427441
