,date,open,close,high,low,volume,code,predict
118,2021/7/1,4.207,4.197,4.217,4.197,465363,600016,
119,2021/7/2,4.197,4.177,4.207,4.167,593202,600016,
120,2021/7/5,4.187,4.167,4.187,4.147,600000,600016,
121,2021/7/6,4.157,4.167,4.177,4.137,699278,600016,
122,2021/7/7,4.157,4.157,4.177,4.147,432540,600016,
123,2021/7/8,4.167,4.137,4.167,4.127,558366,600016,
124,2021/7/9,4.137,4.127,4.157,4.117,630890,600016,
125,2021/7/12,4.147,4.127,4.157,4.127,624254,600016,
126,2021/7/13,4.137,4.127,4.147,4.117,554654,600016,
127,2021/7/14,4.137,4.037,4.137,4.027,1338655,600016,
128,2021/7/15,4.027,4.057,4.077,4.007,707437,600016,
129,2021/7/16,4.047,4.027,4.057,4.017,622462,600016,
130,2021/7/19,4.007,3.997,4.017,3.957,949988,600016,
131,2021/7/20,3.977,3.957,3.987,3.957,489424,600016,
132,2021/7/21,3.967,3.967,3.987,3.957,518018,600016,
133,2021/7/22,3.977,3.997,4.017,3.967,540947,600016,
134,2021/7/23,3.997,3.987,4.007,3.977,391354,600016,
135,2021/7/26,3.987,3.907,3.987,3.897,920205,600016,
136,2021/7/27,3.907,3.837,3.927,3.837,707589,600016,
137,2021/7/28,3.847,3.847,3.897,3.837,752846,600016,
138,2021/7/29,3.867,3.797,3.877,3.797,785036,600016,
139,2021/7/30,3.787,3.767,3.797,3.747,667051,600016,
140,2021/8/2,3.767,3.797,3.837,3.737,800835,600016,
141,2021/8/3,3.787,3.777,3.797,3.757,566900,600016,
142,2021/8/4,3.787,3.767,3.787,3.757,458088,600016,
143,2021/8/5,3.767,3.767,3.797,3.757,377883,600016,
144,2021/8/6,3.767,3.767,3.777,3.747,350913,600016,
145,2021/8/9,3.767,3.817,3.827,3.757,726448,600016,
146,2021/8/10,3.817,3.827,3.837,3.787,631007,600016,
147,2021/8/11,3.817,3.827,3.867,3.807,673765,600016,
148,2021/8/12,3.817,3.807,3.827,3.807,375696,600016,
149,2021/8/13,3.807,3.797,3.807,3.787,377933,600016,
150,2021/8/16,3.797,3.817,3.827,3.797,565462,600016,
151,2021/8/17,3.807,3.777,3.827,3.777,668337,600016,
152,2021/8/18,3.777,3.827,3.837,3.767,879767,600016,
153,2021/8/19,3.827,3.797,3.827,3.787,591573,600016,
154,2021/8/20,3.797,3.797,3.817,3.787,692318,600016,
155,2021/8/23,3.797,3.787,3.807,3.787,517121,600016,
156,2021/8/24,3.787,3.787,3.807,3.767,741098,600016,
157,2021/8/25,3.797,3.777,3.797,3.777,470719,600016,
158,2021/8/26,3.777,3.767,3.787,3.767,464898,600016,
159,2021/8/27,3.767,3.777,3.787,3.767,476703,600016,
160,2021/8/30,3.767,3.737,3.777,3.727,934393,600016,
161,2021/8/31,3.737,3.757,3.767,3.727,778945,600016,
162,2021/9/1,3.757,3.827,3.837,3.737,1481314,600016,
163,2021/9/2,3.817,3.847,3.847,3.807,982604,600016,
164,2021/9/3,3.847,3.917,3.987,3.827,1946397,600016,
165,2021/9/6,3.907,3.907,3.957,3.897,999499,600016,
166,2021/9/7,3.907,3.917,3.947,3.887,1144661,600016,
167,2021/9/8,3.917,3.927,3.937,3.907,1071937,600016,
168,2021/9/9,3.927,3.937,3.947,3.897,1229884,600016,
169,2021/9/10,3.937,3.947,4.007,3.927,1870340,600016,
170,2021/9/13,3.937,3.907,3.937,3.897,1429267,600016,
171,2021/9/14,3.917,3.817,3.917,3.807,1933911,600016,
172,2021/9/15,3.817,3.807,3.827,3.797,974227,600016,
173,2021/9/16,3.807,3.767,3.817,3.757,1433734,600016,
174,2021/9/17,3.767,3.757,3.777,3.737,1187576,600016,
175,2021/9/22,3.687,3.687,3.697,3.647,1277350,600016,
176,2021/9/23,3.717,3.727,3.767,3.707,995239,600016,
177,2021/9/24,3.727,3.697,3.737,3.687,794950,600016,
178,2021/9/27,3.697,3.667,3.707,3.657,855086,600016,
