,date,open,close,high,low,volume,code,predict
118,2021/7/1,7.078,7.138,7.188,6.968,793460,600019,
119,2021/7/2,7.018,7.038,7.118,6.888,991487,600019,
120,2021/7/5,7.018,6.908,7.068,6.738,959066,600019,
121,2021/7/6,6.938,6.858,7.088,6.818,673490,600019,
122,2021/7/7,6.868,6.998,7.018,6.818,699590,600019,
123,2021/7/8,7.058,6.988,7.088,6.908,753270,600019,
124,2021/7/9,6.948,7.108,7.178,6.918,1082332,600019,
125,2021/7/12,7.158,7.058,7.338,6.988,1367784,600019,
126,2021/7/13,7.058,7.048,7.108,6.968,889392,600019,
127,2021/7/14,7.048,6.918,7.148,6.918,703547,600019,
128,2021/7/15,6.978,7.458,7.528,6.918,1763499,600019,
129,2021/7/16,7.468,7.388,7.628,7.338,1693459,600019,
130,2021/7/19,7.478,7.268,7.588,7.218,1161608,600019,
131,2021/7/20,7.138,7.028,7.148,6.908,1254017,600019,
132,2021/7/21,7.098,7.068,7.138,6.948,946324,600019,
133,2021/7/22,7.018,7.468,7.538,6.998,1907065,600019,
134,2021/7/23,7.588,7.498,7.798,7.488,1821520,600019,
135,2021/7/26,7.538,7.168,7.588,7.088,1616818,600019,
136,2021/7/27,7.208,6.778,7.308,6.768,1689628,600019,
137,2021/7/28,6.708,6.578,6.758,6.438,1754437,600019,
138,2021/7/29,6.688,6.638,6.698,6.468,1504981,600019,
139,2021/7/30,6.638,7.328,7.358,6.598,2576716,600019,
140,2021/8/2,7.008,6.708,7.038,6.558,2693238,600019,
141,2021/8/3,6.598,6.568,6.698,6.518,1385005,600019,
142,2021/8/4,6.618,6.788,6.908,6.598,1433974,600019,
143,2021/8/5,6.748,6.758,6.838,6.648,1067223,600019,
144,2021/8/6,6.728,6.868,6.968,6.708,972463,600019,
145,2021/8/9,6.828,7.158,7.188,6.808,1263358,600019,
146,2021/8/10,7.218,7.338,7.368,7.078,1232659,600019,
147,2021/8/11,7.428,7.458,7.518,7.268,1368851,600019,
148,2021/8/12,7.448,7.698,7.988,7.388,2645599,600019,
149,2021/8/13,7.568,7.658,7.778,7.558,1176835,600019,
150,2021/8/16,7.678,7.878,7.978,7.598,1713193,600019,
151,2021/8/17,7.838,7.708,7.928,7.598,1126889,600019,
152,2021/8/18,7.698,7.768,7.918,7.638,953085,600019,
153,2021/8/19,7.598,7.818,7.878,7.448,1172102,600019,
154,2021/8/20,7.708,7.798,7.898,7.588,1172957,600019,
155,2021/8/23,7.838,7.738,7.918,7.668,880413,600019,
156,2021/8/24,7.768,7.808,8.088,7.708,1436429,600019,
157,2021/8/25,7.828,7.938,7.958,7.708,1197311,600019,
158,2021/8/26,7.948,8.338,8.528,7.908,2960505,600019,
159,2021/8/27,8.228,8.508,8.608,8.228,2138581,600019,
160,2021/8/30,8.808,9.048,9.158,8.778,2897264,600019,
161,2021/8/31,9.078,9.598,9.718,9.068,2932967,600019,
162,2021/9/1,9.608,9.658,9.958,9.388,2601830,600019,
163,2021/9/2,9.618,9.808,9.948,9.388,2207280,600019,
164,2021/9/3,9.728,9.458,9.758,9.298,1714519,600019,
165,2021/9/6,9.458,9.648,9.788,9.448,1455228,600019,
166,2021/9/7,9.578,10.248,10.338,9.518,1936278,600019,
167,2021/9/8,10.098,9.938,10.208,9.838,1549011,600019,
168,2021/9/9,9.918,10.828,10.978,9.918,3575836,600019,
169,2021/9/10,10.688,10.648,10.848,10.438,2184581,600019,
170,2021/9/13,10.558,11.248,11.478,10.558,2515520,600019,
171,2021/9/14,11.128,10.448,11.128,10.368,2379407,600019,
172,2021/9/15,10.378,10.438,10.768,10.238,1928615,600019,
173,2021/9/16,10.628,10.418,10.928,10.348,1875970,600019,
174,2021/9/17,10.328,9.858,10.558,9.518,2123029,600019,
175,2021/9/22,9.688,9.868,9.888,9.388,1947847,600019,
176,2021/9/23,9.868,9.758,10.028,9.498,1447761,600019,
177,2021/9/24,9.588,9.018,9.768,8.928,2723365,600019,
178,2021/9/27,9.018,8.658,9.078,8.608,2054307,600019,
179,2021/9/28,8.738,8.638,8.858,8.478,1687724,600019,
180,2021/9/29,8.608,8.018,8.638,7.928,2819483,600019,
181,2021/9/30,8.098,8.108,8.188,7.968,1889063,600019,
182,2021/10/8,8.258,8.028,8.258,7.898,1620949,600019,
183,2021/10/11,8.058,7.798,8.058,7.618,1812535,600019,
184,2021/10/12,7.828,7.448,7.908,7.318,2178815,600019,
185,2021/10/13,7.458,7.478,7.548,7.288,1235131,600019,
186,2021/10/14,7.428,7.448,7.628,7.378,1449854,600019,
187,2021/10/15,7.551,7.521,7.641,7.411,1665850,600019,
188,2021/10/18,7.501,7.571,7.631,7.421,1549221,600019,
189,2021/10/19,7.551,7.631,7.651,7.431,1572010,600019,
190,2021/10/20,7.551,7.551,7.611,7.251,1608884,600019,
191,2021/10/21,7.611,7.441,7.691,7.421,1830231,600019,
192,2021/10/22,7.361,7.191,7.471,7.121,2086340,600019,
193,2021/10/25,7.191,7.211,7.251,6.981,1086107,600019,
194,2021/10/26,7.221,7.161,7.301,7.101,1049780,600019,
195,2021/10/27,7.171,6.971,7.211,6.931,1419101,600019,
196,2021/10/28,7.001,6.821,7.001,6.701,1830380,600019,
197,2021/10/29,6.871,6.881,6.941,6.801,1359819,600019,
198,2021/11/1,6.891,6.761,6.891,6.731,1576952,600019,
199,2021/11/2,6.751,6.511,6.781,6.381,2328734,600019,
200,2021/11/3,6.521,6.601,6.641,6.421,1204259,600019,
201,2021/11/4,6.591,6.461,6.591,6.411,1351199,600019,
202,2021/11/5,6.361,6.161,6.381,6.131,1871389,600019,
203,2021/11/8,6.201,6.161,6.311,6.141,1337948,600019,
204,2021/11/9,6.181,6.061,6.191,6.021,1592120,600019,
205,2021/11/10,6.011,6.121,6.161,5.891,2346862,600019,
206,2021/11/11,6.151,6.321,6.451,6.141,2928756,600019,
207,2021/11/12,6.321,6.121,6.341,6.101,1810861,600019,
208,2021/11/15,6.111,6.251,6.261,6.021,1419133,600019,
209,2021/11/16,6.251,6.071,6.351,6.061,1555501,600019,
210,2021/11/17,6.051,6.211,6.221,6.031,1356472,600019,
