,date,open,close,high,low,volume,code,predict
35,2021/3/1,3.94,3.97,3.99,3.86,2132957,600028,
36,2021/3/2,3.91,3.78,3.91,3.73,3262558,600028,
37,2021/3/3,3.75,3.86,3.88,3.75,2360436,600028,
38,2021/3/4,3.86,3.85,3.91,3.81,1632436,600028,
39,2021/3/5,3.92,3.9,3.98,3.81,2489610,600028,
40,2021/3/8,3.99,3.96,4.09,3.95,3146784,600028,
41,2021/3/9,3.91,3.92,4.01,3.85,2246487,600028,
42,2021/3/10,3.89,3.82,3.91,3.8,1490274,600028,
43,2021/3/11,3.85,3.88,3.89,3.84,1198553,600028,
44,2021/3/12,3.9,3.88,3.92,3.83,1379805,600028,
45,2021/3/15,3.87,4.01,4.02,3.87,2365405,600028,
46,2021/3/16,3.98,3.95,3.99,3.92,1161631,600028,
47,2021/3/17,3.92,3.86,3.92,3.84,1502155,600028,
48,2021/3/18,3.85,3.84,3.86,3.81,1382339,600028,
49,2021/3/19,3.74,3.66,3.74,3.65,3079821,600028,
50,2021/3/22,3.67,3.69,3.71,3.67,1515975,600028,
51,2021/3/23,3.69,3.66,3.7,3.62,1342536,600028,
52,2021/3/24,3.61,3.62,3.64,3.59,1296931,600028,
53,2021/3/25,3.65,3.63,3.67,3.62,1150328,600028,
54,2021/3/26,3.61,3.64,3.66,3.61,983461,600028,
55,2021/3/29,3.69,3.69,3.75,3.67,1948624,600028,
56,2021/3/30,3.72,3.72,3.75,3.7,1504245,600028,
57,2021/3/31,3.71,3.73,3.73,3.68,926789,600028,
58,2021/4/1,3.72,3.7,3.73,3.68,1041785,600028,
59,2021/4/2,3.73,3.72,3.75,3.7,1426668,600028,
60,2021/4/6,3.7,3.69,3.7,3.66,861462,600028,
61,2021/4/7,3.69,3.76,3.77,3.68,1438723,600028,
62,2021/4/8,3.74,3.76,3.78,3.73,1050331,600028,
63,2021/4/9,3.76,3.79,3.8,3.74,1027945,600028,
64,2021/4/12,3.79,3.79,3.83,3.76,1088210,600028,
65,2021/4/13,3.78,3.73,3.79,3.7,1118955,600028,
