,date,open,close,high,low,volume,code,predict
0,2021/1/4,5.9,5.9,5.94,5.84,445395,600029,
1,2021/1/5,5.86,5.85,5.9,5.76,495019,600029,
2,2021/1/6,5.82,5.75,5.82,5.74,558673,600029,
3,2021/1/7,5.76,5.65,5.78,5.6,590357,600029,
4,2021/1/8,5.64,5.71,5.73,5.62,380965,600029,
5,2021/1/11,5.64,5.64,5.66,5.58,663873,600029,
6,2021/1/12,5.59,5.74,5.74,5.56,388931,600029,
7,2021/1/13,5.71,5.76,5.78,5.66,423561,600029,
8,2021/1/14,5.7,5.72,5.79,5.67,286227,600029,
9,2021/1/15,5.73,5.68,5.76,5.66,283901,600029,
10,2021/1/18,5.66,5.72,5.74,5.62,291203,600029,
11,2021/1/19,5.73,5.81,5.87,5.68,481042,600029,
12,2021/1/20,5.81,5.74,5.83,5.71,273852,600029,
13,2021/1/21,5.7,5.68,5.72,5.65,353068,600029,
14,2021/1/22,5.66,5.59,5.67,5.59,337727,600029,
15,2021/1/25,5.57,5.55,5.62,5.53,288493,600029,
16,2021/1/26,5.57,5.67,5.7,5.52,382861,600029,
17,2021/1/27,5.65,5.73,5.82,5.62,484975,600029,
18,2021/1/28,5.71,5.62,5.74,5.6,265439,600029,
19,2021/1/29,5.68,5.83,6,5.64,974220,600029,
20,2021/2/1,5.72,5.89,6.02,5.64,858571,600029,
21,2021/2/2,5.83,5.78,5.97,5.76,465998,600029,
22,2021/2/3,5.8,5.71,5.83,5.66,411282,600029,
23,2021/2/4,5.7,5.69,5.81,5.63,358903,600029,
24,2021/2/5,5.67,5.95,5.97,5.65,893757,600029,
25,2021/2/8,5.97,6.19,6.22,5.93,1061213,600029,
26,2021/2/9,6.18,6.2,6.21,6.11,503043,600029,
27,2021/2/10,6.18,6.16,6.2,6.1,354364,600029,
28,2021/2/18,6.25,6.36,6.42,6.15,837919,600029,
29,2021/2/19,6.29,6.35,6.51,6.28,704608,600029,
30,2021/2/22,6.33,6.31,6.4,6.21,603653,600029,
31,2021/2/23,6.31,6.51,6.59,6.31,1148820,600029,
32,2021/2/24,6.59,6.32,6.65,6.23,1156508,600029,
33,2021/2/25,6.4,6.19,6.53,6.17,986115,600029,
34,2021/2/26,6.05,6.07,6.19,6.02,731944,600029,
35,2021/3/1,6.13,6.18,6.26,6.06,567715,600029,
36,2021/3/2,6.22,6.14,6.24,6.08,422109,600029,
37,2021/3/3,6.08,6.34,6.38,6.08,614696,600029,
38,2021/3/4,6.3,6.27,6.39,6.24,500191,600029,
39,2021/3/5,6.21,6.14,6.23,6.09,518470,600029,
40,2021/3/8,6.15,6.03,6.23,6.01,552460,600029,
41,2021/3/9,6.1,6.19,6.34,6.03,892699,600029,
42,2021/3/10,6.19,6.17,6.26,6.1,431303,600029,
43,2021/3/11,6.15,6.4,6.41,6.12,813476,600029,
44,2021/3/12,6.39,6.42,6.45,6.32,555894,600029,
45,2021/3/15,6.51,7.06,7.06,6.48,2982314,600029,
46,2021/3/16,7.05,7.13,7.15,6.89,2221245,600029,
47,2021/3/17,7.05,7.02,7.12,6.92,898426,600029,
48,2021/3/18,7.1,7.05,7.16,6.92,1247839,600029,
49,2021/3/19,6.95,6.85,7.02,6.78,1093521,600029,
50,2021/3/22,6.85,7.17,7.28,6.85,1350155,600029,
51,2021/3/23,7.12,7.05,7.33,6.98,1194967,600029,
52,2021/3/24,6.95,6.64,6.97,6.61,1063124,600029,
53,2021/3/25,6.7,6.67,6.77,6.59,609820,600029,
54,2021/3/26,6.78,6.87,7.2,6.74,1147709,600029,
55,2021/3/29,6.91,6.88,7.03,6.82,622350,600029,
56,2021/3/30,6.85,6.89,6.95,6.76,507217,600029,
57,2021/3/31,6.82,6.87,6.96,6.8,531809,600029,
58,2021/4/1,6.85,6.8,6.86,6.59,701081,600029,
59,2021/4/2,6.74,6.82,6.92,6.72,463439,600029,
60,2021/4/6,6.89,6.77,6.91,6.71,373472,600029,
61,2021/4/7,6.78,7,7.05,6.73,955326,600029,
62,2021/4/8,6.94,7.04,7.07,6.86,637198,600029,
63,2021/4/9,7,6.8,7.06,6.77,689638,600029,
64,2021/4/12,6.77,6.78,6.82,6.66,478621,600029,
65,2021/4/13,6.76,6.7,6.78,6.62,378302,600029,
66,2021/4/14,6.66,6.76,6.82,6.64,366300,600029,
67,2021/4/15,6.71,6.7,6.78,6.68,319142,600029,
68,2021/4/16,6.68,6.83,6.92,6.66,529456,600029,
69,2021/4/19,6.87,7,7.07,6.84,802012,600029,
70,2021/4/20,6.95,6.92,7.02,6.87,533790,600029,
71,2021/4/21,6.81,6.74,6.82,6.7,563548,600029,
72,2021/4/22,6.8,6.69,6.83,6.67,510452,600029,
73,2021/4/23,6.66,6.55,6.72,6.47,726356,600029,
74,2021/4/26,6.53,6.55,6.67,6.45,481551,600029,
75,2021/4/27,6.53,6.4,6.58,6.37,463010,600029,
76,2021/4/28,6.43,6.44,6.47,6.3,422583,600029,
77,2021/4/29,6.43,6.45,6.47,6.34,294138,600029,
78,2021/4/30,6.35,6.35,6.4,6.21,540676,600029,
79,2021/5/6,6.3,6.17,6.4,6.15,679865,600029,
80,2021/5/7,6.18,6.2,6.31,6.12,517342,600029,
81,2021/5/10,6.21,6.15,6.22,6.07,464992,600029,
