,date,open,close,high,low,volume,code,predict
140,2021/8/2,21.194,21.796,22.172,20.749,1477518,600030,
141,2021/8/3,21.657,21.849,22.259,21.561,1123130,600030,
142,2021/8/4,21.84,21.788,21.91,21.665,693896,600030,
143,2021/8/5,21.683,21.447,21.901,21.395,778635,600030,
144,2021/8/6,21.561,21.631,21.761,21.473,601334,600030,
145,2021/8/9,21.561,22.015,22.259,21.526,1128293,600030,
146,2021/8/10,21.927,22.233,22.294,21.779,1081770,600030,
147,2021/8/11,22.198,22.172,22.503,22.084,1018741,600030,
148,2021/8/12,22.224,22.207,22.477,22.111,726114,600030,
149,2021/8/13,22.154,22.521,22.564,22.093,1102724,600030,
150,2021/8/16,22.538,22.442,22.87,22.355,1213354,600030,
151,2021/8/17,22.329,22.355,22.992,22.276,1839349,600030,
152,2021/8/18,22.399,23.525,23.655,22.346,3162188,600030,
153,2021/8/19,23.367,22.992,23.594,22.87,1981783,600030,
154,2021/8/20,23.079,22.992,23.21,22.695,1363300,600030,
155,2021/8/23,23.123,23.158,23.42,23.001,1164596,600030,
156,2021/8/24,23.271,23.778,23.961,23.132,2208822,600030,
157,2021/8/25,23.708,23.586,24.066,23.551,1353686,600030,
158,2021/8/26,23.49,23.289,23.655,23.271,1044624,600030,
159,2021/8/27,23.35,23.42,23.813,23.306,1038330,600030,
160,2021/8/30,23.786,23.079,23.9,23.027,1386131,600030,
161,2021/8/31,23.001,24.249,24.642,22.948,3062855,600030,
162,2021/9/1,24.266,25.305,25.925,24.144,4375223,600030,
163,2021/9/2,25.226,25.48,25.576,25.008,2604357,600030,
164,2021/9/3,26.361,25.043,26.475,24.947,2825812,600030,
165,2021/9/6,25.069,25.244,25.741,25.069,1800826,600030,
166,2021/9/7,25.244,25.532,25.733,24.79,2096082,600030,
167,2021/9/8,25.401,25.314,25.951,25.279,1566587,600030,
168,2021/9/9,25.061,25.165,25.288,24.842,1199153,600030,
169,2021/9/10,25.235,25.637,26.256,25.235,2152492,600030,
