,date,open,close,high,low,volume,code,predict
118,2021/7/1,28.783,27.943,29.063,27.853,1269384,600031,
119,2021/7/2,27.653,26.593,27.653,26.513,1809101,600031,
120,2021/7/5,26.523,25.673,26.523,25.273,1985415,600031,
121,2021/7/6,25.403,25.793,25.963,25.403,1110952,600031,
122,2021/7/7,25.563,25.753,26.143,25.563,1177822,600031,
123,2021/7/8,25.823,24.873,26.013,24.783,1980843,600031,
124,2021/7/9,24.713,25.253,25.403,24.413,1248699,600031,
125,2021/7/12,25.353,25.223,25.873,25.153,1379851,600031,
126,2021/7/13,25.203,25.733,25.833,24.973,1337637,600031,
127,2021/7/14,25.593,24.893,25.603,24.803,1330578,600031,
128,2021/7/15,24.893,25.113,25.213,24.393,1372563,600031,
129,2021/7/16,24.803,24.593,24.853,24.493,1202296,600031,
130,2021/7/19,24.353,24.893,25.003,23.563,2254369,600031,
131,2021/7/20,24.533,25.583,25.873,24.283,2246203,600031,
132,2021/7/21,25.683,25.363,26.033,25.273,1661989,600031,
133,2021/7/22,25.353,27.203,27.453,25.263,3456840,600031,
134,2021/7/23,27.273,26.923,28.143,26.883,2504615,600031,
135,2021/7/26,26.703,26.053,26.833,25.883,1753586,600031,
136,2021/7/27,26.333,24.653,26.513,24.603,1807432,600031,
137,2021/7/28,24.483,24.493,24.933,24.073,1140379,600031,
138,2021/7/29,24.903,25.133,25.373,24.563,1222298,600031,
139,2021/7/30,24.793,24.373,24.803,24.153,1201516,600031,
140,2021/8/2,24.393,26.853,26.853,24.003,2327437,600031,
141,2021/8/3,27.553,28.313,29.283,27.163,5106277,600031,
142,2021/8/4,28.733,29.803,30.483,28.713,4315913,600031,
143,2021/8/5,29.933,29.633,30.353,29.053,2666830,600031,
144,2021/8/6,29.553,29.503,30.223,29.183,2165325,600031,
145,2021/8/9,29.453,30.993,31.553,29.113,3598695,600031,
146,2021/8/10,30.853,31.153,31.343,30.003,2601925,600031,
147,2021/8/11,31.733,30.653,32.623,30.553,2442119,600031,
148,2021/8/12,30.753,30.013,31.043,29.663,2110759,600031,
149,2021/8/13,30.013,30.383,30.703,29.813,1589002,600031,
150,2021/8/16,30.433,28.883,30.453,28.803,2424888,600031,
151,2021/8/17,28.853,28.403,29.403,28.043,2023962,600031,
152,2021/8/18,28.413,28.703,28.873,27.893,1656175,600031,
153,2021/8/19,28.253,27.813,28.313,27.423,1918406,600031,
154,2021/8/20,27.413,27.593,28.153,27.253,1430835,600031,
155,2021/8/23,27.603,28.433,28.453,27.383,1826688,600031,
156,2021/8/24,28.423,27.603,28.423,27.503,2143199,600031,
157,2021/8/25,27.353,26.373,27.353,26.353,2859889,600031,
158,2021/8/26,26.213,26.593,26.753,26.133,1733393,600031,
159,2021/8/27,26.223,26.853,27.153,25.853,1827000,600031,
160,2021/8/30,26.053,25.303,26.213,25.063,3243518,600031,
161,2021/8/31,25.383,25.783,26.013,25.383,1928700,600031,
