,date,open,close,high,low,volume,code,predict
171,2020/9/15,34.485,35.125,35.315,34.455,530805,600036,
172,2020/9/16,35.185,35.285,35.525,35.005,478875,600036,
173,2020/9/17,35.325,35.095,35.695,35.075,557714,600036,
174,2020/9/18,35.075,36.215,36.215,35.025,1081692,600036,
175,2020/9/21,36.225,35.825,36.355,35.825,501521,600036,
176,2020/9/22,35.725,35.105,35.825,34.965,583117,600036,
177,2020/9/23,35.045,34.725,35.275,34.625,430760,600036,
178,2020/9/24,34.575,34.285,34.575,34.125,540280,600036,
179,2020/9/25,34.325,34.405,34.625,34.305,352252,600036,
180,2020/9/28,34.425,34.475,34.875,34.275,353245,600036,
181,2020/9/29,34.575,33.535,34.675,33.495,796689,600036,
182,2020/9/30,33.525,33.225,33.795,33.025,654661,600036,
183,2020/10/9,33.625,33.405,34.025,33.355,494724,600036,
184,2020/10/12,33.625,34.785,34.875,33.525,998646,600036,
185,2020/10/13,34.705,35.015,35.235,34.355,511416,600036,
186,2020/10/14,35.025,35.275,35.325,34.615,642940,600036,
187,2020/10/15,35.365,36.235,36.455,35.275,1196657,600036,
188,2020/10/16,36.135,37.005,37.425,36.105,1105896,600036,
189,2020/10/19,37.515,37.215,38.775,37.115,981547,600036,
190,2020/10/20,37.225,37.195,37.535,36.925,424368,600036,
191,2020/10/21,37.285,38.025,38.095,37.215,541856,600036,
192,2020/10/22,38.225,38.415,39.225,37.555,644975,600036,
193,2020/10/23,38.135,38.445,39.325,38.085,551834,600036,
194,2020/10/26,38.885,37.845,38.885,37.305,504540,600036,
195,2020/10/27,37.845,37.675,38.475,37.555,458832,600036,
196,2020/10/28,37.855,37.325,38.305,36.835,693557,600036,
197,2020/10/29,36.975,37.415,38.085,36.895,523070,600036,
198,2020/10/30,37.725,37.035,38.375,36.805,438423,600036,
199,2020/11/2,37.715,37.475,37.925,36.405,516928,600036,
200,2020/11/3,37.925,38.465,39.325,37.925,870690,600036,
201,2020/11/4,39.345,40.155,40.315,38.605,884501,600036,
202,2020/11/5,40.325,40.015,40.935,39.605,680487,600036,
203,2020/11/6,40.025,39.705,40.075,39.315,463645,600036,
204,2020/11/9,40.215,40.255,40.695,39.825,497142,600036,
205,2020/11/10,40.995,40.945,41.605,40.625,562079,600036,
206,2020/11/11,41.225,41.575,41.575,40.735,526970,600036,
207,2020/11/12,41.225,40.805,41.665,40.575,471594,600036,
208,2020/11/13,40.425,39.805,40.425,39.035,544863,600036,
209,2020/11/16,40.175,40.225,40.325,39.875,389432,600036,
210,2020/11/17,40.225,41.065,41.225,40.025,472856,600036,
211,2020/11/18,40.825,41.975,42.225,40.635,628202,600036,
212,2020/11/19,41.755,42.095,42.225,41.215,477342,600036,
213,2020/11/20,41.985,42.275,42.525,41.735,314688,600036,
214,2020/11/23,42.275,42.625,42.805,42.045,584621,600036,
215,2020/11/24,42.225,42.095,42.525,41.755,399467,600036,
216,2020/11/25,42.745,41.655,42.795,41.395,378072,600036,
217,2020/11/26,41.695,42.315,42.605,41.695,351534,600036,
218,2020/11/27,42.625,43.075,43.195,41.925,446078,600036,
219,2020/11/30,43.075,41.425,44.995,41.255,1153602,600036,
220,2020/12/1,41.625,43.425,43.775,41.615,780728,600036,
221,2020/12/2,43.225,44.025,44.255,42.485,619944,600036,
222,2020/12/3,43.975,43.715,44.325,42.725,502376,600036,
223,2020/12/4,43.695,43.005,43.825,42.335,461155,600036,
224,2020/12/7,42.925,41.645,42.975,41.325,704825,600036,
225,2020/12/8,41.615,41.485,41.985,41.225,377167,600036,
226,2020/12/9,41.595,41.465,42.155,41.445,375195,600036,
227,2020/12/10,41.265,41.505,41.855,41.025,368874,600036,
228,2020/12/11,41.475,39.905,41.495,39.905,771435,600036,
229,2020/12/14,40.545,41.595,41.885,40.545,607427,600036,
230,2020/12/15,41.675,41.575,42.165,40.665,438792,600036,
231,2020/12/16,42.015,41.285,42.075,41.105,367902,600036,
232,2020/12/17,41.125,41.275,41.395,40.575,502329,600036,
233,2020/12/18,41.315,40.325,41.615,40.025,760600,600036,
234,2020/12/21,40.265,40.115,40.375,39.535,623851,600036,
235,2020/12/22,40.215,39.135,40.225,39.095,784686,600036,
236,2020/12/23,38.935,39.545,39.635,38.935,711820,600036,
237,2020/12/24,39.575,39.795,40.325,39.545,482110,600036,
238,2020/12/25,39.775,39.945,40.125,39.205,476732,600036,
239,2020/12/28,39.975,40.265,40.545,39.455,841409,600036,
240,2020/12/29,40.485,40.055,40.515,39.875,727148,600036,
241,2020/12/30,40.095,40.275,40.275,39.125,933496,600036,
242,2020/12/31,40.275,41.175,41.575,40.075,891199,600036,
243,2021/1/4,40.455,40.395,41.005,39.245,1549523,600036,
244,2021/1/5,39.985,39.405,40.025,38.665,1387177,600036,
245,2021/1/6,39.325,41.375,41.425,39.225,1200646,600036,
246,2021/1/7,41.515,43.125,43.195,41.485,1078322,600036,
247,2021/1/8,43.515,43.825,44.245,43.035,1299595,600036,
248,2021/1/11,43.805,45.645,46.395,43.715,1445234,600036,
249,2021/1/12,45.775,46.925,47.275,44.785,1044486,600036,
250,2021/1/13,46.535,46.625,47.205,46.105,649110,600036,
251,2021/1/14,46.625,46.275,47.305,45.785,703771,600036,
252,2021/1/15,47.725,48.365,51.115,47.705,1775745,600036,
253,2021/1/18,48.725,49.145,50.305,48.425,1237642,600036,
254,2021/1/19,49.525,49.075,50.455,48.715,901880,600036,
255,2021/1/20,49.325,48.945,50.345,48.215,792281,600036,
256,2021/1/21,50.195,49.865,50.725,49.375,736715,600036,
257,2021/1/22,50.075,48.865,50.075,48.225,870001,600036,
258,2021/1/25,48.325,49.335,49.685,47.325,865362,600036,
259,2021/1/26,49.225,48.625,50.325,48.225,601175,600036,
260,2021/1/27,48.835,49.225,50.125,48.835,609232,600036,
