,date,open,close,high,low,volume,code,predict
140,2021/8/2,8.64,8.88,9.01,8.45,1058076,600048,
141,2021/8/3,8.82,8.78,8.92,8.75,549820,600048,
142,2021/8/4,8.78,8.68,8.78,8.64,510741,600048,
143,2021/8/5,8.89,9.17,9.53,8.89,1784318,600048,
144,2021/8/6,9.01,9.44,9.5,8.93,1167469,600048,
145,2021/8/9,9.35,10.25,10.52,9.32,2131280,600048,
146,2021/8/10,10.3,10.31,10.41,9.9,1329444,600048,
147,2021/8/11,10.68,11.28,11.47,10.68,2816973,600048,
148,2021/8/12,10.99,11.11,11.52,10.96,1230860,600048,
149,2021/8/13,11.07,10.71,11.15,10.67,1544204,600048,
150,2021/8/16,10.91,11.26,11.48,10.71,1519582,600048,
151,2021/8/17,11.21,11.62,11.84,11.07,1718453,600048,
152,2021/8/18,11.5,11.63,11.9,11.3,1236595,600048,
153,2021/8/19,11.52,11.22,11.54,11.08,1076007,600048,
154,2021/8/20,11.35,11.54,11.69,11.23,1093101,600048,
155,2021/8/23,11.47,11.34,11.6,11.3,573851,600048,
156,2021/8/24,11.37,11.2,11.52,11.04,823943,600048,
157,2021/8/25,11.29,10.91,11.3,10.82,808027,600048,
158,2021/8/26,10.91,10.82,11.27,10.75,763494,600048,
159,2021/8/27,10.79,10.62,10.86,10.51,771516,600048,
160,2021/8/30,10.52,10.27,10.52,10,1094610,600048,
161,2021/8/31,10.27,10.81,10.9,10.23,1139729,600048,
162,2021/9/1,10.7,11.56,11.66,10.7,1489566,600048,
163,2021/9/2,11.67,11.85,12.3,11.54,1479116,600048,
164,2021/9/3,11.72,11.7,12.07,11.5,1027467,600048,
165,2021/9/6,11.61,11.46,11.82,11.43,613547,600048,
166,2021/9/7,11.49,11.47,11.55,11.24,604540,600048,
167,2021/9/8,11.52,11.34,11.56,11.28,397027,600048,
168,2021/9/9,11.34,11.5,11.6,11.16,707820,600048,
169,2021/9/10,11.52,11.88,11.94,11.51,1045100,600048,
170,2021/9/13,11.92,12.57,12.75,11.78,1733861,600048,
171,2021/9/14,12.54,12.41,12.84,12.3,1042825,600048,
172,2021/9/15,12.31,12.04,12.56,11.77,1131896,600048,
173,2021/9/16,12.21,11.7,12.24,11.57,1002264,600048,
174,2021/9/17,11.71,12.39,12.5,11.58,898521,600048,
175,2021/9/22,12.02,13.13,13.38,11.95,1899572,600048,
176,2021/9/23,13.22,13.1,13.64,12.97,1294994,600048,
177,2021/9/24,13.1,12.84,13.59,12.72,1074143,600048,
178,2021/9/27,12.92,12.33,12.97,12.2,851407,600048,
179,2021/9/28,13.02,13.05,13.52,13.01,1710119,600048,
180,2021/9/29,13.42,13.23,13.47,13,1111885,600048,
181,2021/9/30,13.42,13.45,13.97,13.34,1132134,600048,
182,2021/10/8,13.62,12.97,13.69,12.89,712475,600048,
183,2021/10/11,13.02,13.31,13.74,13.02,917329,600048,
184,2021/10/12,13.3,13.51,14,13.18,1463530,600048,
185,2021/10/13,13.56,13.33,13.76,13.1,869560,600048,
