,date,open,close,high,low,volume,code,predict
118,2021/7/1,4.234,4.234,4.284,4.224,521558,600050,
119,2021/7/2,4.224,4.194,4.244,4.184,498644,600050,
120,2021/7/5,4.194,4.184,4.214,4.164,379396,600050,
121,2021/7/6,4.184,4.204,4.224,4.164,452258,600050,
122,2021/7/7,4.194,4.184,4.224,4.164,514191,600050,
123,2021/7/8,4.184,4.104,4.184,4.094,837630,600050,
124,2021/7/9,4.104,4.104,4.124,4.074,618600,600050,
125,2021/7/12,4.134,4.094,4.144,4.084,653978,600050,
126,2021/7/13,4.094,4.114,4.124,4.094,541523,600050,
127,2021/7/14,4.114,4.094,4.144,4.084,711744,600050,
128,2021/7/15,4.094,4.104,4.124,4.074,499194,600050,
129,2021/7/16,4.104,4.104,4.134,4.094,504844,600050,
130,2021/7/19,4.114,4.234,4.234,4.084,1314874,600050,
131,2021/7/20,4.194,4.164,4.204,4.144,629947,600050,
132,2021/7/21,4.164,4.144,4.184,4.134,496880,600050,
133,2021/7/22,4.144,4.174,4.184,4.134,646285,600050,
134,2021/7/23,4.174,4.154,4.204,4.144,660752,600050,
135,2021/7/26,4.134,4.054,4.134,4.034,1053544,600050,
136,2021/7/27,4.064,4.044,4.094,4.034,695008,600050,
137,2021/7/28,4.054,4.084,4.094,3.974,952101,600050,
138,2021/7/29,4.084,4.034,4.094,4.024,728369,600050,
139,2021/7/30,4.024,4.034,4.054,3.984,516176,600050,
140,2021/8/2,4.034,4.084,4.114,3.994,905654,600050,
141,2021/8/3,4.074,4.144,4.154,4.064,878636,600050,
142,2021/8/4,4.144,4.114,4.144,4.104,457594,600050,
143,2021/8/5,4.114,4.104,4.144,4.084,640775,600050,
144,2021/8/6,4.104,4.074,4.114,4.054,578999,600050,
145,2021/8/9,4.084,4.134,4.144,4.074,693888,600050,
146,2021/8/10,4.124,4.104,4.124,4.074,833350,600050,
147,2021/8/11,4.104,4.154,4.164,4.084,1039556,600050,
148,2021/8/12,4.144,4.164,4.174,4.134,778585,600050,
149,2021/8/13,4.164,4.144,4.164,4.124,628025,600050,
150,2021/8/16,4.144,4.134,4.164,4.124,533552,600050,
151,2021/8/17,4.114,4.074,4.134,4.064,1046043,600050,
152,2021/8/18,4.074,4.104,4.114,4.054,792712,600050,
153,2021/8/19,4.144,4.244,4.244,4.134,2591009,600050,
154,2021/8/20,4.204,4.094,4.204,4.054,2790976,600050,
155,2021/8/23,4.064,4.054,4.084,4.044,1614173,600050,
156,2021/8/24,4.054,4.064,4.074,4.034,1364522,600050,
157,2021/8/25,4.074,4.064,4.074,4.034,946040,600050,
158,2021/8/26,4.054,4.064,4.084,4.034,1049340,600050,
159,2021/8/27,4.064,4.064,4.084,4.044,766506,600050,
160,2021/8/30,4.074,4.064,4.074,4.044,845868,600050,
161,2021/8/31,4.064,4.104,4.104,4.034,2192881,600050,
162,2021/9/1,4.084,4.184,4.194,4.084,2211433,600050,
163,2021/9/2,4.174,4.174,4.174,4.134,1338894,600050,
164,2021/9/3,4.164,4.144,4.194,4.134,1320386,600050,
165,2021/9/6,4.154,4.174,4.214,4.134,1280404,600050,
166,2021/9/7,4.184,4.244,4.244,4.174,1676067,600050,
167,2021/9/8,4.234,4.244,4.264,4.214,1359764,600050,
168,2021/9/9,4.234,4.304,4.314,4.204,3026341,600050,
169,2021/9/10,4.284,4.234,4.314,4.214,2070425,600050,
170,2021/9/13,4.214,4.224,4.244,4.184,1512252,600050,
171,2021/9/14,4.224,4.144,4.244,4.124,1906034,600050,
172,2021/9/15,4.124,4.134,4.154,4.104,1275269,600050,
173,2021/9/16,4.134,4.084,4.174,4.084,1386098,600050,
174,2021/9/17,4.084,4.064,4.104,4.044,1439725,600050,
175,2021/9/22,4.034,4.074,4.094,4.024,996050,600050,
176,2021/9/23,4.094,4.084,4.134,4.074,1043848,600050,
177,2021/9/24,4.094,4.054,4.104,4.054,932335,600050,
178,2021/9/27,4.054,4.004,4.084,3.994,1315483,600050,
179,2021/9/28,4.004,4.024,4.034,3.994,716654,600050,
180,2021/9/29,4.014,4.014,4.024,3.984,886407,600050,
181,2021/9/30,4.014,4.024,4.034,3.994,816590,600050,
182,2021/10/8,4.044,4.094,4.094,4.034,1119960,600050,
183,2021/10/11,4.094,4.124,4.144,4.084,1241414,600050,
184,2021/10/12,4.124,4.114,4.124,4.084,870395,600050,
185,2021/10/13,4.114,4.104,4.124,4.094,561765,600050,
186,2021/10/14,4.114,4.094,4.114,4.074,408166,600050,
187,2021/10/15,4.094,4.134,4.144,4.074,996851,600050,
188,2021/10/18,4.134,4.144,4.164,4.124,964416,600050,
189,2021/10/19,4.134,4.134,4.164,4.124,658600,600050,
190,2021/10/20,4.134,4.104,4.154,4.084,633069,600050,
191,2021/10/21,4.104,4.084,4.114,4.064,615198,600050,
192,2021/10/22,4.074,4.024,4.094,4.014,1195013,600050,
193,2021/10/25,4.014,4.024,4.044,3.994,1046037,600050,
194,2021/10/26,4.024,3.994,4.024,3.994,799957,600050,
195,2021/10/27,3.994,3.954,4.004,3.924,1344198,600050,
196,2021/10/28,3.944,3.964,3.964,3.924,728765,600050,
197,2021/10/29,3.954,3.994,4.004,3.954,696518,600050,
198,2021/11/1,3.994,4.014,4.014,3.964,725510,600050,
199,2021/11/2,4.004,3.954,4.024,3.934,923885,600050,
200,2021/11/3,3.954,3.944,3.974,3.944,640849,600050,
201,2021/11/4,3.954,3.954,3.974,3.944,602128,600050,
202,2021/11/5,3.954,3.964,3.984,3.934,677124,600050,
203,2021/11/8,3.944,3.944,3.964,3.934,490640,600050,
204,2021/11/9,3.944,3.954,3.964,3.934,558577,600050,
205,2021/11/10,3.944,3.924,3.954,3.894,950538,600050,
206,2021/11/11,3.914,3.944,3.954,3.904,785057,600050,
207,2021/11/12,3.954,3.924,3.964,3.924,695806,600050,
208,2021/11/15,3.934,3.934,3.954,3.924,573280,600050,
209,2021/11/16,3.934,3.934,3.954,3.924,720177,600050,
210,2021/11/17,3.942,3.942,3.952,3.932,656845,600050,
211,2021/11/18,3.942,3.902,3.952,3.902,819370,600050,
212,2021/11/19,3.902,3.932,3.932,3.892,577667,600050,
213,2021/11/22,3.932,3.922,3.932,3.902,702624,600050,
214,2021/11/23,3.912,3.912,3.922,3.902,744171,600050,
215,2021/11/24,3.912,3.912,3.932,3.892,725658,600050,
216,2021/11/25,3.912,3.902,3.912,3.892,586938,600050,
217,2021/11/26,3.892,3.872,3.902,3.862,859341,600050,
218,2021/11/29,3.842,3.832,3.852,3.812,1123438,600050,
219,2021/11/30,3.832,3.842,3.882,3.822,1309859,600050,
220,2021/12/1,3.842,3.872,3.882,3.832,635812,600050,
221,2021/12/2,3.872,3.862,3.872,3.852,615198,600050,
222,2021/12/3,3.862,3.872,3.882,3.832,895962,600050,
223,2021/12/6,3.872,3.862,3.882,3.842,855652,600050,
224,2021/12/7,3.872,3.882,3.892,3.862,809807,600050,3.9800434
225,2021/12/8,3.892,3.882,3.902,3.862,747357,600050,3.9816296
226,2021/12/9,3.882,3.902,3.922,3.872,1346733,600050,3.9806252
227,2021/12/10,3.892,3.912,3.922,3.892,1322334,600050,3.9783587
228,2021/12/13,3.912,3.902,3.942,3.892,991828,600050,3.9734128
229,2021/12/14,3.902,3.892,3.912,3.882,675948,600050,3.9762585
230,2021/12/15,3.892,3.892,3.912,3.882,566487,600050,3.979408
231,2021/12/16,3.892,3.912,3.912,3.872,802368,600050,3.9824922
232,2021/12/17,3.902,3.922,3.922,3.892,898374,600050,3.9822776
233,2021/12/20,3.922,3.932,3.942,3.912,957498,600050,3.9790246
234,2021/12/21,3.942,3.932,3.942,3.912,816614,600050,3.979308
235,2021/12/22,3.942,3.902,3.942,3.892,968272,600050,3.9796765
236,2021/12/23,3.902,3.892,3.912,3.882,579118,600050,3.9838936
237,2021/12/24,3.892,3.882,3.902,3.872,598316,600050,3.9817748
238,2021/12/27,3.882,3.892,3.902,3.872,580864,600050,3.983438
239,2021/12/28,3.902,3.892,3.912,3.882,679452,600050,3.9814696
240,2021/12/29,3.892,3.882,3.902,3.872,616861,600050,3.9814198
241,2021/12/30,3.882,3.882,3.902,3.872,624350,600050,3.982781
242,2021/12/31,3.892,3.892,3.902,3.872,753943,600050,3.985532
243,2022/1/3,,,,,,,3.9814668
