,date,open,close,high,low,volume,code,predict
99,2019/6/3,21.028,20.978,21.228,20.618,222492,600104,
100,2019/6/4,21.078,21.248,21.348,20.768,190776,600104,
101,2019/6/5,21.348,21.098,21.478,21.048,156861,600104,
102,2019/6/6,21.198,21.138,21.318,20.938,164369,600104,
103,2019/6/10,21.468,20.858,21.858,20.728,289789,600104,
104,2019/6/11,20.658,21.128,21.278,20.478,229170,600104,
105,2019/6/12,21.008,21.318,21.328,20.738,167498,600104,
106,2019/6/13,21.298,21.158,21.358,20.848,150527,600104,
107,2019/6/14,21.128,20.878,21.328,20.778,153066,600104,
108,2019/6/17,20.978,20.938,21.128,20.878,127351,600104,
109,2019/6/18,20.978,20.678,21.138,20.638,147260,600104,
110,2019/6/19,21.078,20.998,21.228,20.948,193370,600104,
111,2019/6/20,21.068,21.568,21.658,20.898,306051,600104,
112,2019/6/21,21.578,21.838,21.868,21.578,211942,600104,
113,2019/6/24,21.768,21.978,22.028,21.618,131794,600104,
114,2019/6/25,22.048,21.858,22.158,21.758,182675,600104,
115,2019/6/26,21.778,22.178,22.348,21.758,185848,600104,
116,2019/6/27,22.278,22.118,22.638,21.958,186443,600104,
117,2019/6/28,22.148,22.078,22.458,21.898,153719,600104,
118,2019/7/1,22.358,22.628,22.818,22.358,264994,600104,
119,2019/7/2,22.578,23.358,23.678,22.398,370204,600104,
120,2019/7/3,23.388,23.378,23.548,23.178,259852,600104,
121,2019/7/4,23.428,23.428,24.058,23.378,268546,600104,
122,2019/7/5,23.428,23.548,23.708,23.038,222524,600104,
123,2019/7/8,23.558,22.768,23.628,22.628,239256,600104,
124,2019/7/9,22.868,22.808,23.398,22.678,294641,600104,
125,2019/7/10,22.988,22.268,23.008,22.158,227175,600104,
126,2019/7/11,22.448,22.108,22.658,21.958,240174,600104,
127,2019/7/12,22.328,21.738,22.328,21.488,346931,600104,
128,2019/7/15,21.688,22.028,22.268,20.878,330001,600104,
129,2019/7/16,22.068,21.798,22.188,21.718,152473,600104,
130,2019/7/17,21.718,21.928,22.158,21.418,181119,600104,
131,2019/7/18,21.808,21.498,21.818,21.458,124326,600104,
132,2019/7/19,21.558,21.548,21.888,21.338,154473,600104,
133,2019/7/22,21.538,21.228,21.668,21.178,136250,600104,
134,2019/7/23,21.268,21.728,21.948,21.168,201511,600104,
135,2019/7/24,21.838,22.528,22.638,21.838,248186,600104,
136,2019/7/25,22.538,22.188,22.688,22.118,173229,600104,
137,2019/7/26,22.038,22.188,22.268,21.968,116354,600104,
138,2019/7/29,22.158,22.508,22.548,21.898,149328,600104,
139,2019/7/30,22.438,22.738,23.098,22.358,293999,600104,
140,2019/7/31,22.838,22.678,22.918,22.628,167931,600104,
141,2019/8/1,22.738,22.428,22.878,22.358,154824,600104,
142,2019/8/2,21.738,22.018,22.228,21.438,209464,600104,
143,2019/8/5,21.938,21.448,22.068,21.448,180847,600104,
144,2019/8/6,21.188,21.658,21.908,21.008,274064,600104,
145,2019/8/7,21.748,21.458,22.058,21.388,196527,600104,
146,2019/8/8,21.818,22.218,22.308,21.588,189773,600104,
147,2019/8/9,22.308,22.218,22.828,21.938,191967,600104,
148,2019/8/12,22.228,22.148,22.458,22.078,135574,600104,
149,2019/8/13,22.048,21.768,22.348,21.658,184405,600104,
150,2019/8/14,22.048,22.238,22.438,21.938,212518,600104,
151,2019/8/15,21.988,22.488,22.798,21.808,337818,600104,
152,2019/8/16,22.538,22.378,22.758,22.328,204578,600104,
153,2019/8/19,22.638,22.338,22.838,22.058,363658,600104,
154,2019/8/20,22.328,22.098,22.338,21.908,230216,600104,
155,2019/8/21,22.018,21.928,22.078,21.778,201927,600104,
