,date,open,close,high,low,volume,code,predict
117,2020/7/1,32.45,31.8,32.45,31.42,408416,600196,
118,2020/7/2,32.5,33.09,34.5,32.49,796729,600196,
119,2020/7/3,33.31,33.04,33.31,32.23,504572,600196,
120,2020/7/6,33.04,33.95,34.12,32.74,631635,600196,
121,2020/7/7,34.1,34.15,34.82,33.63,659338,600196,
122,2020/7/8,34.09,34.16,34.32,33.69,471894,600196,
123,2020/7/9,34.01,34.62,35.22,33.85,578583,600196,
124,2020/7/10,34.44,34.16,35.16,33.99,497894,600196,
125,2020/7/13,34.49,36.26,36.59,34.49,644843,600196,
126,2020/7/14,38.2,37.56,39.12,36.9,952882,600196,
127,2020/7/15,38.58,41.45,41.45,38.12,1337557,600196,
128,2020/7/16,41.42,37.17,41.42,37.17,1287031,600196,
129,2020/7/17,36.77,38.72,39.5,36.01,835496,600196,
130,2020/7/20,39.97,39.67,40.91,38.85,649853,600196,
131,2020/7/21,40.27,42.58,43.31,40.27,930480,600196,
132,2020/7/22,41.51,41.89,43.05,41.37,667696,600196,
133,2020/7/23,43.43,46.22,46.22,42.72,1363361,600196,
134,2020/7/24,45.12,46.74,50.41,44.6,1626637,600196,
135,2020/7/27,47.32,51.55,51.55,46.94,934269,600196,
136,2020/7/28,53.41,49.9,55.12,48.62,1887338,600196,
137,2020/7/29,49.17,54.51,54.9,49.12,1516693,600196,
138,2020/7/30,56.01,58.01,60.06,55.01,1951186,600196,
139,2020/7/31,56.11,61.24,61.81,56.02,1560381,600196,
140,2020/8/3,61.61,67.46,67.46,59.37,1522937,600196,
141,2020/8/4,69.01,66.29,73.59,62.66,2187965,600196,
142,2020/8/5,63.59,73.02,73.02,63.02,1767912,600196,
143,2020/8/6,75.01,74.61,78.2,69.08,2071434,600196,
144,2020/8/7,72.03,68.71,74.21,67.19,1793634,600196,
145,2020/8/10,67.11,63.41,67.11,63.11,1566318,600196,
146,2020/8/11,62.39,61.12,64.96,60.51,1395209,600196,
147,2020/8/12,61.01,57.57,61.71,55.69,1514843,600196,
148,2020/8/13,58.63,59.06,60.39,56.69,1369695,600196,
149,2020/8/14,57.61,57.21,58.48,55.24,1074157,600196,
150,2020/8/17,58.02,58.31,59.15,56.39,1020673,600196,
151,2020/8/18,57.91,57.53,59.49,56.89,908549,600196,
152,2020/8/19,57.01,53.22,57.01,53.12,1220360,600196,
153,2020/8/20,52.81,53.86,54.58,52.36,769445,600196,
154,2020/8/21,54,52.5,54.49,52.01,710980,600196,
155,2020/8/24,53.04,53.32,53.66,51.53,570876,600196,
156,2020/8/25,53.42,51.99,53.61,51.83,522910,600196,
157,2020/8/26,52.51,52.25,54.07,52.07,829591,600196,
158,2020/8/27,51.84,51.69,52,49.89,676090,600196,
159,2020/8/28,52.89,55.24,55.6,51.97,1201179,600196,
160,2020/8/31,55.24,53.83,55.26,53.51,720581,600196,
161,2020/9/1,53.01,52.71,53.62,51.91,515368,600196,
162,2020/9/2,52.51,52.31,53.35,52.19,370647,600196,
163,2020/9/3,52.71,51.93,53.29,51.72,464093,600196,
164,2020/9/4,50.02,51.61,52.01,50.01,407955,600196,
165,2020/9/7,51.57,48.89,51.57,48.79,571935,600196,
166,2020/9/8,49.62,49.53,50.08,48.59,356652,600196,
167,2020/9/9,48.69,47.12,48.7,47.12,513087,600196,
168,2020/9/10,48.31,47.42,48.89,47.41,391340,600196,
169,2020/9/11,47.61,47.42,48.38,47.22,342200,600196,
170,2020/9/14,47.67,46.76,48.26,46.26,408013,600196,
171,2020/9/15,47,48.69,49.31,46.34,573403,600196,
172,2020/9/16,48.36,46.21,48.39,45.91,593425,600196,
173,2020/9/17,45.72,45.79,46.27,44.9,417012,600196,
174,2020/9/18,45.78,46.76,47.1,45.62,376921,600196,
175,2020/9/21,46.81,47.04,47.71,46.05,330919,600196,
176,2020/9/22,46.68,47.38,48.61,46.51,510491,600196,
177,2020/9/23,47.43,51.16,51.43,46.61,1038434,600196,
178,2020/9/24,50.01,50.46,51.48,49.35,726274,600196,
