,date,open,close,high,low,volume,code,predict
0,2017/1/3,16.12,16.343,16.491,16.083,45691,600276,
1,2017/1/4,16.395,16.558,16.654,16.346,47645,600276,
2,2017/1/5,16.543,16.562,16.628,16.48,48903,600276,
3,2017/1/6,16.543,16.339,16.617,16.298,41927,600276,
4,2017/1/9,16.309,16.183,16.354,16.046,71542,600276,
5,2017/1/10,16.176,16.358,16.38,16.116,32582,600276,
6,2017/1/11,16.369,16.072,16.369,16.046,52474,600276,
7,2017/1/12,16.068,16.068,16.206,15.99,35404,600276,
8,2017/1/13,16.068,16.217,16.22,16.027,53792,600276,
9,2017/1/16,16.157,16.521,16.565,16.046,141228,600276,
10,2017/1/17,16.417,16.45,16.513,16.365,34105,600276,
11,2017/1/18,16.484,16.536,16.554,16.45,31983,600276,
12,2017/1/19,16.528,16.699,16.714,16.487,39581,600276,
13,2017/1/20,16.699,16.714,16.773,16.643,29541,600276,
14,2017/1/23,16.714,16.94,16.962,16.647,37032,600276,
15,2017/1/24,16.966,16.654,16.985,16.602,67773,600276,
16,2017/1/25,16.677,17.003,17.33,16.64,53950,600276,
17,2017/1/26,17.048,17.022,17.27,16.988,34472,600276,
18,2017/2/3,17.051,17.415,17.471,16.981,38259,600276,
19,2017/2/6,17.378,17.189,17.886,17.085,79007,600276,
20,2017/2/7,17.159,17.066,17.159,17.018,35938,600276,
21,2017/2/8,17.129,17.181,17.244,17.077,35248,600276,
22,2017/2/9,17.226,17.14,17.404,17.07,60693,600276,
23,2017/2/10,17.148,17.014,17.174,16.929,50732,600276,
24,2017/2/13,17.033,17.044,17.122,16.87,38246,600276,
25,2017/2/14,17.048,17.2,17.292,16.996,39426,600276,
26,2017/2/15,17.159,17.036,17.259,16.981,27707,600276,
27,2017/2/16,17.048,17.608,17.73,17.048,58633,600276,
28,2017/2/17,17.604,17.485,17.637,17.422,28817,600276,
29,2017/2/20,17.5,17.73,17.893,17.4,52931,600276,
30,2017/2/21,17.793,17.771,18.086,17.649,46595,600276,
31,2017/2/22,17.83,17.812,17.901,17.645,32161,600276,
32,2017/2/23,17.741,17.949,17.975,17.686,54343,600276,
33,2017/2/24,17.986,18.331,18.383,17.975,77912,600276,
34,2017/2/27,18.305,18.127,18.305,17.994,53392,600276,
35,2017/2/28,18.127,17.971,18.224,17.864,40963,600276,
36,2017/3/1,17.953,17.767,18.064,17.745,71447,600276,
37,2017/3/2,17.775,17.678,17.956,17.623,54695,600276,
38,2017/3/3,17.682,17.752,17.771,17.652,28468,600276,
39,2017/3/6,17.767,17.901,18.031,17.697,44008,600276,
40,2017/3/7,17.956,18.253,18.283,17.938,63747,600276,
41,2017/3/8,18.16,18.339,18.379,18.138,34131,600276,
42,2017/3/9,18.45,18.257,18.45,18.194,34251,600276,
43,2017/3/10,18.257,18.301,18.442,18.224,51258,600276,
44,2017/3/13,18.086,18.109,18.235,17.938,121568,600276,
45,2017/3/14,18.123,18.157,18.183,17.901,75838,600276,
46,2017/3/15,18.112,18.658,18.676,18.06,72753,600276,
47,2017/3/16,18.617,18.498,18.743,18.383,69437,600276,
48,2017/3/17,18.513,18.554,18.624,18.383,44435,600276,
49,2017/3/20,18.505,18.721,18.94,18.394,60692,600276,
50,2017/3/21,18.661,19.118,19.155,18.643,61339,600276,
51,2017/3/22,19.125,19.184,19.273,18.98,43334,600276,
52,2017/3/23,19.266,19.177,19.437,18.94,67302,600276,
53,2017/3/24,19.199,19.118,19.385,19.069,62568,600276,
54,2017/3/27,19.08,19.236,19.566,18.98,58914,600276,
55,2017/3/28,19.184,19.251,19.44,19.129,39465,600276,
56,2017/3/29,19.251,19.069,19.37,18.988,39111,600276,
57,2017/3/30,19.125,19.029,19.229,18.802,53849,600276,
58,2017/3/31,18.999,19.433,19.44,18.951,46314,600276,
59,2017/4/5,19.392,19.492,19.674,19.266,59591,600276,
60,2017/4/6,19.607,19.578,19.678,19.451,43743,600276,
61,2017/4/7,19.596,19.618,19.715,19.57,42309,600276,
62,2017/4/10,19.7,19.273,19.7,19.062,71083,600276,
63,2017/4/11,19.244,18.899,19.244,18.71,104866,600276,
64,2017/4/12,18.865,19.073,19.199,18.825,55294,600276,
65,2017/4/13,19.077,19.37,19.381,18.973,36000,600276,
66,2017/4/14,19.37,19.31,19.377,19.188,19685,600276,
67,2017/4/17,19.229,19.377,19.381,19.121,33227,600276,
68,2017/4/18,19.314,19.667,19.856,19.314,62663,600276,
69,2017/4/19,19.715,19.67,19.715,19.403,68496,600276,
70,2017/4/20,19.674,19.971,20.075,19.585,82221,600276,
71,2017/4/21,19.863,20.156,20.164,19.822,62448,600276,
72,2017/4/24,20.082,20.271,20.301,19.481,67090,600276,
73,2017/4/25,20.097,20.197,20.423,20.071,53870,600276,
74,2017/4/26,20.19,19.897,20.446,19.793,74585,600276,
75,2017/4/27,19.871,19.574,19.874,19.422,135524,600276,
76,2017/4/28,19.57,19.173,19.681,18.932,180879,600276,
77,2017/5/2,19.173,18.991,19.173,18.884,82470,600276,
78,2017/5/3,19.01,19.203,19.374,19.006,79004,600276,
79,2017/5/4,19.266,19.455,19.477,19.088,86055,600276,
80,2017/5/5,19.463,19.548,19.566,19.31,88036,600276,
81,2017/5/8,19.537,19.578,19.637,19.377,98875,600276,
82,2017/5/9,19.552,19.451,19.552,19.099,93551,600276,
83,2017/5/10,19.496,19.815,20.164,19.348,84083,600276,
84,2017/5/11,19.789,20.023,20.112,19.693,77866,600276,
85,2017/5/12,20.015,20.038,20.212,19.978,47175,600276,
86,2017/5/15,20.09,20.238,20.312,19.926,59282,600276,
87,2017/5/16,20.145,20.728,20.805,20.13,67828,600276,
88,2017/5/17,20.716,20.587,20.976,20.435,53194,600276,
89,2017/5/18,20.535,21.102,21.139,20.475,67898,600276,
90,2017/5/19,21.087,21.065,21.202,20.831,46090,600276,
91,2017/5/22,21.061,21.284,21.469,20.998,57953,600276,
92,2017/5/23,21.269,21.61,21.644,21.113,65579,600276,
93,2017/5/24,21.622,21.577,21.685,21.176,67417,600276,
94,2017/5/25,21.466,21.017,21.648,21.009,59962,600276,
95,2017/5/26,21.017,21.124,21.162,20.802,57285,600276,
96,2017/5/31,21.155,21.493,21.564,21.074,82142,600276,
97,2017/6/1,21.444,21.925,21.934,21.297,72126,600276,
98,2017/6/2,21.764,21.622,21.88,21.373,82315,600276,
99,2017/6/5,21.533,21.039,21.586,20.95,115766,600276,
100,2017/6/6,21.012,21.359,21.364,20.905,74619,600276,
101,2017/6/7,21.346,21.738,21.756,21.337,77925,600276,
102,2017/6/8,21.751,22.147,22.276,21.72,88318,600276,
103,2017/6/9,22.187,22.094,22.383,21.92,72850,600276,
104,2017/6/12,22.103,22.134,22.383,21.942,80310,600276,
105,2017/6/13,22.143,21.942,22.183,21.764,72278,600276,
106,2017/6/14,21.942,21.951,22.014,21.724,61160,600276,
107,2017/6/15,21.951,21.818,21.951,21.537,82376,600276,
108,2017/6/16,21.715,22.192,22.374,21.711,174206,600276,
109,2017/6/19,22.032,21.707,22.143,21.658,110271,600276,
110,2017/6/20,21.72,21.275,21.787,21.163,135726,600276,
111,2017/6/21,21.364,21.582,21.591,21.083,177570,600276,
112,2017/6/22,21.542,21.368,21.764,21.328,127644,600276,
113,2017/6/23,21.364,21.644,21.782,21.319,92978,600276,
114,2017/6/26,21.738,22.072,22.129,21.626,123357,600276,
115,2017/6/27,22.08,22.076,22.187,21.867,74837,600276,
116,2017/6/28,21.951,21.631,22.018,21.586,70764,600276,
117,2017/6/29,21.591,21.862,21.978,21.586,70709,600276,
118,2017/6/30,21.845,21.849,21.942,21.635,49714,600276,
119,2017/7/3,21.92,21.622,22.032,21.586,76612,600276,
120,2017/7/4,21.542,21.221,21.586,21.141,101196,600276,
