,date,open,close,high,low,volume,code,predict
161,2020/9/1,68.82,70.46,70.53,68.5,117141,600309,
162,2020/9/2,70.8,69.7,71.15,68.8,121115,600309,
163,2020/9/3,70.31,72,73.49,69.98,210624,600309,
164,2020/9/4,70.13,73.7,74.25,69.4,195955,600309,
165,2020/9/7,73.42,69.08,74.37,67.8,263971,600309,
166,2020/9/8,68.69,69.88,70.05,65.8,223940,600309,
167,2020/9/9,67.4,65.9,67.59,64.22,217636,600309,
168,2020/9/10,66.84,68,69.45,65.7,180926,600309,
169,2020/9/11,67.5,68.35,69,66.45,152010,600309,
170,2020/9/14,69.08,70.28,71.05,68.56,175025,600309,
171,2020/9/15,70.5,71.6,72.25,69.2,135501,600309,
172,2020/9/16,71.2,71.48,72.65,71.1,115647,600309,
173,2020/9/17,72.2,72.1,73.17,70.5,155452,600309,
174,2020/9/18,71.16,71.19,73.13,70.5,206957,600309,
175,2020/9/21,71.8,72.2,72.56,71,129710,600309,
176,2020/9/22,70.7,68.21,71.43,68.2,204628,600309,
177,2020/9/23,68.64,67.3,69.26,66.58,161367,600309,
178,2020/9/24,67.24,65.79,67.24,65.51,130867,600309,
179,2020/9/25,67.91,65.23,67.91,64.9,137351,600309,
180,2020/9/28,65.6,66.52,67.12,65.21,121414,600309,
181,2020/9/29,67.05,66.54,67.79,66.52,110822,600309,
182,2020/9/30,66.52,65.5,67.18,64.9,135117,600309,
183,2020/10/9,67.2,68.4,68.68,66.65,141667,600309,
184,2020/10/12,68.7,73.4,73.75,68.7,208909,600309,
185,2020/10/13,73.2,75.3,77.31,72.58,185673,600309,
186,2020/10/14,75.99,76.35,77.38,75.66,157264,600309,
187,2020/10/15,76.34,75.77,77.27,75.44,135585,600309,
188,2020/10/16,76,75.8,76.98,74.52,126840,600309,
189,2020/10/19,76.68,75.5,78,74.82,140784,600309,
190,2020/10/20,75.15,76.1,76.28,74.98,87640,600309,
191,2020/10/21,76.4,75.32,77,74.83,98342,600309,
192,2020/10/22,75.79,74.61,76,73.8,82232,600309,
193,2020/10/23,73.86,74.9,77.08,73.03,196350,600309,
194,2020/10/26,74.17,72.7,74.89,71.1,166454,600309,
195,2020/10/27,73.26,73.79,74.85,73,113671,600309,
196,2020/10/28,76.2,78.5,79.15,75.6,260924,600309,
197,2020/10/29,77.75,74.65,78.5,74.09,283635,600309,
198,2020/10/30,74.47,74.69,77.4,74.25,169773,600309,
199,2020/11/2,74.9,75.78,76.88,73.97,157377,600309,
200,2020/11/3,77.09,76.25,77.18,75,123570,600309,
201,2020/11/4,75.38,79.33,79.36,75.38,178669,600309,
202,2020/11/5,79.65,79.75,80.9,78,161085,600309,
203,2020/11/6,80.75,82.06,83.42,79.26,210338,600309,
204,2020/11/9,83.3,83.6,85.08,81.37,201445,600309,
205,2020/11/10,84.48,86.44,88.08,83.7,223334,600309,
206,2020/11/11,86.2,84.7,87.07,84.29,151695,600309,
207,2020/11/12,85.27,86.68,86.8,84.74,128139,600309,
208,2020/11/13,85.22,84.1,86.2,82.42,212055,600309,
209,2020/11/16,85.18,88.15,88.91,83.32,228630,600309,
210,2020/11/17,87.45,86.59,88.36,85.2,169590,600309,
211,2020/11/18,86.27,86.59,89.15,85.2,185968,600309,
212,2020/11/19,85.7,85.69,86.2,83.02,140040,600309,
213,2020/11/20,85.6,86.8,87.6,85.45,96553,600309,
214,2020/11/23,87.38,85.61,89.53,84.99,228038,600309,
215,2020/11/24,86.13,83.45,86.13,81.86,291738,600309,
216,2020/11/25,85.03,80.38,85.03,80.26,204509,600309,
217,2020/11/26,79.9,78.3,80.4,76.28,348682,600309,
218,2020/11/27,79.2,80.08,81.69,78.4,253162,600309,
219,2020/11/30,79.2,77.4,80.4,77.4,217217,600309,
220,2020/12/1,77.97,80.2,80.43,77.42,189123,600309,
221,2020/12/2,79.7,79.16,80.44,78.2,121043,600309,
222,2020/12/3,79.48,79.35,80.02,78.1,121717,600309,
223,2020/12/4,79.53,80.56,81.65,79.13,140837,600309,
224,2020/12/7,80.3,79.44,80.7,78.4,130859,600309,
225,2020/12/8,79.45,79.19,81.08,78.91,117957,600309,
226,2020/12/9,79.3,78.8,80.19,78.47,85375,600309,
227,2020/12/10,78.08,78.32,79.7,77.49,115309,600309,
228,2020/12/11,78.35,78.02,80.27,77.2,141719,600309,
229,2020/12/14,77.86,76.46,78.35,75.99,183228,600309,
230,2020/12/15,76.93,80.29,80.55,76.5,211774,600309,
231,2020/12/16,80.63,82.55,82.9,80.63,179928,600309,
232,2020/12/17,82.65,82.15,84.1,81.64,168853,600309,
233,2020/12/18,82.16,83.3,84.4,82.16,158250,600309,
234,2020/12/21,83.1,85.02,85.14,82.02,157956,600309,
235,2020/12/22,84.05,82.18,84.57,82.01,178547,600309,
236,2020/12/23,82.28,83.16,84.5,81.7,143077,600309,
237,2020/12/24,83.68,84.8,85.02,82.26,158654,600309,
238,2020/12/25,83.9,87.41,87.94,82.9,196569,600309,
