,date,open,close,high,low,volume,code,predict
108,2021/7/1,5.22,5.21,5.34,5.19,411681,600340,
109,2021/7/2,5.18,5.06,5.2,5.05,424908,600340,
110,2021/7/5,5.07,5.12,5.19,4.99,366979,600340,
111,2021/7/6,5.1,5.36,5.44,5.09,932561,600340,
112,2021/7/7,5.3,5.4,5.44,5.28,635756,600340,
113,2021/7/8,5.39,5.74,5.85,5.37,1461137,600340,
114,2021/7/9,5.65,5.68,6,5.61,1192491,600340,
115,2021/7/12,5.77,5.46,5.78,5.45,898534,600340,
116,2021/7/13,5.5,5.46,5.57,5.38,537321,600340,
117,2021/7/14,5.45,5.27,5.46,5.26,593772,600340,
118,2021/7/15,5.25,5.21,5.27,5.15,433002,600340,
119,2021/7/16,5.21,5.18,5.28,5.15,359494,600340,
120,2021/7/19,5.16,5.18,5.23,5.07,388068,600340,
121,2021/7/20,5.02,5.08,5.11,5.01,407554,600340,
122,2021/7/21,5.08,5.04,5.13,5.03,317763,600340,
123,2021/7/22,5.05,5.03,5.11,5.02,318877,600340,
124,2021/7/23,5.04,4.94,5.06,4.93,442049,600340,
125,2021/7/26,4.94,4.66,4.94,4.61,590479,600340,
126,2021/7/27,4.67,4.42,4.71,4.41,553699,600340,
127,2021/7/28,4.4,4.25,4.43,4.23,451182,600340,
128,2021/7/29,4.29,4.28,4.33,4.25,285934,600340,
129,2021/7/30,4.28,4.33,4.33,4.19,338774,600340,
130,2021/8/2,4.22,4.29,4.33,4.13,429330,600340,
131,2021/8/3,4.27,4.26,4.36,4.25,314741,600340,
132,2021/8/4,4.25,4.19,4.28,4.18,310047,600340,
133,2021/8/5,4.19,4.21,4.38,4.18,493640,600340,
134,2021/8/6,4.19,4.14,4.2,4.1,347527,600340,
135,2021/8/9,4.13,4.22,4.29,4.11,421372,600340,
136,2021/8/10,4.22,4.31,4.33,4.19,365518,600340,
137,2021/8/11,4.33,4.35,4.49,4.33,563733,600340,
138,2021/8/12,4.32,4.3,4.35,4.27,361986,600340,
139,2021/8/13,4.31,4.26,4.33,4.25,236833,600340,
140,2021/8/16,4.23,4.27,4.34,4.2,317742,600340,
141,2021/8/17,4.26,4.23,4.38,4.21,431241,600340,
142,2021/8/18,4.23,4.27,4.27,4.15,345979,600340,
143,2021/8/19,4.24,4.16,4.26,4.15,359951,600340,
144,2021/8/20,4.15,4.08,4.17,4.03,382665,600340,
145,2021/8/23,4.05,3.96,4.1,3.93,703150,600340,
146,2021/8/24,3.95,3.85,3.97,3.82,628215,600340,
147,2021/8/25,3.85,3.85,3.89,3.8,358158,600340,
148,2021/8/26,3.83,3.79,3.88,3.79,381175,600340,
149,2021/8/27,3.7,4.01,4.05,3.64,1075324,600340,
150,2021/8/30,3.92,3.78,3.93,3.78,602023,600340,
151,2021/8/31,3.76,3.79,3.84,3.73,360073,600340,
152,2021/9/1,3.78,4.01,4.15,3.77,866011,600340,
153,2021/9/2,3.98,4.05,4.14,3.95,648383,600340,
154,2021/9/3,4.06,4.17,4.23,3.98,694410,600340,
155,2021/9/6,4.1,4.03,4.14,4.02,524702,600340,
156,2021/9/7,4.05,4.06,4.08,4,350004,600340,
157,2021/9/8,4.05,4.14,4.14,4.04,539864,600340,
158,2021/9/9,4.13,4.15,4.23,4.12,475375,600340,
