,date,open,close,high,low,volume,code,predict
0,2021/1/4,1959.012,1956.032,1964.022,1942.842,43514,600519,
1,2021/1/5,1949.032,2018.482,2018.482,1941.492,52116,600519,
2,2021/1/6,2023.832,2059.032,2084.032,1995.062,47410,600519,
3,2021/1/7,2056.032,2099.032,2099.032,2034.032,37931,600519,
4,2021/1/8,2101.032,2049.032,2109.912,2022.052,53862,600519,
5,2021/1/11,2049.032,2058.762,2109.532,2017.632,51080,600519,
6,2021/1/12,2047.032,2119.932,2119.932,2044.032,41059,600519,
7,2021/1/13,2123.032,2123.032,2132.362,2094.032,34390,600519,
8,2021/1/14,2115.032,2093.032,2122.032,2075.142,36152,600519,
9,2021/1/15,2074.032,2041.032,2093.382,1988.032,59509,600519,
10,2021/1/18,2020.092,2022.032,2050.512,1999.302,39144,600519,
11,2021/1/19,2032.142,1968.442,2055.332,1965.882,46345,600519,
12,2021/1/20,1967.032,1999.662,2014.522,1941.532,45082,600519,
13,2021/1/21,2007.032,2029.032,2049.052,2000.032,38310,600519,
14,2021/1/22,2028.032,2038.982,2059.032,2019.132,29248,600519,
15,2021/1/25,2042.032,2134.032,2138.532,2042.032,55957,600519,
16,2021/1/26,2144.032,2100.922,2146.032,2084.142,31747,600519,
17,2021/1/27,2100.922,2048.032,2100.922,2044.032,37120,600519,
18,2021/1/28,2039.032,2047.032,2068.692,2019.052,35129,600519,
19,2021/1/29,2060.222,2075.212,2108.512,2049.252,33701,600519,
20,2021/2/1,2089.032,2068.352,2119.032,2054.032,29341,600519,
21,2021/2/2,2071.252,2104.032,2109.022,2061.132,34582,600519,
22,2021/2/3,2109.032,2148.942,2157.302,2099.032,38714,600519,
23,2021/2/4,2150.032,2279.882,2289.032,2150.032,63851,600519,
24,2021/2/5,2284.032,2272.032,2323.632,2250.032,39729,600519,
25,2021/2/8,2296.032,2327.832,2337.912,2272.032,35786,600519,
26,2021/2/9,2327.832,2415.462,2415.462,2309.032,33297,600519,
27,2021/2/10,2444.032,2560.032,2560.232,2444.032,61371,600519,
28,2021/2/18,2547.012,2430.032,2586.912,2424.032,65912,600519,
29,2021/2/19,2410.192,2419.032,2455.692,2340.632,59385,600519,
30,2021/2/22,2414.032,2247.052,2414.032,2237.252,78935,600519,
31,2021/2/23,2224.172,2266.032,2303.922,2224.032,57455,600519,
32,2021/2/24,2267.022,2148.032,2277.032,2119.532,82116,600519,
33,2021/2/25,2168.032,2109.032,2183.532,2080.242,59726,600519,
34,2021/2/26,2059.032,2081.812,2138.982,2026.332,66525,600519,
35,2021/3/1,2138.032,2117.032,2138.032,2079.032,44916,600519,
36,2021/3/2,2139.032,2017.032,2139.032,1992.032,70765,600519,
37,2021/3/3,1999.032,2099.032,2108.802,1992.032,54215,600519,
38,2021/3/4,2054.032,1992.032,2055.032,1969.132,65088,600519,
39,2021/3/5,1959.032,2019.142,2054.032,1947.032,63779,600519,
40,2021/3/8,2033.992,1919.032,2044.032,1919.032,63100,600519,
41,2021/3/9,1914.032,1896.022,1959.032,1859.212,82266,600519,
42,2021/3/10,1936.032,1929.042,1958.902,1926.032,51172,600519,
43,2021/3/11,1934.032,2007.032,2039.022,1920.512,56769,600519,
44,2021/3/12,2029.032,1985.032,2036.032,1961.042,40323,600519,
45,2021/3/15,2009.032,1934.482,2028.832,1910.182,62485,600519,
46,2021/3/16,1933.962,1969.532,1979.022,1924.032,34649,600519,
47,2021/3/17,1959.032,1989.392,2009.032,1935.042,31375,600519,
48,2021/3/18,1994.032,2028.732,2045.392,1994.032,33865,600519,
49,2021/3/19,1994.032,1969.032,2002.032,1951.262,35781,600519,
50,2021/3/22,1959.132,1949.022,1985.122,1914.582,36914,600519,
51,2021/3/23,1957.912,1955.032,1967.832,1929.032,27446,600519,
52,2021/3/24,1940.032,1948.032,1972.032,1940.032,29357,600519,
53,2021/3/25,1929.042,1930.032,1947.912,1905.832,31575,600519,
54,2021/3/26,1944.032,1972.032,1981.032,1917.032,50016,600519,
55,2021/3/29,2002.232,1993.132,2055.382,1985.182,56992,600519,
56,2021/3/30,1999.032,2015.082,2045.032,1994.112,32627,600519,
57,2021/3/31,2004.132,1968.032,2005.052,1959.032,37154,600519,
58,2021/4/1,1980.032,2003.532,2005.832,1960.252,26588,600519,
59,2021/4/2,2015.032,2121.032,2124.032,2015.032,52028,600519,
60,2021/4/6,2120.032,2085.062,2121.012,2061.332,32742,600519,
61,2021/4/7,2063.092,2020.032,2076.332,2009.032,40201,600519,
62,2021/4/8,2006.062,2029.032,2038.032,2003.032,28548,600519,
63,2021/4/9,2001.032,1979.032,2013.032,1964.042,28809,600519,
64,2021/4/12,1970.032,1967.922,1989.032,1950.732,31943,600519,
65,2021/4/13,1979.032,1980.032,2008.832,1968.032,28992,600519,
66,2021/4/14,1994.032,2006.032,2007.032,1975.032,24115,600519,
67,2021/4/15,1989.932,1974.632,2005.932,1949.032,34366,600519,
68,2021/4/16,1984.112,2014.012,2027.032,1971.032,30294,600519,
69,2021/4/19,2014.032,2047.032,2057.392,1992.032,31754,600519,
70,2021/4/20,2030.132,2053.832,2088.032,2029.032,28290,600519,
71,2021/4/21,2035.032,2039.032,2056.832,2024.132,26150,600519,
72,2021/4/22,2048.932,2014.532,2058.032,2010.532,26850,600519,
73,2021/4/23,2015.002,2067.972,2078.912,2011.532,33463,600519,
74,2021/4/26,2091.032,2036.852,2094.032,2032.632,34045,600519,
75,2021/4/27,2046.112,2053.472,2054.282,2024.122,22108,600519,
76,2021/4/28,1969.032,2001.032,2006.532,1962.032,81343,600519,
77,2021/4/29,2006.072,1985.392,2008.972,1973.032,41284,600519,
78,2021/4/30,1985.032,1965.812,1995.032,1962.742,38401,600519,
79,2021/5/6,1959.032,1918.032,1965.872,1912.032,53546,600519,
80,2021/5/7,1924.032,1862.032,1927.012,1860.032,52493,600519,
81,2021/5/10,1859.032,1838.062,1868.032,1825.042,46003,600519,
82,2021/5/11,1835.032,1918.032,1925.032,1832.332,42494,600519,
83,2021/5/12,1908.112,1943.032,1958.032,1908.032,32699,600519,
84,2021/5/13,1924.782,1930.532,1944.082,1912.032,25078,600519,
85,2021/5/14,1941.032,1968.882,1989.532,1935.032,35611,600519,
86,2021/5/17,1984.132,2016.992,2044.232,1984.132,44524,600519,
87,2021/5/18,2024.032,2018.342,2036.032,2004.092,17504,600519,
88,2021/5/19,2018.032,2008.032,2033.842,1999.032,22410,600519,
89,2021/5/20,2033.032,2017.912,2033.132,2004.392,21857,600519,
90,2021/5/21,2014.112,2001.132,2038.912,1996.052,24248,600519,
