,date,open,close,high,low,volume,code,predict
0,2018/1/2,20.41,22.57,22.71,20.14,1064145,600585,
1,2018/1/3,22.81,22.29,23.33,22.26,788426,600585,
2,2018/1/4,22.27,22.71,23.37,22.27,531271,600585,
3,2018/1/5,22.9,23.26,23.94,22.74,610325,600585,
4,2018/1/8,24.58,24.58,26.11,24,899758,600585,
5,2018/1/9,24.66,23.99,24.79,23.76,524712,600585,
6,2018/1/10,24.11,24.32,25.34,23.94,498450,600585,
7,2018/1/11,23.51,21.85,23.51,21.38,1211713,600585,
8,2018/1/12,21.81,22.17,22.76,21.61,577492,600585,
9,2018/1/15,22.2,21.98,22.48,21.64,492915,600585,
10,2018/1/16,22.16,22.65,23.16,22.05,542249,600585,
11,2018/1/17,22.67,22.1,23.37,21.93,551222,600585,
12,2018/1/18,22.38,22.73,22.94,21.91,529642,600585,
13,2018/1/19,22.81,23.15,23.96,22.73,586422,600585,
14,2018/1/22,23.29,23.6,23.76,23.01,330173,600585,
15,2018/1/23,23.72,23.75,24.12,23.36,355601,600585,
16,2018/1/24,23.75,23.12,23.75,22.94,396217,600585,
17,2018/1/25,23.11,24.3,24.51,23,566263,600585,
18,2018/1/26,24.08,25.4,25.9,23.94,522266,600585,
19,2018/1/29,25.39,25.58,26.71,25.17,670976,600585,
20,2018/1/30,25.56,24.63,25.75,24.43,319697,600585,
21,2018/1/31,24.24,25.04,25.35,24.07,378747,600585,
22,2018/2/1,25.26,25.56,26.59,24.87,484714,600585,
23,2018/2/2,25.12,27.52,27.71,24.61,578141,600585,
24,2018/2/5,27.12,27.29,27.48,26.42,657104,600585,
25,2018/2/6,26.18,25.64,26.78,24.79,749002,600585,
26,2018/2/7,26.22,24.89,27.1,24.27,602066,600585,
27,2018/2/8,24.11,23.27,24.28,22.66,550197,600585,
28,2018/2/9,21.69,21.36,21.9,20.04,869506,600585,
29,2018/2/12,21.16,22.03,22.33,20.5,441824,600585,
30,2018/2/13,22.41,22.62,23.29,22.41,282387,600585,
31,2018/2/14,22.6,23.54,23.61,22.51,205991,600585,
32,2018/2/22,24.13,24.1,24.71,23.93,324704,600585,
33,2018/2/23,24.26,24.3,25.08,23.75,289395,600585,
34,2018/2/26,24.72,25.78,26.11,24.42,454793,600585,
35,2018/2/27,25.61,23.69,25.61,23.4,621493,600585,
36,2018/2/28,22.81,23.13,23.78,22.76,350130,600585,
37,2018/3/1,22.67,23.74,24,22.54,384803,600585,
38,2018/3/2,23.19,22.88,23.41,22.64,334615,600585,
39,2018/3/5,23.01,22.27,23.07,21.53,517567,600585,
40,2018/3/6,22.5,22.49,22.58,21.49,442234,600585,
41,2018/3/7,22.33,22.35,23.11,22.11,368223,600585,
42,2018/3/8,22.36,22.7,22.78,21.82,312625,600585,
43,2018/3/9,22.77,22.27,22.89,22.11,319534,600585,
44,2018/3/12,22.54,23.1,23.2,21.97,489254,600585,
45,2018/3/13,23.08,23.34,23.71,22.91,427837,600585,
46,2018/3/14,23.34,24.81,25.07,23.15,694543,600585,
