,date,open,close,high,low,volume,code,predict
0,2021/1/4,28.697,29.647,30.127,27.997,979855,600690,
1,2021/1/5,29.337,31.417,31.767,29.147,882757,600690,
2,2021/1/6,31.547,31.287,32.687,31.107,780976,600690,
3,2021/1/7,31.337,32.317,32.617,31.267,777090,600690,
4,2021/1/8,32.087,32.637,33.227,31.547,593080,600690,
5,2021/1/11,32.637,32.307,33.657,31.757,666682,600690,
6,2021/1/12,32.357,34.837,34.857,31.797,833260,600690,
7,2021/1/13,34.987,34.767,35.427,33.627,633719,600690,
8,2021/1/14,34.407,33.487,34.917,33.217,436426,600690,
9,2021/1/15,33.037,32.947,33.337,32.137,603562,600690,
10,2021/1/18,32.937,34.597,34.827,32.937,510256,600690,
11,2021/1/19,34.607,33.397,34.697,32.437,635700,600690,
12,2021/1/20,32.987,32.887,33.277,32.377,477265,600690,
13,2021/1/21,33.067,33.637,34.317,32.897,554310,600690,
14,2021/1/22,33.997,33.787,34.277,32.717,449689,600690,
15,2021/1/25,33.857,34.947,35.187,33.627,551042,600690,
16,2021/1/26,34.617,32.837,34.617,32.637,601194,600690,
17,2021/1/27,32.737,33.337,33.937,32.437,505014,600690,
18,2021/1/28,32.637,31.637,33.277,31.457,483724,600690,
19,2021/1/29,32.297,31.487,32.527,30.737,422926,600690,
20,2021/2/1,31.637,31.437,31.837,31.007,393496,600690,
21,2021/2/2,31.837,32.897,32.937,31.607,497017,600690,
22,2021/2/3,33.137,32.437,33.407,31.737,405343,600690,
23,2021/2/4,32.137,32.407,32.527,31.547,369728,600690,
24,2021/2/5,32.237,33.317,34.077,31.937,559178,600690,
25,2021/2/8,33.387,34.297,34.577,33.037,497859,600690,
26,2021/2/9,34.327,34.017,34.677,33.167,522512,600690,
27,2021/2/10,33.837,34.537,34.897,33.667,408764,600690,
28,2021/2/18,35.237,33.157,35.587,32.847,720018,600690,
29,2021/2/19,32.637,32.237,32.787,31.497,598705,600690,
30,2021/2/22,32.257,29.157,32.287,29.037,1215899,600690,
31,2021/2/23,28.927,30.117,30.867,28.687,796227,600690,
32,2021/2/24,30.637,29.637,31.497,29.417,511900,600690,
33,2021/2/25,29.577,29.737,29.907,29.197,306402,600690,
34,2021/2/26,28.837,28.557,29.087,28.037,395638,600690,
35,2021/3/1,28.947,29.267,29.797,28.637,368274,600690,
36,2021/3/2,29.637,29.187,30.377,29.017,419654,600690,
