,date,open,close,high,low,volume,code,predict
139,2021/7/30,40.901,42.481,43.461,40.511,2071444,600703,
140,2021/8/2,42.311,40.901,43.671,40.101,1749153,600703,
141,2021/8/3,40.401,40.741,43.551,40.101,2004500,600703,
142,2021/8/4,40.751,44.821,44.821,40.401,2092180,600703,
143,2021/8/5,44.211,43.231,44.701,42.771,1404100,600703,
144,2021/8/6,43.621,42.101,43.851,41.671,1116846,600703,
145,2021/8/9,41.081,40.881,41.321,38.741,1484843,600703,
146,2021/8/10,40.301,41.071,41.301,39.431,1063339,600703,
147,2021/8/11,40.751,40.541,41.691,39.911,813855,600703,
148,2021/8/12,40.301,40.811,41.781,40.081,830329,600703,
149,2021/8/13,40.481,39.551,41.581,39.491,936786,600703,
150,2021/8/16,38.901,39.601,40.591,38.651,816204,600703,
151,2021/8/17,39.501,37.201,40.081,36.901,1382846,600703,
152,2021/8/18,37.801,36.581,38.481,36.241,1015460,600703,
153,2021/8/19,36.901,36.861,37.401,35.931,1007617,600703,
154,2021/8/20,36.681,36.821,37.801,36.181,896683,600703,
155,2021/8/23,36.901,38.661,39.631,36.451,1182117,600703,
156,2021/8/24,38.591,38.701,39.351,38.001,880704,600703,
157,2021/8/25,39.151,38.181,39.381,37.571,779461,600703,
158,2021/8/26,38.191,37.011,38.581,36.751,805467,600703,
159,2021/8/27,36.771,36.611,37.451,36.411,682566,600703,
160,2021/8/30,36.851,36.021,37.691,35.881,899238,600703,
161,2021/8/31,35.701,36.211,36.391,34.351,1173811,600703,
162,2021/9/1,33.931,33.791,34.301,32.581,1926226,600703,
163,2021/9/2,33.601,33.331,34.101,33.281,815975,600703,
164,2021/9/3,32.911,32.931,33.801,32.081,822319,600703,
165,2021/9/6,33.251,33.971,34.101,32.661,720845,600703,
166,2021/9/7,33.701,33.981,34.301,33.511,568770,600703,
167,2021/9/8,33.921,34.001,34.741,33.731,524014,600703,
168,2021/9/9,34.011,33.411,34.081,32.871,563690,600703,
169,2021/9/10,33.411,35.241,35.781,32.911,1215485,600703,
170,2021/9/13,34.661,34.071,35.151,33.671,724595,600703,
171,2021/9/14,34.071,33.671,34.581,33.231,634808,600703,
172,2021/9/15,33.391,33.101,34.041,32.851,433805,600703,
173,2021/9/16,33.131,32.191,33.251,32.191,498029,600703,
174,2021/9/17,32.111,32.101,32.591,31.341,464669,600703,
175,2021/9/22,31.701,32.741,32.861,31.551,470797,600703,
176,2021/9/23,32.741,32.901,33.901,32.501,720718,600703,
177,2021/9/24,32.901,32.511,33.591,32.501,439663,600703,
178,2021/9/27,32.901,33.671,34.351,32.701,925080,600703,
179,2021/9/28,33.301,33.801,34.301,32.951,534446,600703,
180,2021/9/29,33.241,32.081,33.311,32.041,596943,600703,
181,2021/9/30,31.351,31.591,33.001,30.981,692340,600703,
182,2021/10/8,32.101,33.991,34.561,31.811,958707,600703,
183,2021/10/11,33.751,33.891,34.521,33.581,538100,600703,
184,2021/10/12,33.801,32.601,34.101,32.181,542672,600703,
185,2021/10/13,32.601,33.421,33.501,32.181,520526,600703,
186,2021/10/14,33.201,32.851,33.381,32.721,378559,600703,
187,2021/10/15,32.981,33.651,33.991,32.491,865846,600703,
188,2021/10/18,33.181,32.371,33.201,31.361,913102,600703,
189,2021/10/19,32.171,31.701,32.171,31.191,870676,600703,
190,2021/10/20,31.671,31.451,31.911,31.281,498791,600703,
191,2021/10/21,31.471,30.461,31.661,30.211,754924,600703,
192,2021/10/22,30.461,31.671,31.851,30.461,795720,600703,
193,2021/10/25,31.671,31.781,31.871,30.781,490713,600703,
194,2021/10/26,32.001,32.301,33.381,31.511,824567,600703,
195,2021/10/27,32.301,31.991,32.691,31.761,441125,600703,
196,2021/10/28,31.851,32.241,32.901,31.811,527066,600703,
197,2021/10/29,32.501,33.501,33.821,31.711,1171771,600703,
198,2021/11/1,33.501,33.641,34.091,32.861,895391,600703,
199,2021/11/2,33.851,34.261,35.251,33.641,1305769,600703,
200,2021/11/3,34.301,33.281,34.991,32.951,941975,600703,
201,2021/11/4,33.581,35.301,35.321,33.231,1393543,600703,
202,2021/11/5,35.441,34.891,35.681,34.701,841620,600703,
203,2021/11/8,34.521,34.761,35.231,33.701,742667,600703,
204,2021/11/9,34.601,35.801,35.801,34.051,911303,600703,
205,2021/11/10,35.401,36.391,36.651,35.271,905563,600703,
206,2021/11/11,35.971,36.621,38.181,35.751,1044413,600703,
207,2021/11/12,36.301,37.081,37.401,36.111,672035,600703,
208,2021/11/15,37.291,37.131,37.771,36.681,613278,600703,
209,2021/11/16,36.601,35.851,37.071,35.801,672718,600703,
210,2021/11/17,35.711,35.831,36.281,35.231,456877,600703,
211,2021/11/18,35.651,35.001,36.141,34.781,540165,600703,
212,2021/11/19,34.881,35.611,35.751,34.781,436750,600703,
213,2021/11/22,35.411,37.951,38.081,35.401,1041412,600703,
214,2021/11/23,37.861,37.541,38.181,37.301,597923,600703,
215,2021/11/24,37.461,36.901,37.991,36.841,559166,600703,
216,2021/11/25,36.891,36.591,37.391,36.191,471191,600703,
217,2021/11/26,36.401,36.081,36.401,35.811,518693,600703,
218,2021/11/29,34.891,35.011,35.801,34.701,872175,600703,
219,2021/11/30,34.911,34.931,35.571,34.581,592421,600703,
220,2021/12/1,34.841,33.621,35.341,33.251,1010407,600703,
221,2021/12/2,33.391,33.641,34.221,33.181,537599,600703,
222,2021/12/3,33.791,34.401,34.861,33.501,712386,600703,
223,2021/12/6,34.391,33.641,34.391,33.611,511111,600703,
224,2021/12/7,33.891,32.831,34.051,32.501,652830,600703,36.93522
225,2021/12/8,33.181,34.501,34.671,33.081,819769,600703,36.64733
226,2021/12/9,37.841,37.961,37.961,36.831,2371696,600703,36.721
227,2021/12/10,37.901,35.561,37.901,35.561,2600958,600703,36.709404
228,2021/12/13,35.641,35.991,36.601,34.851,1369090,600703,36.95467
229,2021/12/14,36.301,36.701,37.281,35.561,931906,600703,37.031628
230,2021/12/15,36.501,35.801,36.781,35.771,619625,600703,37.049786
231,2021/12/16,36.261,35.751,36.501,35.701,467531,600703,37.17598
232,2021/12/17,35.401,34.841,35.801,34.771,566118,600703,37.22078
233,2021/12/20,34.741,34.441,35.151,34.391,473425,600703,37.107574
234,2021/12/21,34.421,34.801,34.801,33.121,657936,600703,37.056236
235,2021/12/22,35.361,36.991,38.201,35.361,1518017,600703,36.842358
236,2021/12/23,36.721,36.501,37.221,36.501,518631,600703,36.84312
237,2021/12/24,36.581,36.931,38.101,36.561,844005,600703,36.87059
238,2021/12/27,37.351,37.201,37.471,36.571,458533,600703,36.729465
239,2021/12/28,37.481,36.571,37.481,36.101,519855,600703,36.613235
240,2021/12/29,36.441,35.601,36.751,35.411,470767,600703,36.471214
241,2021/12/30,35.621,36.641,37.201,35.621,497335,600703,36.404255
242,2021/12/31,36.501,37.461,38.001,36.501,634842,600703,36.382446
243,2022/1/3,,,,,,,36.44472
244,2022/1/4,,,,,,,36.43512
