,date,open,close,high,low,volume,code,predict
161,2020/9/1,14.56,14.64,14.7,14.45,551656,600837,
162,2020/9/2,14.65,14.42,14.69,14.27,701063,600837,
163,2020/9/3,14.43,14.31,14.59,14.26,526603,600837,
164,2020/9/4,14,14.14,14.25,14,489597,600837,
165,2020/9/7,14.12,13.8,14.24,13.8,578299,600837,
166,2020/9/8,13.92,14.27,14.4,13.85,756393,600837,
167,2020/9/9,14.08,13.96,14.22,13.87,609667,600837,
168,2020/9/10,14.07,13.73,14.15,13.72,677480,600837,
169,2020/9/11,13.71,13.79,13.84,13.57,382987,600837,
170,2020/9/14,13.85,13.79,13.86,13.67,335290,600837,
171,2020/9/15,13.73,13.77,13.91,13.72,339640,600837,
172,2020/9/16,13.78,13.77,13.91,13.69,399952,600837,
173,2020/9/17,13.69,13.61,13.73,13.46,448891,600837,
174,2020/9/18,13.61,14.08,14.2,13.57,915054,600837,
175,2020/9/21,14.29,14.06,14.41,14.04,735089,600837,
176,2020/9/22,13.96,13.85,14.38,13.83,787557,600837,
177,2020/9/23,13.9,13.76,13.94,13.7,401652,600837,
178,2020/9/24,13.76,13.6,13.85,13.58,440473,600837,
179,2020/9/25,13.65,13.86,14.02,13.62,610232,600837,
180,2020/9/28,13.73,13.94,14.06,13.73,512216,600837,
181,2020/9/29,14,13.9,14.09,13.86,438668,600837,
182,2020/9/30,13.93,13.62,13.97,13.56,430691,600837,
183,2020/10/9,13.83,13.87,13.95,13.79,372519,600837,
184,2020/10/12,13.96,14.47,14.57,13.96,1059217,600837,
185,2020/10/13,14.37,14.48,14.49,14.25,561648,600837,
186,2020/10/14,14.38,14.33,14.43,14.25,443785,600837,
187,2020/10/15,14.4,14.29,14.55,14.28,419243,600837,
188,2020/10/16,14.3,14.26,14.4,14.22,481620,600837,
189,2020/10/19,14.33,14.18,14.61,14.18,604223,600837,
190,2020/10/20,14.15,14.22,14.22,14.05,342252,600837,
191,2020/10/21,14.17,14.19,14.27,14.08,325958,600837,
192,2020/10/22,14.14,14.3,14.42,14.1,387904,600837,
193,2020/10/23,14.28,14.19,14.45,14.18,405388,600837,
194,2020/10/26,14.07,13.75,14.17,13.66,582815,600837,
195,2020/10/27,13.75,13.64,13.79,13.57,406420,600837,
196,2020/10/28,13.67,13.8,13.84,13.58,344675,600837,
197,2020/10/29,13.64,13.88,13.98,13.58,469253,600837,
198,2020/10/30,13.84,13.51,13.95,13.49,433034,600837,
199,2020/11/2,13.51,13.46,13.72,13.34,485943,600837,
200,2020/11/3,13.48,13.71,13.82,13.47,454917,600837,
201,2020/11/4,13.72,13.68,13.76,13.53,334304,600837,
202,2020/11/5,13.87,13.75,13.94,13.68,452340,600837,
203,2020/11/6,13.78,13.69,13.87,13.56,531333,600837,
204,2020/11/9,13.81,14.15,14.35,13.78,1000799,600837,
205,2020/11/10,14.2,14.13,14.25,14.04,646792,600837,
206,2020/11/11,14.15,13.92,14.21,13.89,520932,600837,
207,2020/11/12,13.91,13.66,13.98,13.63,522663,600837,
208,2020/11/13,13.63,13.4,13.63,13.35,704769,600837,
209,2020/11/16,13.47,13.48,13.53,13.38,532626,600837,
210,2020/11/17,13.46,13.41,13.49,13.34,367612,600837,
211,2020/11/18,13.43,13.49,13.61,13.42,544959,600837,
212,2020/11/19,12.88,12.6,12.89,12.28,2025153,600837,
213,2020/11/20,12.64,12.71,12.74,12.54,692730,600837,
214,2020/11/23,12.67,13.03,13.21,12.56,1014042,600837,
215,2020/11/24,12.99,13.07,13.21,12.99,534931,600837,
216,2020/11/25,13.17,12.93,13.26,12.91,483605,600837,
217,2020/11/26,12.9,13.02,13.06,12.89,345399,600837,
218,2020/11/27,13.13,13.31,13.35,13,521553,600837,
219,2020/11/30,13.41,13.25,13.69,13.25,1069310,600837,
