,date,open,close,high,low,volume,code,predict
220,2020/12/1,36.34,36.77,36.94,36.21,359018,600887,
221,2020/12/2,37.1,36.76,37.12,36.39,322541,600887,
222,2020/12/3,36.87,37.16,37.32,36.64,339247,600887,
223,2020/12/4,37.45,38.01,38.1,37.21,529296,600887,
224,2020/12/7,38.22,38.4,38.82,38,693086,600887,
225,2020/12/8,38.4,38.9,39.38,38.07,529317,600887,
226,2020/12/9,39.22,38.46,39.46,38.32,497960,600887,
227,2020/12/10,38.09,37.65,38.67,37.31,535941,600887,
228,2020/12/11,37.75,37.26,37.87,36.58,546453,600887,
229,2020/12/14,37.42,38.28,38.37,37.22,517744,600887,
230,2020/12/15,38.71,38.62,38.81,38.02,533879,600887,
231,2020/12/16,38.59,38.71,39.08,38.05,525041,600887,
232,2020/12/17,39.08,39.53,40.03,38.84,809857,600887,
233,2020/12/18,39.23,38.92,39.65,38.48,544025,600887,
234,2020/12/21,38.93,39.72,40.1,38.73,624819,600887,
235,2020/12/22,39.66,39.18,40.37,39.11,609621,600887,
236,2020/12/23,39.59,39.79,40.53,39.32,682012,600887,
237,2020/12/24,39.7,38.73,39.7,38.62,582053,600887,
238,2020/12/25,38.88,38.22,39.31,38.18,543492,600887,
239,2020/12/28,38.59,40.11,40.12,38.41,850114,600887,
240,2020/12/29,40.62,40.09,40.87,39.94,577716,600887,
241,2020/12/30,40.09,42.18,42.31,39.98,963880,600887,
242,2020/12/31,41.83,42.59,43.22,41.82,835613,600887,
243,2021/1/4,42.82,45.58,46.22,42.39,875387,600887,
244,2021/1/5,46.32,49.15,50.07,46.32,1252763,600887,
245,2021/1/6,49.72,48.78,50.07,47.52,978357,600887,
246,2021/1/7,48.82,49.91,50.06,47.68,983551,600887,
247,2021/1/8,49.52,47.49,50.07,46.9,1135580,600887,
248,2021/1/11,47.22,46.86,48.38,46.24,906448,600887,
249,2021/1/12,46.92,47.89,48.22,46.72,612858,600887,
250,2021/1/13,48.04,46.81,48.72,46.29,778076,600887,
251,2021/1/14,46.36,45.17,47.27,44.96,811710,600887,
252,2021/1/15,44.57,44.87,45.41,44.02,697654,600887,
