,date,open,close,high,low,volume,code,predict
97,2021/6/1,33.285,32.945,33.385,32.425,385591,601066,
98,2021/6/2,32.925,32.275,33.415,32.225,279316,601066,
99,2021/6/3,32.225,32.395,33.135,31.925,280945,601066,
100,2021/6/4,31.875,32.465,34.025,31.695,464619,601066,
101,2021/6/7,32.475,32.725,33.425,31.925,309919,601066,
102,2021/6/8,32.425,32.535,33.185,32.335,244486,601066,
103,2021/6/9,32.375,31.945,32.675,31.845,193594,601066,
104,2021/6/10,31.735,31.765,32.615,31.725,226883,601066,
105,2021/6/11,31.675,30.535,31.955,30.505,343974,601066,
106,2021/6/15,30.425,30.305,30.545,29.745,203769,601066,
107,2021/6/16,30.075,29.735,30.695,29.525,211452,601066,
108,2021/6/17,29.555,29.165,30.075,27.805,392799,601066,
109,2021/6/18,28.825,30.515,31.065,28.805,448038,601066,
110,2021/6/21,30.495,31.205,31.555,30.275,279785,601066,
111,2021/6/22,31.225,30.815,31.605,30.425,225460,601066,
112,2021/6/23,30.605,31.085,31.525,30.605,182169,601066,
113,2021/6/24,31.085,31.795,32.555,31.015,332610,601066,
114,2021/6/25,31.925,32.135,32.815,31.355,434017,601066,
115,2021/6/28,32.115,31.175,32.115,30.855,384401,601066,
116,2021/6/29,31.085,30.475,31.375,30.365,219966,601066,
117,2021/6/30,31.075,31.055,31.675,30.775,249294,601066,
118,2021/7/1,31.575,29.755,31.885,29.695,288178,601066,
119,2021/7/2,29.755,29.125,29.845,29.075,215077,601066,
120,2021/7/5,29.255,28.865,29.355,28.525,180641,601066,
121,2021/7/6,28.895,29.065,29.195,28.405,172336,601066,
122,2021/7/7,29.115,29.275,29.805,28.985,205984,601066,
123,2021/7/8,29.415,29.105,29.725,28.945,186815,601066,
124,2021/7/9,29.095,28.865,29.255,28.425,195832,601066,
125,2021/7/12,29.265,29.375,29.895,28.885,287343,601066,
126,2021/7/13,29.315,28.925,29.535,28.625,198681,601066,
127,2021/7/14,28.925,28.465,28.925,28.035,247770,601066,
128,2021/7/15,28.235,28.535,28.785,28.095,183792,601066,
129,2021/7/16,28.815,28.535,29.045,28.385,207740,601066,
130,2021/7/19,28.185,28.015,28.355,27.555,207454,601066,
131,2021/7/20,27.715,27.815,28.295,27.635,161710,601066,
132,2021/7/21,27.905,28.425,28.725,27.825,245238,601066,
133,2021/7/22,28.315,29.455,29.625,28.285,398139,601066,
134,2021/7/23,29.025,29.335,30.315,28.525,516215,601066,
135,2021/7/26,29.175,27.625,29.175,27.595,419078,601066,
136,2021/7/27,27.625,26.545,27.865,26.285,386439,601066,
137,2021/7/28,26.465,26.535,27.005,26.225,206394,601066,
138,2021/7/29,26.825,26.705,27.135,26.425,230866,601066,
139,2021/7/30,26.585,26.015,26.605,25.955,236964,601066,
140,2021/8/2,25.835,26.855,27.245,25.255,366831,601066,
141,2021/8/3,26.555,26.505,27.185,26.465,282096,601066,
142,2021/8/4,26.395,26.415,26.605,26.155,184953,601066,
143,2021/8/5,26.325,25.835,26.585,25.745,212402,601066,
144,2021/8/6,25.855,26.005,26.235,25.815,173569,601066,
145,2021/8/9,26.005,26.725,26.925,25.935,265784,601066,
146,2021/8/10,26.685,27.335,27.415,26.425,308652,601066,
147,2021/8/11,27.605,27.045,27.805,26.865,282103,601066,
148,2021/8/12,26.825,26.775,27.205,26.685,154837,601066,
149,2021/8/13,26.805,26.905,27.005,26.515,149229,601066,
150,2021/8/16,26.905,27.345,27.625,26.895,264171,601066,
151,2021/8/17,27.185,27.865,29.515,27.165,605021,601066,
152,2021/8/18,27.755,30.685,30.685,27.625,915589,601066,
153,2021/8/19,31.25,29.35,31.26,29.29,721147,601066,
154,2021/8/20,29.3,28.78,29.72,28.35,468046,601066,
155,2021/8/23,28.99,28.81,29.26,28.43,331635,601066,
156,2021/8/24,28.8,29.36,29.63,28.38,440921,601066,
157,2021/8/25,29.01,28.83,29.25,28.69,262206,601066,
158,2021/8/26,28.8,28.37,29.15,28.36,266948,601066,
