,date,open,close,high,low,volume,code,predict
162,2021/9/1,7.22,7.31,7.35,7.19,366708,601111,
163,2021/9/2,7.27,7.39,7.42,7.24,283969,601111,
164,2021/9/3,7.33,7.56,7.66,7.26,586546,601111,
165,2021/9/6,7.56,7.54,7.66,7.51,373329,601111,
166,2021/9/7,7.58,7.61,7.65,7.53,292808,601111,
167,2021/9/8,7.61,7.69,7.77,7.58,260080,601111,
168,2021/9/9,7.7,7.89,7.9,7.67,383472,601111,
169,2021/9/10,7.92,7.74,8.16,7.72,779978,601111,
170,2021/9/13,7.45,7.68,7.94,7.42,638641,601111,
171,2021/9/14,7.61,7.32,7.78,7.3,552069,601111,
172,2021/9/15,7.26,7.31,7.36,7.2,340920,601111,
173,2021/9/16,7.37,7.22,7.51,7.2,271236,601111,
174,2021/9/17,7.2,7.45,7.52,7.2,291358,601111,
175,2021/9/22,7.38,7.5,7.53,7.31,252190,601111,
176,2021/9/23,7.48,7.51,7.61,7.46,261211,601111,
177,2021/9/24,7.54,7.55,7.65,7.51,238950,601111,
178,2021/9/27,7.61,7.49,7.64,7.35,310149,601111,
179,2021/9/28,7.5,7.52,7.55,7.4,250890,601111,
180,2021/9/29,7.46,7.24,7.46,7.09,506609,601111,
181,2021/9/30,7.24,7.44,7.47,7.24,315248,601111,
182,2021/10/8,7.7,7.89,8.07,7.69,1090848,601111,
183,2021/10/11,7.89,8.12,8.18,7.76,839661,601111,
184,2021/10/12,8.09,8.18,8.3,8.02,626178,601111,
185,2021/10/13,8.1,8.26,8.35,8.05,469461,601111,
186,2021/10/14,8.23,8.59,8.8,8.22,792570,601111,
187,2021/10/15,8.48,8.35,8.55,8.31,513298,601111,
188,2021/10/18,8.3,8.34,8.42,8.17,451169,601111,
189,2021/10/19,8.25,8.2,8.32,8.1,402903,601111,
190,2021/10/20,8.15,8.23,8.33,8,454967,601111,
191,2021/10/21,8.15,8.18,8.25,8.08,251629,601111,
192,2021/10/22,8.17,8.07,8.26,7.99,376015,601111,
193,2021/10/25,7.91,7.98,8.03,7.8,374816,601111,
194,2021/10/26,7.92,8.03,8.23,7.92,359085,601111,
195,2021/10/27,8.04,7.95,8.09,7.89,202039,601111,
196,2021/10/28,7.95,7.98,8.24,7.92,504155,601111,
197,2021/10/29,7.95,8.51,8.53,7.94,860720,601111,
198,2021/11/1,8.3,8.43,8.57,7.85,864048,601111,
199,2021/11/2,8.3,8.47,8.52,8.14,596938,601111,
200,2021/11/3,8.41,8.31,8.46,8.15,304704,601111,
201,2021/11/4,8.29,8.32,8.37,8.25,152969,601111,
202,2021/11/5,8.33,8.31,8.38,8.23,166720,601111,
203,2021/11/8,8.8,9.01,9.14,8.74,1438267,601111,
204,2021/11/9,9.01,8.97,9.08,8.65,513645,601111,
205,2021/11/10,8.89,8.67,8.96,8.57,509102,601111,
206,2021/11/11,8.67,8.82,8.89,8.62,346133,601111,
207,2021/11/12,8.77,9.11,9.16,8.75,563276,601111,
208,2021/11/15,9.06,8.8,9.11,8.75,431524,601111,
209,2021/11/16,8.81,8.77,8.87,8.7,214038,601111,
210,2021/11/17,8.77,8.6,8.8,8.49,372362,601111,
211,2021/11/18,8.61,8.42,8.64,8.4,299669,601111,
212,2021/11/19,8.43,8.5,8.6,8.26,301208,601111,
213,2021/11/22,8.45,8.52,8.61,8.33,255182,601111,
214,2021/11/23,8.6,8.49,8.73,8.46,407022,601111,
215,2021/11/24,8.47,8.4,8.48,8.3,240248,601111,
216,2021/11/25,8.41,8.31,8.47,8.28,149492,601111,
217,2021/11/26,8.22,8.24,8.31,8.03,356765,601111,
218,2021/11/29,7.85,7.98,8.08,7.66,625929,601111,
219,2021/11/30,7.95,7.98,8.04,7.78,304424,601111,
220,2021/12/1,7.88,8.09,8.14,7.85,294705,601111,
221,2021/12/2,8.1,8.01,8.25,7.98,293883,601111,
222,2021/12/3,8.15,8.26,8.3,8.1,258107,601111,
223,2021/12/6,8.26,8.17,8.26,8.14,137013,601111,
224,2021/12/7,8.32,8.58,8.73,8.27,521711,601111,8.491909
225,2021/12/8,8.58,8.52,8.61,8.39,333656,601111,8.55705
226,2021/12/9,8.7,8.59,8.77,8.51,339315,601111,8.565027
227,2021/12/10,8.5,8.55,8.63,8.49,195719,601111,8.484651
228,2021/12/13,8.49,8.36,8.59,8.33,213455,601111,8.41625
229,2021/12/14,8.3,8.26,8.32,8.17,197082,601111,8.47469
230,2021/12/15,8.27,8.15,8.3,8.12,205334,601111,8.477468
231,2021/12/16,8.13,8.41,8.44,8.1,232607,601111,8.462727
232,2021/12/17,8.38,8.32,8.44,8.29,215897,601111,8.498818
233,2021/12/20,8.28,8.3,8.35,8.24,133714,601111,8.45566
234,2021/12/21,8.42,8.46,8.58,8.33,268951,601111,8.503522
235,2021/12/22,8.58,8.36,8.77,8.35,378057,601111,8.49051
236,2021/12/23,8.39,8.45,8.67,8.39,274303,601111,8.479384
237,2021/12/24,8.47,8.59,8.65,8.33,277253,601111,8.448849
238,2021/12/27,8.59,9.01,9.09,8.52,575500,601111,8.439467
239,2021/12/28,9.08,8.77,9.09,8.68,595787,601111,8.454342
240,2021/12/29,8.8,9.12,9.44,8.77,788855,601111,8.541096
241,2021/12/30,9.07,9.12,9.26,9,434751,601111,8.6283865
242,2021/12/31,9.06,9.13,9.29,8.96,446824,601111,8.573334
243,2022/1/3,,,,,,,8.630358
244,2022/1/4,,,,,,,8.674009
