,date,open,close,high,low,volume,code,predict
162,2021/9/1,11.48,11.71,11.75,11.46,313008,601138,
163,2021/9/2,11.71,11.75,11.88,11.68,233528,601138,
164,2021/9/3,11.8,12,12.15,11.72,418148,601138,
165,2021/9/6,12.01,12.05,12.15,11.93,291197,601138,
166,2021/9/7,12.05,12.17,12.2,11.96,375919,601138,
167,2021/9/8,12.17,12.19,12.34,12.13,332574,601138,
168,2021/9/9,12.24,12.18,12.25,12.06,257747,601138,
169,2021/9/10,12.17,12.2,12.3,12.13,302035,601138,
170,2021/9/13,12.22,12.17,12.28,12.12,250214,601138,
171,2021/9/14,12.12,11.94,12.23,11.89,268677,601138,
172,2021/9/15,11.93,11.8,11.99,11.73,216926,601138,
173,2021/9/16,11.8,11.75,12,11.7,253172,601138,
174,2021/9/17,11.75,11.75,11.82,11.6,165450,601138,
175,2021/9/22,11.68,11.69,11.73,11.62,120041,601138,
176,2021/9/23,11.99,12.08,12.26,11.98,376664,601138,
177,2021/9/24,12,11.86,12.08,11.81,266175,601138,
178,2021/9/27,11.9,11.87,11.99,11.77,235313,601138,
179,2021/9/28,11.81,11.8,11.88,11.75,134462,601138,
180,2021/9/29,11.8,11.84,11.99,11.59,327722,601138,
181,2021/9/30,11.84,11.62,11.89,11.58,272821,601138,
182,2021/10/8,11.74,12.12,12.18,11.72,505415,601138,
183,2021/10/11,12.12,12.13,12.25,12.08,291677,601138,
184,2021/10/12,12.17,11.88,12.17,11.81,266263,601138,
185,2021/10/13,11.88,11.89,11.91,11.76,151025,601138,
186,2021/10/14,11.87,11.86,11.93,11.78,115265,601138,
187,2021/10/15,11.86,11.73,11.9,11.71,195552,601138,
188,2021/10/18,11.82,11.58,11.82,11.55,233361,601138,
189,2021/10/19,11.62,11.64,11.67,11.49,202139,601138,
190,2021/10/20,11.65,11.59,11.73,11.56,151976,601138,
191,2021/10/21,11.6,11.49,11.62,11.41,233548,601138,
192,2021/10/22,11.49,11.54,11.56,11.42,157055,601138,
193,2021/10/25,11.48,11.38,11.48,11.32,203844,601138,
194,2021/10/26,11.42,11.43,11.51,11.37,121526,601138,
195,2021/10/27,11.46,11.28,11.47,11.07,227900,601138,
196,2021/10/28,11.13,11.16,11.3,11.13,121055,601138,
197,2021/10/29,11.21,11.35,11.35,11.17,156724,601138,
198,2021/11/1,11.3,11.44,11.53,11.29,223714,601138,
199,2021/11/2,11.5,11.43,11.63,11.25,270803,601138,
200,2021/11/3,11.38,11.47,11.65,11.38,237781,601138,
201,2021/11/4,11.52,11.62,11.63,11.46,233190,601138,
202,2021/11/5,11.6,11.69,11.82,11.54,353903,601138,
203,2021/11/8,11.68,11.65,11.73,11.57,161631,601138,
204,2021/11/9,11.65,11.59,11.69,11.46,220713,601138,
205,2021/11/10,11.62,11.54,11.65,11.38,182316,601138,
206,2021/11/11,11.52,11.73,11.78,11.46,243890,601138,
207,2021/11/12,11.74,11.72,11.78,11.65,164379,601138,
208,2021/11/15,11.72,11.87,11.9,11.7,359708,601138,
209,2021/11/16,11.87,11.81,11.94,11.8,272265,601138,
210,2021/11/17,11.79,11.74,11.84,11.72,192803,601138,
211,2021/11/18,11.74,11.62,11.78,11.59,208810,601138,
212,2021/11/19,11.6,11.91,11.96,11.56,341482,601138,
213,2021/11/22,11.92,11.86,11.96,11.82,245670,601138,
214,2021/11/23,11.86,11.73,11.93,11.71,310200,601138,
215,2021/11/24,11.74,11.71,11.78,11.65,251367,601138,
216,2021/11/25,11.74,11.63,11.77,11.61,211257,601138,
217,2021/11/26,11.63,11.17,11.64,11.15,603300,601138,
218,2021/11/29,11.09,10.98,11.16,10.96,487182,601138,
219,2021/11/30,11.01,11.17,11.18,11.01,312276,601138,
220,2021/12/1,11.18,11.26,11.3,11.11,230021,601138,
221,2021/12/2,11.21,11.2,11.33,11.15,210069,601138,
222,2021/12/3,11.19,11.25,11.28,11.09,240525,601138,
223,2021/12/6,11.22,11.28,11.42,11.14,280149,601138,
224,2021/12/7,11.32,11.35,11.38,11.25,227450,601138,12.000917
225,2021/12/8,11.37,11.56,11.59,11.31,335995,601138,11.983315
226,2021/12/9,11.5,11.77,11.82,11.48,542275,601138,11.995798
227,2021/12/10,11.75,11.89,12.02,11.7,649354,601138,11.985484
228,2021/12/13,11.88,11.98,12.05,11.78,474339,601138,11.961765
229,2021/12/14,11.96,11.97,12.08,11.91,329285,601138,11.9580965
230,2021/12/15,11.93,11.87,12,11.86,253539,601138,11.982098
231,2021/12/16,11.92,12.05,12.12,11.89,358174,601138,11.970705
232,2021/12/17,12.04,12.14,12.23,12,408846,601138,11.951795
233,2021/12/20,12.14,12.1,12.24,12.02,360101,601138,11.95506
234,2021/12/21,12.1,12.15,12.35,11.91,512460,601138,11.967164
235,2021/12/22,12,11.91,12.02,11.81,428478,601138,11.995326
236,2021/12/23,11.88,12.03,12.03,11.85,251592,601138,12.044934
237,2021/12/24,12,11.98,12.05,11.85,192562,601138,12.057624
238,2021/12/27,11.98,12.08,12.12,11.96,176157,601138,12.05607
239,2021/12/28,12.08,12.05,12.1,11.96,217437,601138,12.089874
240,2021/12/29,12,11.9,12.05,11.84,215762,601138,12.083905
241,2021/12/30,11.91,11.9,11.98,11.86,185851,601138,12.086994
242,2021/12/31,11.92,11.92,11.95,11.78,227340,601138,12.066376
243,2022/1/3,,,,,,,12.046605
244,2022/1/4,,,,,,,12.00928
