,date,open,close,high,low,volume,code,predict
140,2021/8/2,16.515,16.865,17.005,16.135,1388659,601166,
141,2021/8/3,16.685,16.605,16.845,16.465,1107108,601166,
142,2021/8/4,16.665,16.365,16.685,16.335,920211,601166,
143,2021/8/5,16.325,16.375,16.575,16.235,776650,601166,
144,2021/8/6,16.285,16.515,16.605,16.045,960914,601166,
145,2021/8/9,16.545,17.185,17.555,16.525,1620649,601166,
146,2021/8/10,17.155,17.625,17.745,16.915,1454307,601166,
147,2021/8/11,17.645,17.705,18.295,17.545,1490811,601166,
148,2021/8/12,17.685,17.575,17.835,17.505,729885,601166,
149,2021/8/13,17.585,17.595,17.665,17.365,726767,601166,
150,2021/8/16,17.735,17.595,17.855,17.435,750721,601166,
151,2021/8/17,17.585,17.355,17.805,17.305,734270,601166,
152,2021/8/18,17.395,18.155,18.375,17.385,1331224,601166,
153,2021/8/19,18.065,17.515,18.215,17.515,1045516,601166,
154,2021/8/20,17.645,17.225,17.765,16.975,1313534,601166,
155,2021/8/23,17.215,17.255,17.445,17.125,786545,601166,
156,2021/8/24,17.255,17.555,17.645,17.195,912143,601166,
157,2021/8/25,17.545,17.335,17.715,17.255,723376,601166,
158,2021/8/26,17.315,17.095,17.345,16.985,795093,601166,
159,2021/8/27,17.065,16.975,17.255,16.785,1057718,601166,
160,2021/8/30,17.105,17.065,17.425,16.895,1157386,601166,
161,2021/8/31,17.115,17.465,17.565,16.925,1166434,601166,
162,2021/9/1,17.375,18.125,18.315,17.355,1863632,601166,
163,2021/9/2,18.235,18.395,18.585,18.205,1356524,601166,
164,2021/9/3,18.315,18.405,18.745,17.915,1239110,601166,
165,2021/9/6,18.315,18.325,18.635,18.285,768484,601166,
166,2021/9/7,18.385,18.865,18.895,18.165,1223167,601166,
167,2021/9/8,18.795,18.395,19.045,18.265,1356653,601166,
168,2021/9/9,18.275,18.195,18.345,18.015,925753,601166,
169,2021/9/10,18.225,18.705,19.195,18.195,1935698,601166,
170,2021/9/13,18.705,19.055,19.115,18.575,1586912,601166,
171,2021/9/14,19.055,18.125,19.165,18.095,1747155,601166,
172,2021/9/15,18.045,17.815,18.195,17.665,1193492,601166,
173,2021/9/16,17.715,17.565,17.935,17.545,907176,601166,
174,2021/9/17,17.565,17.645,17.785,17.425,770201,601166,
175,2021/9/22,16.965,17.085,17.285,16.745,1389291,601166,
176,2021/9/23,17.215,17.185,17.495,17.045,757549,601166,
177,2021/9/24,17.155,16.885,17.265,16.815,803240,601166,
178,2021/9/27,16.885,17.065,17.115,16.485,1221821,601166,
179,2021/9/28,17.065,17.425,17.535,17.005,1016263,601166,
180,2021/9/29,17.235,17.475,17.715,17.175,818234,601166,
181,2021/9/30,17.505,17.265,17.505,17.175,708723,601166,
182,2021/10/8,17.375,17.645,17.705,17.365,810562,601166,
183,2021/10/11,17.965,18.325,18.465,17.965,1563445,601166,
184,2021/10/12,18.295,18.305,18.615,18.125,1053341,601166,
185,2021/10/13,18.295,18.175,18.425,18.005,701941,601166,
186,2021/10/14,18.205,18.055,18.435,17.925,571366,601166,
187,2021/10/15,18.105,18.185,18.445,17.965,842513,601166,
188,2021/10/18,18.305,18.205,18.435,18.065,664331,601166,
189,2021/10/19,18.165,18.195,18.445,18.135,676642,601166,
190,2021/10/20,18.265,18.115,18.475,18.015,687583,601166,
191,2021/10/21,18.265,18.745,18.825,18.265,1469600,601166,
192,2021/10/22,18.865,18.835,19.085,18.635,971692,601166,
193,2021/10/25,18.545,18.615,18.725,18.445,876198,601166,
194,2021/10/26,18.545,18.345,18.725,18.235,1045140,601166,
195,2021/10/27,18.265,18.045,18.315,17.795,995326,601166,
196,2021/10/28,17.975,18.015,18.165,17.855,590692,601166,
197,2021/10/29,18.305,17.595,18.375,17.485,1642608,601166,
198,2021/11/1,17.635,17.935,18.215,17.545,1376606,601166,
199,2021/11/2,17.935,16.985,18.035,16.845,2758717,601166,
200,2021/11/3,16.995,17.255,17.255,16.905,1014872,601166,
201,2021/11/4,17.185,17.195,17.285,16.975,773762,601166,
202,2021/11/5,17.005,17.105,17.205,16.935,729897,601166,
203,2021/11/8,17.105,17.035,17.215,16.935,803828,601166,
204,2021/11/9,17.155,17.275,17.385,17.085,789709,601166,
205,2021/11/10,17.215,17.155,17.235,17.015,724861,601166,
206,2021/11/11,17.075,17.855,17.905,17.075,1483277,601166,
207,2021/11/12,17.865,17.805,18.045,17.695,660594,601166,
208,2021/11/15,17.835,17.795,18.035,17.625,548120,601166,
209,2021/11/16,17.705,17.565,17.875,17.455,537806,601166,
210,2021/11/17,17.415,17.475,17.695,17.385,461644,601166,
211,2021/11/18,17.445,17.265,17.555,17.235,579223,601166,
212,2021/11/19,17.245,17.465,17.575,17.205,678055,601166,
213,2021/11/22,17.495,17.165,17.545,17.105,1058190,601166,
214,2021/11/23,17.165,17.095,17.245,17.035,1056176,601166,
215,2021/11/24,17.105,17.275,17.395,16.975,1083727,601166,
216,2021/11/25,17.215,17.235,17.285,17.145,574889,601166,
217,2021/11/26,17.155,17.165,17.215,17.025,748758,601166,
218,2021/11/29,17.055,17.035,17.125,16.945,824463,601166,
219,2021/11/30,17.025,16.975,17.095,16.915,587481,601166,
220,2021/12/1,16.965,17.085,17.125,16.915,544134,601166,
221,2021/12/2,17.055,17.335,17.395,16.945,928809,601166,
222,2021/12/3,17.315,17.265,17.415,17.085,822042,601166,
223,2021/12/6,17.315,17.485,17.825,17.315,1324104,601166,
224,2021/12/7,17.705,18.185,18.265,17.685,2510044,601166,18.307356
225,2021/12/8,18.085,18.415,18.475,18.035,1520075,601166,18.315907
226,2021/12/9,18.415,18.395,18.845,18.325,1432510,601166,18.263002
227,2021/12/10,18.265,18.385,18.695,18.225,1221508,601166,18.25978
228,2021/12/13,18.505,18.555,19.035,18.505,1410508,601166,18.24623
229,2021/12/14,18.475,18.175,18.525,18.035,1037368,601166,18.293032
230,2021/12/15,18.065,18.085,18.205,17.885,961685,601166,18.236086
231,2021/12/16,18.205,18.465,18.515,18.115,940317,601166,18.216816
232,2021/12/17,18.465,18.445,18.655,18.375,846600,601166,18.16271
233,2021/12/20,18.375,18.485,18.655,18.335,699546,601166,18.169535
234,2021/12/21,18.465,18.495,18.785,18.415,881012,601166,18.20361
235,2021/12/22,18.625,18.285,18.655,18.185,697348,601166,18.231287
236,2021/12/23,18.415,18.225,18.585,18.075,1396115,601166,18.153275
237,2021/12/24,18.325,18.035,18.325,18.025,763855,601166,18.10001
238,2021/12/27,17.975,17.815,18.035,17.775,944858,601166,18.064295
239,2021/12/28,17.885,18.005,18.145,17.875,930355,601166,18.041937
240,2021/12/29,18.095,17.885,18.095,17.845,601638,601166,18.056808
241,2021/12/30,17.905,18.015,18.175,17.885,798266,601166,18.113274
242,2021/12/31,18.075,18.005,18.125,17.945,553909,601166,18.100416
243,2022/1/3,,,,,,,18.145437
244,2022/1/4,,,,,,,18.195827
