,date,open,close,high,low,volume,code,predict
162,2021/9/1,7.434,8.024,8.124,7.434,3517971,601186,
163,2021/9/2,8.054,8.414,8.494,7.924,3186963,601186,
164,2021/9/3,8.424,8.134,8.484,8.114,2308561,601186,
165,2021/9/6,8.214,8.464,8.834,8.144,2972888,601186,
166,2021/9/7,8.454,8.604,8.674,8.324,2016897,601186,
167,2021/9/8,8.584,8.604,8.684,8.474,1731824,601186,
168,2021/9/9,8.604,8.914,9.034,8.554,2471399,601186,
169,2021/9/10,9.014,8.844,9.274,8.754,2673305,601186,
170,2021/9/13,8.714,8.824,8.994,8.704,1568057,601186,
171,2021/9/14,8.834,8.424,8.894,8.334,2244472,601186,
172,2021/9/15,8.344,8.354,8.484,8.254,1166421,601186,
173,2021/9/16,8.344,8.294,8.454,8.264,976145,601186,
174,2021/9/17,8.274,8.154,8.354,8.014,1294105,601186,
175,2021/9/22,8.024,8.414,8.494,8.014,1242511,601186,
176,2021/9/23,8.464,8.414,8.554,8.294,1044184,601186,
177,2021/9/24,8.414,8.154,8.464,8.134,863723,601186,
178,2021/9/27,8.144,7.774,8.244,7.754,1179434,601186,
179,2021/9/28,7.774,7.864,7.924,7.774,519432,601186,
180,2021/9/29,7.814,7.634,7.894,7.564,982968,601186,
181,2021/9/30,7.654,7.654,7.724,7.584,574516,601186,
182,2021/10/8,7.874,7.824,7.894,7.724,585455,601186,
183,2021/10/11,7.824,7.724,7.824,7.674,541824,601186,
184,2021/10/12,7.684,7.504,7.684,7.444,678105,601186,
185,2021/10/13,7.504,7.554,7.574,7.404,482068,601186,
186,2021/10/14,7.544,7.494,7.564,7.464,376619,601186,
187,2021/10/15,7.494,7.384,7.504,7.374,507936,601186,
188,2021/10/18,7.384,7.464,7.504,7.384,391088,601186,
189,2021/10/19,7.434,7.484,7.534,7.414,405731,601186,
190,2021/10/20,7.484,7.434,7.494,7.414,335280,601186,
191,2021/10/21,7.424,7.394,7.494,7.384,430003,601186,
192,2021/10/22,7.384,7.324,7.454,7.304,517668,601186,
193,2021/10/25,7.274,7.384,7.424,7.254,446091,601186,
194,2021/10/26,7.364,7.354,7.514,7.344,481987,601186,
195,2021/10/27,7.334,7.204,7.374,7.194,462776,601186,
196,2021/10/28,7.204,7.134,7.234,7.104,368417,601186,
197,2021/10/29,7.134,7.194,7.204,7.094,319088,601186,
198,2021/11/1,7.154,7.224,7.254,7.144,497766,601186,
199,2021/11/2,7.224,7.024,7.234,6.974,775757,601186,
200,2021/11/3,7.004,7.014,7.054,6.974,370799,601186,
201,2021/11/4,7.024,7.014,7.034,6.984,312584,601186,
202,2021/11/5,7.004,6.964,7.014,6.964,313708,601186,
203,2021/11/8,7.004,6.974,7.014,6.964,270728,601186,
204,2021/11/9,6.984,6.974,6.994,6.944,281991,601186,
205,2021/11/10,6.974,7.034,7.034,6.904,438649,601186,
206,2021/11/11,6.994,7.154,7.194,6.984,630370,601186,
207,2021/11/12,7.134,7.094,7.134,7.064,265005,601186,
208,2021/11/15,7.084,7.124,7.144,7.064,208058,601186,
209,2021/11/16,7.134,7.074,7.184,7.064,283902,601186,
210,2021/11/17,7.094,7.094,7.124,7.074,154536,601186,
211,2021/11/18,7.094,7.044,7.104,7.034,285827,601186,
212,2021/11/19,7.034,7.094,7.104,6.984,358490,601186,
213,2021/11/22,7.084,7.044,7.094,7.024,318210,601186,
214,2021/11/23,7.024,7.164,7.174,7.004,586765,601186,
215,2021/11/24,7.144,7.144,7.174,7.114,319869,601186,
216,2021/11/25,7.144,7.154,7.174,7.114,257753,601186,
217,2021/11/26,7.134,7.124,7.164,7.094,306945,601186,
218,2021/11/29,7.034,7.054,7.094,7.004,252021,601186,
219,2021/11/30,7.104,7.054,7.144,7.034,236660,601186,
220,2021/12/1,7.034,7.104,7.114,7.034,223189,601186,
221,2021/12/2,7.104,7.484,7.504,7.094,1399837,601186,
222,2021/12/3,7.434,7.504,7.584,7.344,903052,601186,
223,2021/12/6,7.524,7.414,7.654,7.394,757119,601186,
224,2021/12/7,7.484,7.614,7.654,7.434,982572,601186,7.674323
225,2021/12/8,7.574,7.524,7.624,7.484,638379,601186,7.62803
226,2021/12/9,7.524,7.514,7.554,7.444,542703,601186,7.629705
227,2021/12/10,7.484,7.404,7.584,7.404,555498,601186,7.642068
228,2021/12/13,7.504,7.444,7.704,7.414,923400,601186,7.637738
229,2021/12/14,7.434,7.304,7.434,7.274,563948,601186,7.605815
230,2021/12/15,7.294,7.334,7.424,7.284,447079,601186,7.626843
231,2021/12/16,7.334,7.484,7.544,7.334,586254,601186,7.6539288
232,2021/12/17,7.494,7.534,7.654,7.474,699546,601186,7.634125
233,2021/12/20,7.544,7.684,7.714,7.504,957871,601186,7.674499
234,2021/12/21,7.614,7.744,7.804,7.604,830818,601186,7.688192
235,2021/12/22,7.784,7.684,7.804,7.614,623261,601186,7.7102804
236,2021/12/23,7.634,7.594,7.674,7.574,472617,601186,7.7247925
237,2021/12/24,7.634,7.574,7.644,7.564,417427,601186,7.7489195
238,2021/12/27,7.574,7.594,7.674,7.564,467699,601186,7.745522
239,2021/12/28,7.594,7.504,7.624,7.454,549211,601186,7.748843
240,2021/12/29,7.484,7.504,7.574,7.474,310533,601186,7.723299
241,2021/12/30,7.484,7.474,7.524,7.454,419249,601186,7.6913476
242,2021/12/31,7.474,7.554,7.604,7.454,422568,601186,7.6756716
243,2022/1/3,,,,,,,7.6267095
244,2022/1/4,,,,,,,7.5670347
