,date,open,close,high,low,volume,code,predict
79,2020/5/6,14.875,15.075,15.075,14.775,409076,601211,
80,2020/5/7,14.975,14.845,15.015,14.795,249832,601211,
81,2020/5/8,14.905,15.055,15.205,14.835,307775,601211,
82,2020/5/11,15.065,14.885,15.135,14.855,247078,601211,
83,2020/5/12,14.915,14.655,14.925,14.585,291223,601211,
84,2020/5/13,14.585,14.655,14.725,14.555,163566,601211,
85,2020/5/14,14.615,14.485,14.675,14.425,181004,601211,
86,2020/5/15,14.575,14.475,14.615,14.465,121847,601211,
87,2020/5/18,14.475,14.465,14.575,14.425,174192,601211,
88,2020/5/19,14.575,14.525,14.615,14.475,153728,601211,
89,2020/5/20,14.495,14.475,14.575,14.455,131856,601211,
90,2020/5/21,14.525,14.345,14.575,14.335,158719,601211,
91,2020/5/22,14.295,14.085,14.355,14.085,258056,601211,
92,2020/5/25,14.115,14.075,14.185,14.025,129658,601211,
93,2020/5/26,14.155,14.185,14.215,14.095,124999,601211,
94,2020/5/27,14.185,14.095,14.235,14.075,104449,601211,
95,2020/5/28,14.145,14.155,14.365,14.085,197726,601211,
96,2020/5/29,14.085,14.045,14.145,14.035,158447,601211,
97,2020/6/1,14.325,14.485,14.545,14.255,455527,601211,
98,2020/6/2,14.435,14.435,14.515,14.385,216118,601211,
99,2020/6/3,14.495,14.325,14.515,14.325,248140,601211,
100,2020/6/4,14.385,14.235,14.385,14.215,159428,601211,
101,2020/6/5,14.295,14.335,14.365,14.205,186812,601211,
102,2020/6/8,14.645,14.525,14.725,14.465,404072,601211,
103,2020/6/9,14.565,14.725,14.795,14.495,396608,601211,
104,2020/6/10,14.685,14.625,14.715,14.575,220239,601211,
105,2020/6/11,14.645,14.635,14.845,14.595,315909,601211,
106,2020/6/12,14.425,14.625,14.705,14.405,280100,601211,
107,2020/6/15,14.635,14.545,14.795,14.535,336538,601211,
108,2020/6/16,14.655,14.655,14.735,14.615,246677,601211,
109,2020/6/17,14.675,14.675,14.695,14.585,247634,601211,
110,2020/6/18,14.685,14.785,14.845,14.625,282593,601211,
111,2020/6/19,14.795,15.175,15.275,14.745,569270,601211,
112,2020/6/22,15.125,15.485,16.035,15.055,694620,601211,
113,2020/6/23,15.315,15.495,15.605,15.285,345214,601211,
