,date,open,close,high,low,volume,code,predict
128,2021/7/15,7.05,7.12,7.14,7.04,226488,601229,
129,2021/7/16,7.12,7.09,7.15,7.06,157553,601229,
130,2021/7/19,7.09,7.02,7.1,6.99,246754,601229,
131,2021/7/20,6.99,7,7.02,6.98,136569,601229,
132,2021/7/21,7.01,7,7.08,6.99,155064,601229,
133,2021/7/22,7.01,7.04,7.06,6.99,153165,601229,
134,2021/7/23,7.03,6.98,7.03,6.98,174489,601229,
135,2021/7/26,6.99,6.87,6.99,6.85,232120,601229,
136,2021/7/27,6.87,6.72,6.9,6.72,229519,601229,
137,2021/7/28,6.72,6.78,6.81,6.72,179150,601229,
138,2021/7/29,6.8,6.76,6.8,6.72,173780,601229,
139,2021/7/30,6.76,6.75,6.79,6.71,151309,601229,
140,2021/8/2,6.75,6.82,6.84,6.69,182193,601229,
141,2021/8/3,6.83,6.83,6.83,6.76,160989,601229,
142,2021/8/4,6.83,6.77,6.83,6.75,153102,601229,
143,2021/8/5,6.76,6.79,6.82,6.75,101680,601229,
144,2021/8/6,6.77,6.78,6.79,6.74,97214,601229,
145,2021/8/9,6.77,6.83,6.9,6.76,195349,601229,
146,2021/8/10,6.82,6.88,6.88,6.76,208588,601229,
147,2021/8/11,6.85,6.86,6.95,6.84,209828,601229,
148,2021/8/12,6.84,6.87,6.89,6.83,159087,601229,
149,2021/8/13,6.86,6.83,6.88,6.82,131486,601229,
150,2021/8/16,6.85,6.86,6.89,6.82,120483,601229,
151,2021/8/17,6.86,6.82,6.91,6.78,164134,601229,
152,2021/8/18,6.8,6.93,6.94,6.79,243595,601229,
153,2021/8/19,6.92,6.86,6.92,6.83,156648,601229,
154,2021/8/20,6.85,6.89,6.9,6.83,185999,601229,
155,2021/8/23,6.89,6.86,6.94,6.85,172704,601229,
156,2021/8/24,6.84,6.85,6.9,6.83,177019,601229,
157,2021/8/25,6.87,6.87,6.9,6.84,163024,601229,
158,2021/8/26,6.86,6.83,6.87,6.82,153143,601229,
159,2021/8/27,6.83,6.81,6.85,6.8,145556,601229,
160,2021/8/30,6.81,6.73,6.83,6.73,237215,601229,
161,2021/8/31,6.72,6.81,6.81,6.72,173475,601229,
162,2021/9/1,6.8,6.94,6.95,6.78,344013,601229,
163,2021/9/2,6.95,6.98,7,6.91,249363,601229,
164,2021/9/3,6.99,7.01,7.06,6.93,266032,601229,
165,2021/9/6,6.99,7.03,7.09,6.99,240903,601229,
166,2021/9/7,7.05,7.1,7.13,7.01,238498,601229,
167,2021/9/8,7.1,7.11,7.17,7.08,206970,601229,
168,2021/9/9,7.09,7.1,7.14,7.07,170808,601229,
169,2021/9/10,7.1,7.15,7.24,7.1,354062,601229,
170,2021/9/13,7.15,7.12,7.18,7.08,224754,601229,
171,2021/9/14,7.13,7.01,7.14,7,267101,601229,
172,2021/9/15,6.99,6.98,7.03,6.96,158937,601229,
173,2021/9/16,7,6.95,7.04,6.93,255558,601229,
174,2021/9/17,6.88,6.95,6.97,6.88,152347,601229,
175,2021/9/22,6.82,6.82,6.86,6.8,261423,601229,
176,2021/9/23,6.85,6.87,6.92,6.82,222012,601229,
177,2021/9/24,6.88,6.85,6.92,6.83,161643,601229,
178,2021/9/27,6.85,6.86,6.88,6.81,167044,601229,
179,2021/9/28,6.85,6.9,6.92,6.84,168496,601229,
180,2021/9/29,6.87,6.93,6.95,6.83,184584,601229,
181,2021/9/30,6.92,6.91,6.93,6.89,124081,601229,
182,2021/10/8,6.96,7.05,7.08,6.95,221401,601229,
183,2021/10/11,7.05,7.12,7.19,7.05,221233,601229,
184,2021/10/12,7.11,7.1,7.14,7.06,180509,601229,
185,2021/10/13,7.07,7.06,7.13,7.04,129268,601229,
186,2021/10/14,7.08,7.06,7.12,7.04,90010,601229,
