,date,open,close,high,low,volume,code,predict
118,2021/7/1,2.833,2.833,2.843,2.823,1109275,601288,
119,2021/7/2,2.833,2.823,2.843,2.823,1305828,601288,
120,2021/7/5,2.823,2.833,2.833,2.813,1493881,601288,
121,2021/7/6,2.833,2.843,2.843,2.823,1310203,601288,
122,2021/7/7,2.833,2.823,2.843,2.823,1134287,601288,
123,2021/7/8,2.833,2.813,2.843,2.813,1763512,601288,
124,2021/7/9,2.823,2.823,2.833,2.813,1956857,601288,
125,2021/7/12,2.833,2.813,2.833,2.813,2047292,601288,
126,2021/7/13,2.813,2.813,2.823,2.803,1855760,601288,
127,2021/7/14,2.823,2.783,2.823,2.773,2974130,601288,
128,2021/7/15,2.783,2.793,2.803,2.783,1582344,601288,
129,2021/7/16,2.793,2.783,2.803,2.783,1350142,601288,
130,2021/7/19,2.783,2.793,2.803,2.783,1338805,601288,
131,2021/7/20,2.793,2.793,2.793,2.783,1039303,601288,
132,2021/7/21,2.783,2.783,2.793,2.773,1876158,601288,
133,2021/7/22,2.783,2.793,2.793,2.773,1295345,601288,
134,2021/7/23,2.783,2.783,2.793,2.773,1632419,601288,
135,2021/7/26,2.783,2.773,2.793,2.763,2198352,601288,
136,2021/7/27,2.773,2.753,2.783,2.753,2279114,601288,
137,2021/7/28,2.753,2.763,2.773,2.743,3066469,601288,
138,2021/7/29,2.763,2.743,2.773,2.743,1634062,601288,
139,2021/7/30,2.743,2.723,2.753,2.713,1919688,601288,
140,2021/8/2,2.713,2.733,2.743,2.693,2362338,601288,
141,2021/8/3,2.723,2.713,2.723,2.703,1595358,601288,
142,2021/8/4,2.703,2.713,2.723,2.703,1324489,601288,
143,2021/8/5,2.703,2.693,2.713,2.693,1521286,601288,
144,2021/8/6,2.703,2.703,2.703,2.693,1024003,601288,
145,2021/8/9,2.693,2.713,2.723,2.693,1678235,601288,
146,2021/8/10,2.713,2.713,2.723,2.703,1423640,601288,
147,2021/8/11,2.713,2.743,2.753,2.713,3082060,601288,
148,2021/8/12,2.733,2.733,2.743,2.723,1211604,601288,
149,2021/8/13,2.723,2.723,2.733,2.713,901282,601288,
150,2021/8/16,2.723,2.723,2.733,2.713,1012688,601288,
151,2021/8/17,2.723,2.723,2.743,2.723,1780377,601288,
152,2021/8/18,2.713,2.753,2.763,2.713,2365523,601288,
153,2021/8/19,2.753,2.733,2.753,2.723,1511866,601288,
154,2021/8/20,2.733,2.753,2.763,2.723,2118414,601288,
155,2021/8/23,2.753,2.743,2.753,2.743,1273690,601288,
156,2021/8/24,2.743,2.733,2.753,2.733,1177604,601288,
157,2021/8/25,2.733,2.723,2.733,2.723,1099466,601288,
158,2021/8/26,2.723,2.713,2.733,2.713,1222318,601288,
159,2021/8/27,2.713,2.723,2.723,2.713,1282525,601288,
160,2021/8/30,2.713,2.713,2.723,2.703,1972912,601288,
161,2021/8/31,2.713,2.753,2.753,2.703,2664243,601288,
162,2021/9/1,2.743,2.783,2.783,2.743,3381567,601288,
163,2021/9/2,2.773,2.773,2.783,2.763,1602181,601288,
164,2021/9/3,2.783,2.803,2.803,2.763,2172751,601288,
165,2021/9/6,2.793,2.803,2.813,2.783,1601023,601288,
166,2021/9/7,2.803,2.813,2.833,2.783,2456224,601288,
167,2021/9/8,2.823,2.833,2.843,2.803,2088003,601288,
168,2021/9/9,2.823,2.833,2.843,2.813,1716370,601288,
169,2021/9/10,2.833,2.833,2.873,2.823,3263724,601288,
170,2021/9/13,2.823,2.823,2.843,2.813,2331395,601288,
171,2021/9/14,2.833,2.783,2.843,2.783,2836145,601288,
172,2021/9/15,2.783,2.773,2.793,2.763,2007712,601288,
173,2021/9/16,2.773,2.763,2.793,2.763,2632774,601288,
174,2021/9/17,2.763,2.773,2.783,2.763,1895274,601288,
175,2021/9/22,2.743,2.743,2.753,2.733,2319196,601288,
176,2021/9/23,2.753,2.753,2.773,2.743,1984368,601288,
177,2021/9/24,2.753,2.733,2.763,2.733,1728573,601288,
