,date,open,close,high,low,volume,code,predict
140,2021/8/2,51.14,51.65,52.62,50.13,971611,601318,
141,2021/8/3,51.52,51.88,52.05,51.22,658203,601318,
142,2021/8/4,51.94,51.24,51.94,50.97,646660,601318,
143,2021/8/5,51.15,51.84,53.14,50.99,843221,601318,
144,2021/8/6,51.09,51.31,51.48,50.69,502411,601318,
145,2021/8/9,50.84,52.76,53.5,50.74,918821,601318,
146,2021/8/10,52.49,53.37,53.53,51.82,763656,601318,
147,2021/8/11,53.37,53.44,54.43,53.08,822020,601318,
148,2021/8/12,53.37,52.38,53.53,52.28,573070,601318,
149,2021/8/13,51.92,51.95,52.61,51.64,484718,601318,
150,2021/8/16,51.64,52.57,52.94,51.54,460096,601318,
151,2021/8/17,52.33,51.85,53.34,51.82,690262,601318,
152,2021/8/18,51.66,53.68,53.75,51.41,963666,601318,
153,2021/8/19,53.23,51.35,53.4,51.3,1148606,601318,
154,2021/8/20,50.75,50.65,51.3,50.45,675607,601318,
155,2021/8/23,50.65,50.34,51.1,50.24,594912,601318,
156,2021/8/24,49.94,49.44,50.38,49.03,946597,601318,
157,2021/8/25,49.56,49.22,49.86,49.1,610596,601318,
158,2021/8/26,49.14,47.94,49.14,47.93,886814,601318,
159,2021/8/27,48.69,49.64,49.97,48.68,1017819,601318,
160,2021/8/30,49.64,48.35,49.64,47.99,959487,601318,
161,2021/8/31,47.84,47.54,48.11,46.52,1586783,601318,
162,2021/9/1,47.42,49.13,49.69,47.25,1631600,601318,
163,2021/9/2,48.65,49.19,49.38,48.31,878586,601318,
164,2021/9/3,49.2,49.35,50.15,48.34,902603,601318,
165,2021/9/6,49.33,49.22,49.79,48.82,883020,601318,
166,2021/9/7,49.26,49.98,50.18,48.72,947374,601318,
167,2021/9/8,49.64,49.59,50.27,49.32,843992,601318,
168,2021/9/9,49.04,49.26,49.36,48.65,734908,601318,
169,2021/9/10,48.99,49.35,50.14,48.92,845491,601318,
170,2021/9/13,49.12,48.76,49.23,48.7,669800,601318,
171,2021/9/14,49.08,47.5,49.22,47.45,1082662,601318,
172,2021/9/15,47.14,47.11,47.52,46.94,645423,601318,
173,2021/9/16,46.96,47.15,47.62,46.85,591156,601318,
174,2021/9/17,47.04,46.32,47.42,45.86,927214,601318,
175,2021/9/22,45.14,45.42,45.72,44.94,723930,601318,
176,2021/9/23,46.14,45.86,46.99,45.65,758045,601318,
177,2021/9/24,45.87,45.72,46.52,45.54,843584,601318,
178,2021/9/27,45.54,46.64,46.88,45.46,990081,601318,
179,2021/9/28,46.63,46.9,47.27,46.16,779507,601318,
180,2021/9/29,46.41,46.83,47.18,46.16,631295,601318,
181,2021/9/30,46.94,46,46.94,45.87,680070,601318,
182,2021/10/8,48.14,49.74,49.74,47.75,2180028,601318,
183,2021/10/11,49.74,50.38,51.03,49.58,1504500,601318,
184,2021/10/12,49.69,49.9,50.68,49.32,944656,601318,
185,2021/10/13,49.74,49.39,49.83,48.54,649889,601318,
186,2021/10/14,49.34,49.05,49.64,48.84,427006,601318,
187,2021/10/15,48.77,48.52,49.22,48.26,733017,601318,
188,2021/10/18,48.72,47.5,48.88,47.32,771971,601318,
189,2021/10/19,47.49,49.09,49.49,47.34,847527,601318,
190,2021/10/20,49.34,49.01,49.68,48.43,668239,601318,
191,2021/10/21,49.19,51.92,52.52,49.15,2110058,601318,
192,2021/10/22,52.32,51.93,52.49,51.24,1026330,601318,
193,2021/10/25,51.714,51.724,51.884,50.964,754447,601318,
194,2021/10/26,51.724,50.684,52.494,50.614,748825,601318,
195,2021/10/27,50.484,50.164,51.164,50.054,589052,601318,
196,2021/10/28,49.244,49.814,49.924,48.564,850619,601318,
197,2021/10/29,49.334,48.084,49.744,47.754,1466627,601318,
198,2021/11/1,47.514,48.634,48.964,47.264,628761,601318,
199,2021/11/2,48.724,48.524,49.184,47.734,782725,601318,
200,2021/11/3,48.514,48.564,49.264,48.364,476763,601318,
201,2021/11/4,48.414,48.214,48.654,48.044,532053,601318,
202,2021/11/5,48.214,48.444,48.854,48.104,416655,601318,
203,2021/11/8,48.404,48.914,49.214,47.884,531724,601318,
204,2021/11/9,48.994,48.204,49.344,48.114,640511,601318,
205,2021/11/10,48.014,47.644,48.074,46.844,816049,601318,
206,2021/11/11,47.624,49.664,49.674,47.514,1110858,601318,
207,2021/11/12,49.644,49.124,49.644,48.664,585959,601318,
208,2021/11/15,49.364,49.114,49.714,48.744,442091,601318,
209,2021/11/16,49.114,48.874,49.454,48.514,477438,601318,
210,2021/11/17,48.504,48.564,49.044,48.394,351532,601318,
211,2021/11/18,48.414,48.024,48.424,48.024,423325,601318,
212,2021/11/19,47.914,48.474,48.624,47.764,428290,601318,
213,2021/11/22,48.364,48.224,48.454,48.064,340051,601318,
214,2021/11/23,48.194,48.134,48.684,48.004,402241,601318,
215,2021/11/24,48.134,48.264,48.514,47.864,361961,601318,
216,2021/11/25,48.274,47.914,48.274,47.874,407411,601318,
217,2021/11/26,47.754,47.234,47.774,47.224,589023,601318,
218,2021/11/29,47.004,47.174,47.364,46.834,404273,601318,
219,2021/11/30,47.024,46.734,47.344,46.684,466947,601318,
220,2021/12/1,46.784,47.384,47.494,46.784,422137,601318,
221,2021/12/2,47.124,47.394,47.654,46.934,383301,601318,
222,2021/12/3,47.494,47.504,47.764,46.994,427489,601318,
223,2021/12/6,47.614,47.664,48.264,47.614,610369,601318,
224,2021/12/7,48.014,48.904,49.014,47.724,1011502,601318,50.02268
225,2021/12/8,48.904,48.854,48.914,48.414,653544,601318,49.80014
226,2021/12/9,48.874,49.824,50.344,48.644,1249296,601318,49.84703
227,2021/12/10,49.514,49.734,50.004,49.414,737707,601318,49.83763
228,2021/12/13,50.174,49.664,51.014,49.634,918581,601318,49.8634
229,2021/12/14,49.414,49.364,49.864,49.214,587334,601318,49.999844
230,2021/12/15,49.304,49.214,49.594,49.044,363833,601318,49.99183
231,2021/12/16,49.304,49.714,49.804,49.014,514366,601318,50.082684
232,2021/12/17,49.534,49.054,49.914,48.894,539670,601318,50.00121
233,2021/12/20,48.754,48.794,49.364,48.714,428442,601318,49.813255
234,2021/12/21,48.804,49.354,49.654,48.794,393979,601318,49.862965
235,2021/12/22,49.444,48.694,49.514,48.644,425405,601318,49.759777
236,2021/12/23,48.704,48.734,48.914,48.264,404979,601318,49.648598
237,2021/12/24,48.704,48.334,48.714,48.234,312935,601318,49.593296
238,2021/12/27,48.474,48.494,48.714,48.384,274701,601318,49.50152
239,2021/12/28,48.814,49.384,49.644,48.614,617359,601318,49.468334
240,2021/12/29,49.614,49.324,49.674,49.034,376469,601318,49.48105
241,2021/12/30,49.414,48.924,49.504,48.924,427880,601318,49.509846
242,2021/12/31,48.944,48.924,49.364,48.664,358000,601318,49.58947
243,2022/1/3,,,,,,,49.6757
244,2022/1/4,,,,,,,49.783485
