,date,open,close,high,low,volume,code,predict
140,2021/8/2,4.983,5.093,5.133,4.903,510309,601319,
141,2021/8/3,5.073,5.043,5.103,5.023,368455,601319,
142,2021/8/4,5.043,5.013,5.043,4.993,239631,601319,
143,2021/8/5,4.993,5.033,5.093,4.983,268627,601319,
144,2021/8/6,5.013,5.003,5.023,4.983,219435,601319,
145,2021/8/9,4.983,5.073,5.103,4.983,352326,601319,
146,2021/8/10,5.063,5.103,5.103,5.023,292960,601319,
147,2021/8/11,5.083,5.103,5.153,5.083,295767,601319,
148,2021/8/12,5.083,5.103,5.133,5.073,258240,601319,
149,2021/8/13,5.093,5.093,5.113,5.053,196153,601319,
150,2021/8/16,5.073,5.123,5.143,5.073,266931,601319,
151,2021/8/17,5.123,5.103,5.183,5.083,342538,601319,
152,2021/8/18,5.083,5.223,5.263,5.063,578699,601319,
153,2021/8/19,5.193,5.133,5.203,5.113,362005,601319,
154,2021/8/20,5.113,5.093,5.153,5.063,258182,601319,
155,2021/8/23,5.113,5.143,5.153,5.103,297991,601319,
156,2021/8/24,5.143,5.163,5.193,5.123,344478,601319,
157,2021/8/25,5.173,5.153,5.183,5.133,261766,601319,
158,2021/8/26,5.143,5.093,5.153,5.093,269285,601319,
159,2021/8/27,5.103,5.123,5.153,5.093,302871,601319,
160,2021/8/30,5.113,5.043,5.123,5.013,417157,601319,
161,2021/8/31,5.043,5.123,5.123,5.023,470668,601319,
162,2021/9/1,5.123,5.233,5.313,5.093,1245954,601319,
163,2021/9/2,5.213,5.203,5.253,5.163,732277,601319,
164,2021/9/3,5.213,5.223,5.333,5.193,897574,601319,
165,2021/9/6,5.223,5.273,5.303,5.203,727304,601319,
166,2021/9/7,5.273,5.313,5.333,5.223,693574,601319,
167,2021/9/8,5.303,5.313,5.363,5.273,761212,601319,
168,2021/9/9,5.303,5.303,5.333,5.253,573217,601319,
169,2021/9/10,5.303,5.323,5.423,5.303,1052004,601319,
170,2021/9/13,5.323,5.313,5.363,5.283,589537,601319,
171,2021/9/14,5.313,5.183,5.343,5.183,746184,601319,
172,2021/9/15,5.193,5.173,5.223,5.163,439286,601319,
173,2021/9/16,5.183,5.153,5.233,5.123,469822,601319,
174,2021/9/17,5.143,5.113,5.153,5.083,392454,601319,
175,2021/9/22,5.033,5.073,5.073,5.003,370097,601319,
176,2021/9/23,5.073,5.103,5.153,5.073,345149,601319,
177,2021/9/24,5.093,5.053,5.123,5.043,389435,601319,
178,2021/9/27,5.053,5.073,5.103,5.033,423228,601319,
179,2021/9/28,5.053,5.063,5.083,5.013,371448,601319,
180,2021/9/29,5.033,5.033,5.073,5.013,332883,601319,
