,date,open,close,high,low,volume,code,predict
140,2021/8/2,3.925,3.965,3.985,3.895,917557,601328,
141,2021/8/3,3.965,3.945,3.975,3.925,636455,601328,
142,2021/8/4,3.945,3.945,3.955,3.925,515013,601328,
143,2021/8/5,3.945,3.955,3.965,3.925,525959,601328,
144,2021/8/6,3.945,3.945,3.955,3.925,490601,601328,
145,2021/8/9,3.945,3.965,3.995,3.935,699441,601328,
146,2021/8/10,3.975,3.995,4.005,3.945,644629,601328,
147,2021/8/11,3.985,4.025,4.045,3.985,781350,601328,
148,2021/8/12,4.025,4.005,4.035,4.005,396507,601328,
149,2021/8/13,4.005,4.005,4.025,3.995,403713,601328,
150,2021/8/16,4.015,4.035,4.045,4.005,586786,601328,
151,2021/8/17,4.035,4.005,4.045,3.995,996581,601328,
152,2021/8/18,4.005,4.055,4.065,3.995,820936,601328,
153,2021/8/19,4.045,4.025,4.055,4.005,828426,601328,
154,2021/8/20,4.035,4.025,4.045,4.005,557987,601328,
155,2021/8/23,4.025,4.005,4.035,3.995,761279,601328,
156,2021/8/24,4.005,4.005,4.035,4.005,647483,601328,
157,2021/8/25,4.015,4.015,4.025,3.995,601258,601328,
158,2021/8/26,4.005,4.005,4.025,4.005,539291,601328,
159,2021/8/27,4.005,4.005,4.025,4.005,585738,601328,
160,2021/8/30,4.015,4.025,4.035,4.005,819288,601328,
161,2021/8/31,4.025,4.065,4.065,4.015,1166134,601328,
162,2021/9/1,4.065,4.115,4.125,4.045,1393744,601328,
163,2021/9/2,4.105,4.115,4.125,4.095,800277,601328,
164,2021/9/3,4.115,4.125,4.135,4.095,1387245,601328,
165,2021/9/6,4.125,4.155,4.185,4.115,1294637,601328,
166,2021/9/7,4.165,4.175,4.195,4.145,1126547,601328,
167,2021/9/8,4.175,4.205,4.215,4.165,1060440,601328,
168,2021/9/9,4.205,4.205,4.225,4.155,1047793,601328,
169,2021/9/10,4.205,4.225,4.285,4.195,1650028,601328,
170,2021/9/13,4.225,4.255,4.265,4.205,1159989,601328,
171,2021/9/14,4.275,4.185,4.275,4.165,1365122,601328,
172,2021/9/15,4.175,4.185,4.195,4.165,751925,601328,
173,2021/9/16,4.185,4.155,4.205,4.155,876647,601328,
174,2021/9/17,4.155,4.145,4.175,4.145,703435,601328,
175,2021/9/22,4.095,4.095,4.115,4.075,938067,601328,
176,2021/9/23,4.105,4.145,4.175,4.105,869340,601328,
177,2021/9/24,4.145,4.125,4.175,4.105,804309,601328,
178,2021/9/27,4.115,4.105,4.135,4.095,817880,601328,
179,2021/9/28,4.105,4.135,4.155,4.095,858784,601328,
180,2021/9/29,4.115,4.135,4.165,4.105,911515,601328,
181,2021/9/30,4.145,4.145,4.145,4.115,709994,601328,
182,2021/10/8,4.175,4.195,4.205,4.165,1079568,601328,
183,2021/10/11,4.205,4.215,4.245,4.205,940703,601328,
184,2021/10/12,4.205,4.215,4.235,4.185,939608,601328,
185,2021/10/13,4.215,4.205,4.225,4.185,588542,601328,
