,date,open,close,high,low,volume,code,predict
118,2021/7/1,44.7,44.69,45.15,44.18,115446,601336,
119,2021/7/2,44.26,43.16,44.32,43.12,152709,601336,
120,2021/7/5,43.16,44.42,44.71,42.81,162345,601336,
121,2021/7/6,44.31,45.29,45.47,44.16,161786,601336,
122,2021/7/7,45.04,44.62,45.89,44.38,131693,601336,
123,2021/7/8,44.78,43.29,44.79,42.91,231054,601336,
124,2021/7/9,43.09,43.27,43.5,42.95,99279,601336,
125,2021/7/12,43.51,42.96,43.56,42.68,144875,601336,
126,2021/7/13,42.92,43.26,43.37,42.69,106155,601336,
127,2021/7/14,43.19,42.21,43.19,42.04,147281,601336,
128,2021/7/15,42.6,43.96,44.14,42.31,239012,601336,
129,2021/7/16,43.61,43.09,44.04,42.7,147078,601336,
130,2021/7/19,42.89,43.35,43.36,42.22,106907,601336,
131,2021/7/20,42.89,43.09,43.27,42.73,74202,601336,
132,2021/7/21,42.99,42.76,43.48,42.34,128294,601336,
133,2021/7/22,42.67,43.31,43.79,42.45,158854,601336,
134,2021/7/23,43.05,42.8,43.3,42.5,123610,601336,
135,2021/7/26,42.41,40.53,42.43,40.41,216279,601336,
136,2021/7/27,40.49,39.51,40.68,39.46,119360,601336,
137,2021/7/28,39.61,39.39,40.04,39.31,119339,601336,
138,2021/7/29,39.68,39.06,39.78,38.52,155506,601336,
139,2021/7/30,39.02,39.08,39.86,38.55,114255,601336,
140,2021/8/2,38.72,39.47,40.16,38.09,191305,601336,
141,2021/8/3,39.12,39.12,39.76,38.9,159009,601336,
142,2021/8/4,39.12,38.91,39.3,38.63,106303,601336,
143,2021/8/5,38.89,39.1,39.85,38.78,150253,601336,
144,2021/8/6,39.1,38.82,39.28,38.71,112076,601336,
145,2021/8/9,38.8,40,40.45,38.65,192140,601336,
146,2021/8/10,39.9,40.65,40.7,39.72,151185,601336,
147,2021/8/11,40.4,40.46,41.12,40.18,134615,601336,
148,2021/8/12,40.5,39.98,40.82,39.91,102436,601336,
149,2021/8/13,39.94,40.05,40.25,39.58,78690,601336,
150,2021/8/16,40.04,40.38,40.69,39.99,94713,601336,
151,2021/8/17,40.36,39.96,41,39.95,138801,601336,
152,2021/8/18,39.8,41.46,41.66,39.57,213779,601336,
153,2021/8/19,41.1,40.57,41.41,40.52,135150,601336,
154,2021/8/20,40.5,40.38,40.72,39.9,117773,601336,
