,date,open,close,high,low,volume,code,predict
140,2021/8/2,5.29,5.31,5.38,5.18,1379352,601390,
141,2021/8/3,5.31,5.37,5.44,5.28,1452041,601390,
142,2021/8/4,5.4,5.3,5.41,5.27,848391,601390,
143,2021/8/5,5.31,5.28,5.39,5.27,679021,601390,
144,2021/8/6,5.28,5.3,5.34,5.25,534005,601390,
145,2021/8/9,5.3,5.37,5.4,5.27,812965,601390,
146,2021/8/10,5.36,5.31,5.36,5.29,601085,601390,
147,2021/8/11,5.33,5.33,5.42,5.32,750304,601390,
148,2021/8/12,5.33,5.31,5.33,5.27,527574,601390,
149,2021/8/13,5.3,5.26,5.31,5.25,456707,601390,
150,2021/8/16,5.26,5.28,5.33,5.26,495824,601390,
151,2021/8/17,5.28,5.29,5.41,5.27,1362861,601390,
152,2021/8/18,5.29,5.41,5.42,5.28,1437862,601390,
153,2021/8/19,5.38,5.33,5.39,5.31,868350,601390,
154,2021/8/20,5.34,5.29,5.35,5.24,777996,601390,
155,2021/8/23,5.3,5.29,5.35,5.29,523137,601390,
156,2021/8/24,5.3,5.29,5.32,5.27,555443,601390,
157,2021/8/25,5.29,5.48,5.56,5.27,2047515,601390,
158,2021/8/26,5.45,5.56,5.65,5.43,2239918,601390,
159,2021/8/27,5.54,5.62,5.69,5.52,1651658,601390,
160,2021/8/30,5.62,5.61,5.68,5.55,1311343,601390,
161,2021/8/31,5.5,5.63,5.63,5.4,2242114,601390,
162,2021/9/1,5.74,6.18,6.19,5.7,8097734,601390,
163,2021/9/2,6.02,6.31,6.37,5.98,5740729,601390,
164,2021/9/3,6.24,6.1,6.33,6.06,3576705,601390,
165,2021/9/6,6.16,6.29,6.49,6.12,3786817,601390,
166,2021/9/7,6.25,6.38,6.43,6.21,2641889,601390,
167,2021/9/8,6.38,6.33,6.43,6.27,2177252,601390,
168,2021/9/9,6.29,6.52,6.65,6.27,3184891,601390,
169,2021/9/10,6.6,6.46,6.82,6.41,3855214,601390,
170,2021/9/13,6.4,6.56,6.66,6.35,2207072,601390,
171,2021/9/14,6.51,6.17,6.54,6.15,3469429,601390,
172,2021/9/15,6.13,6.17,6.26,6.08,1683511,601390,
173,2021/9/16,6.21,6.11,6.29,6.08,1487743,601390,
174,2021/9/17,6.09,6.02,6.16,5.86,1736963,601390,
175,2021/9/22,5.92,6.14,6.19,5.91,1482069,601390,
176,2021/9/23,6.19,6.17,6.27,6.07,1475790,601390,
177,2021/9/24,6.17,5.95,6.25,5.91,1647178,601390,
178,2021/9/27,5.93,5.7,6,5.66,1736758,601390,
179,2021/9/28,5.71,5.73,5.79,5.67,982558,601390,
180,2021/9/29,5.7,5.63,5.78,5.6,1136191,601390,
181,2021/9/30,5.63,5.66,5.69,5.56,1025503,601390,
182,2021/10/8,5.76,5.67,5.77,5.62,1014421,601390,
183,2021/10/11,5.68,5.63,5.69,5.59,874253,601390,
184,2021/10/12,5.62,5.48,5.63,5.42,1169305,601390,
185,2021/10/13,5.47,5.51,5.52,5.38,745587,601390,
186,2021/10/14,5.49,5.47,5.53,5.45,536063,601390,
187,2021/10/15,5.47,5.43,5.5,5.4,613818,601390,
188,2021/10/18,5.42,5.46,5.48,5.42,583392,601390,
189,2021/10/19,5.44,5.5,5.55,5.42,650481,601390,
190,2021/10/20,5.5,5.45,5.51,5.43,588058,601390,
191,2021/10/21,5.44,5.42,5.48,5.41,607604,601390,
192,2021/10/22,5.42,5.38,5.47,5.37,732725,601390,
193,2021/10/25,5.35,5.42,5.44,5.32,543080,601390,
194,2021/10/26,5.41,5.38,5.5,5.37,678127,601390,
195,2021/10/27,5.35,5.27,5.4,5.26,841570,601390,
196,2021/10/28,5.25,5.22,5.28,5.2,646257,601390,
197,2021/10/29,5.23,5.25,5.26,5.18,522339,601390,
198,2021/11/1,5.26,5.31,5.32,5.23,566674,601390,
199,2021/11/2,5.32,5.16,5.32,5.15,930264,601390,
200,2021/11/3,5.15,5.17,5.2,5.14,633995,601390,
201,2021/11/4,5.17,5.18,5.18,5.14,464687,601390,
202,2021/11/5,5.16,5.11,5.17,5.1,586331,601390,
203,2021/11/8,5.14,5.17,5.2,5.12,389063,601390,
204,2021/11/9,5.17,5.17,5.19,5.13,321421,601390,
205,2021/11/10,5.17,5.22,5.23,5.11,554501,601390,
206,2021/11/11,5.19,5.28,5.3,5.19,706979,601390,
207,2021/11/12,5.28,5.25,5.29,5.22,418768,601390,
208,2021/11/15,5.25,5.28,5.28,5.23,341112,601390,
209,2021/11/16,5.27,5.23,5.3,5.22,411366,601390,
210,2021/11/17,5.24,5.26,5.27,5.22,300815,601390,
211,2021/11/18,5.25,5.22,5.27,5.22,385481,601390,
212,2021/11/19,5.21,5.24,5.25,5.16,511140,601390,
213,2021/11/22,5.23,5.21,5.24,5.2,416656,601390,
214,2021/11/23,5.23,5.39,5.42,5.21,1631602,601390,
215,2021/11/24,5.39,5.41,5.46,5.35,815586,601390,
216,2021/11/25,5.42,5.42,5.46,5.38,531742,601390,
217,2021/11/26,5.4,5.36,5.42,5.35,485865,601390,
218,2021/11/29,5.31,5.32,5.34,5.26,594574,601390,
219,2021/11/30,5.32,5.3,5.37,5.29,566527,601390,
220,2021/12/1,5.29,5.38,5.38,5.28,450488,601390,
221,2021/12/2,5.37,5.55,5.6,5.36,1649252,601390,
222,2021/12/3,5.54,5.59,5.62,5.48,953699,601390,
223,2021/12/6,5.59,5.52,5.68,5.51,1052899,601390,
224,2021/12/7,5.57,5.67,5.7,5.55,1455896,601390,5.7166095
225,2021/12/8,5.68,5.66,5.72,5.61,797225,601390,5.740667
226,2021/12/9,5.67,5.7,5.71,5.62,856873,601390,5.709536
227,2021/12/10,5.66,5.62,5.75,5.6,949317,601390,5.7309384
228,2021/12/13,5.66,5.67,5.83,5.65,1070304,601390,5.7512255
229,2021/12/14,5.67,5.54,5.67,5.52,818553,601390,5.7633204
230,2021/12/15,5.54,5.59,5.66,5.53,673438,601390,5.7498918
231,2021/12/16,5.6,5.7,5.72,5.58,646004,601390,5.7218933
232,2021/12/17,5.72,5.72,5.79,5.68,735389,601390,5.722941
233,2021/12/20,5.68,5.81,5.85,5.66,1227358,601390,5.742259
234,2021/12/21,5.79,5.88,5.9,5.75,1058895,601390,5.7581725
235,2021/12/22,5.9,5.81,5.9,5.74,831445,601390,5.760952
236,2021/12/23,5.79,5.78,5.83,5.72,644153,601390,5.715057
237,2021/12/24,5.78,5.76,5.82,5.75,661909,601390,5.7190967
238,2021/12/27,5.74,5.82,5.85,5.73,691435,601390,5.705579
239,2021/12/28,5.82,5.75,5.83,5.71,601398,601390,5.6916604
240,2021/12/29,5.74,5.75,5.81,5.71,440726,601390,5.701615
241,2021/12/30,5.75,5.72,5.76,5.71,425811,601390,5.6913176
242,2021/12/31,5.72,5.79,5.82,5.72,648480,601390,5.674289
243,2022/1/3,,,,,,,5.689086
244,2022/1/4,,,,,,,5.6983237
