,date,open,close,high,low,volume,code,predict
97,2021/6/1,4.651,4.621,4.651,4.611,2245141,601398,
98,2021/6/2,4.621,4.631,4.651,4.581,2577452,601398,
99,2021/6/3,4.631,4.591,4.641,4.591,1937089,601398,
100,2021/6/4,4.601,4.611,4.641,4.591,2397084,601398,
101,2021/6/7,4.621,4.611,4.621,4.601,1476962,601398,
102,2021/6/8,4.611,4.641,4.641,4.601,1963000,601398,
103,2021/6/9,4.631,4.631,4.661,4.621,2061471,601398,
104,2021/6/10,4.631,4.641,4.661,4.621,2052732,601398,
105,2021/6/11,4.641,4.631,4.641,4.611,1735733,601398,
106,2021/6/15,4.621,4.601,4.631,4.591,1812074,601398,
107,2021/6/16,4.601,4.611,4.631,4.591,1486551,601398,
108,2021/6/17,4.611,4.621,4.641,4.591,1958783,601398,
109,2021/6/18,4.611,4.621,4.621,4.601,1532489,601398,
110,2021/6/21,4.611,4.591,4.621,4.591,1996643,601398,
111,2021/6/22,4.601,4.601,4.621,4.591,1789341,601398,
112,2021/6/23,4.601,4.581,4.611,4.581,2522194,601398,
113,2021/6/24,4.581,4.641,4.641,4.581,2465297,601398,
114,2021/6/25,4.631,4.671,4.691,4.621,2460595,601398,
115,2021/6/28,4.671,4.621,4.671,4.601,2576345,601398,
116,2021/6/29,4.621,4.611,4.641,4.601,2226935,601398,
117,2021/6/30,4.621,4.611,4.621,4.601,1549343,601398,
118,2021/7/1,4.611,4.701,4.701,4.601,2770137,601398,
119,2021/7/2,4.651,4.691,4.711,4.631,3551893,601398,
120,2021/7/5,4.671,4.641,4.681,4.621,2761719,601398,
121,2021/7/6,4.667,4.657,4.667,4.637,2657630,601398,
122,2021/7/7,4.657,4.647,4.667,4.627,1776708,601398,
123,2021/7/8,4.647,4.597,4.657,4.587,2883648,601398,
124,2021/7/9,4.597,4.557,4.617,4.537,2737420,601398,
125,2021/7/12,4.577,4.477,4.587,4.457,5056774,601398,
126,2021/7/13,4.477,4.457,4.487,4.447,2932780,601398,
127,2021/7/14,4.457,4.417,4.457,4.387,3020829,601398,
128,2021/7/15,4.417,4.457,4.477,4.397,2775909,601398,
129,2021/7/16,4.457,4.447,4.457,4.417,1704074,601398,
130,2021/7/19,4.437,4.437,4.447,4.407,1683758,601398,
131,2021/7/20,4.417,4.417,4.427,4.407,1025529,601398,
132,2021/7/21,4.427,4.397,4.437,4.397,1646259,601398,
133,2021/7/22,4.407,4.417,4.427,4.397,1476370,601398,
134,2021/7/23,4.417,4.407,4.427,4.397,1390746,601398,
135,2021/7/26,4.397,4.377,4.407,4.357,2245916,601398,
136,2021/7/27,4.367,4.327,4.377,4.317,2088992,601398,
137,2021/7/28,4.317,4.377,4.387,4.307,2479934,601398,
138,2021/7/29,4.377,4.327,4.377,4.317,1716806,601398,
139,2021/7/30,4.327,4.297,4.327,4.277,1847472,601398,
140,2021/8/2,4.287,4.307,4.317,4.237,2143223,601398,
141,2021/8/3,4.297,4.287,4.297,4.257,1352458,601398,
142,2021/8/4,4.287,4.257,4.287,4.247,1483019,601398,
143,2021/8/5,4.257,4.247,4.277,4.237,1097472,601398,
144,2021/8/6,4.257,4.237,4.257,4.217,1587328,601398,
145,2021/8/9,4.227,4.257,4.277,4.217,1925601,601398,
146,2021/8/10,4.257,4.267,4.277,4.227,1773891,601398,
147,2021/8/11,4.277,4.357,4.367,4.277,3307272,601398,
148,2021/8/12,4.337,4.337,4.377,4.327,1182781,601398,
149,2021/8/13,4.337,4.317,4.347,4.307,935428,601398,
150,2021/8/16,4.317,4.327,4.347,4.307,1161093,601398,
151,2021/8/17,4.317,4.327,4.347,4.307,1951383,601398,
152,2021/8/18,4.317,4.377,4.387,4.307,2598466,601398,
153,2021/8/19,4.367,4.347,4.377,4.327,1482787,601398,
154,2021/8/20,4.347,4.367,4.377,4.327,1903426,601398,
155,2021/8/23,4.347,4.337,4.377,4.337,1177077,601398,
156,2021/8/24,4.337,4.337,4.357,4.337,954531,601398,
157,2021/8/25,4.347,4.337,4.347,4.327,1003848,601398,
158,2021/8/26,4.327,4.327,4.337,4.307,1176893,601398,
159,2021/8/27,4.317,4.347,4.347,4.307,1161297,601398,
160,2021/8/30,4.337,4.287,4.347,4.267,2034266,601398,
161,2021/8/31,4.297,4.327,4.327,4.277,1917115,601398,
162,2021/9/1,4.317,4.387,4.397,4.307,2681034,601398,
163,2021/9/2,4.387,4.397,4.397,4.367,1467904,601398,
164,2021/9/3,4.397,4.437,4.457,4.367,2025437,601398,
165,2021/9/6,4.407,4.437,4.457,4.407,1605365,601398,
166,2021/9/7,4.437,4.457,4.477,4.407,1948513,601398,
167,2021/9/8,4.447,4.477,4.487,4.437,1747800,601398,
168,2021/9/9,4.467,4.457,4.477,4.427,1553117,601398,
169,2021/9/10,4.457,4.497,4.537,4.447,2503593,601398,
170,2021/9/13,4.487,4.477,4.487,4.457,1688549,601398,
171,2021/9/14,4.467,4.417,4.487,4.407,1854203,601398,
172,2021/9/15,4.407,4.387,4.427,4.367,1751216,601398,
173,2021/9/16,4.387,4.387,4.417,4.377,1678220,601398,
174,2021/9/17,4.387,4.407,4.417,4.387,1102572,601398,
175,2021/9/22,4.357,4.337,4.367,4.327,2176460,601398,
176,2021/9/23,4.357,4.367,4.387,4.337,1325157,601398,
177,2021/9/24,4.347,4.347,4.377,4.337,1098914,601398,
178,2021/9/27,4.337,4.337,4.357,4.307,1644684,601398,
179,2021/9/28,4.327,4.367,4.387,4.317,1633795,601398,
180,2021/9/29,4.357,4.387,4.407,4.327,2438137,601398,
181,2021/9/30,4.387,4.367,4.387,4.337,1504132,601398,
182,2021/10/8,4.367,4.417,4.437,4.357,1859946,601398,
183,2021/10/11,4.427,4.447,4.477,4.417,1818625,601398,
184,2021/10/12,4.447,4.457,4.467,4.417,1449306,601398,
185,2021/10/13,4.447,4.427,4.457,4.417,1123057,601398,
186,2021/10/14,4.427,4.417,4.437,4.417,719637,601398,
187,2021/10/15,4.427,4.457,4.457,4.417,1255589,601398,
188,2021/10/18,4.457,4.437,4.477,4.417,1173696,601398,
189,2021/10/19,4.427,4.427,4.447,4.417,1058826,601398,
190,2021/10/20,4.437,4.407,4.437,4.387,1074596,601398,
191,2021/10/21,4.407,4.447,4.447,4.397,1351316,601398,
192,2021/10/22,4.447,4.437,4.467,4.417,931086,601398,
193,2021/10/25,4.417,4.427,4.437,4.397,1033424,601398,
194,2021/10/26,4.427,4.407,4.447,4.397,1187350,601398,
195,2021/10/27,4.407,4.407,4.417,4.357,1257712,601398,
196,2021/10/28,4.387,4.377,4.407,4.377,783008,601398,
197,2021/10/29,4.377,4.377,4.397,4.367,1149808,601398,
198,2021/11/1,4.387,4.437,4.437,4.377,1876235,601398,
199,2021/11/2,4.437,4.357,4.437,4.347,2115693,601398,
200,2021/11/3,4.377,4.347,4.377,4.337,1460298,601398,
201,2021/11/4,4.347,4.357,4.357,4.337,1001581,601398,
202,2021/11/5,4.347,4.367,4.377,4.337,1113017,601398,
203,2021/11/8,4.357,4.337,4.367,4.337,1473507,601398,
204,2021/11/9,4.347,4.347,4.357,4.337,866896,601398,
205,2021/11/10,4.347,4.327,4.347,4.317,1250475,601398,
206,2021/11/11,4.327,4.367,4.367,4.317,1131059,601398,
207,2021/11/12,4.367,4.357,4.367,4.337,1016838,601398,
208,2021/11/15,4.357,4.377,4.387,4.347,900470,601398,
209,2021/11/16,4.367,4.357,4.387,4.347,962815,601398,
210,2021/11/17,4.347,4.357,4.367,4.347,912333,601398,
211,2021/11/18,4.347,4.347,4.357,4.337,764674,601398,
