,date,open,close,high,low,volume,code,predict
79,2021/5/6,30.56,30.67,31.2,30.47,274725,601601,
80,2021/5/7,30.8,29.97,31.02,29.83,287415,601601,
81,2021/5/10,30.15,30.4,30.42,29.91,225099,601601,
82,2021/5/11,30.24,30.16,30.35,29.67,314870,601601,
83,2021/5/12,29.98,30.12,30.32,29.76,230431,601601,
84,2021/5/13,29.88,29.86,30.12,29.51,229512,601601,
85,2021/5/14,29.9,31.62,31.8,29.89,568959,601601,
86,2021/5/17,31.51,31.51,31.8,31.2,301962,601601,
87,2021/5/18,31.58,31.9,32.5,31.53,371633,601601,
88,2021/5/19,31.79,31.46,32.06,31.25,262292,601601,
89,2021/5/20,31.47,32.15,32.45,31.25,324552,601601,
90,2021/5/21,32.23,31.33,32.37,31.12,324570,601601,
91,2021/5/24,31.22,31.43,31.76,31.1,224127,601601,
92,2021/5/25,31.45,33.15,33.67,31.18,803457,601601,
93,2021/5/26,33.3,33.15,33.5,32.8,634639,601601,
94,2021/5/27,32.81,32.82,33.19,32.51,377687,601601,
95,2021/5/28,32.72,32.75,33.1,32.43,339829,601601,
96,2021/5/31,32.71,32.1,32.71,31.6,411115,601601,
97,2021/6/1,31.89,30.99,31.91,30.72,619231,601601,
98,2021/6/2,30.98,31.22,31.34,30.7,365277,601601,
99,2021/6/3,31.15,30.99,31.61,30.91,241157,601601,
100,2021/6/4,30.9,31.59,32.02,30.86,352373,601601,
101,2021/6/7,31.5,31.67,31.78,31.27,218139,601601,
102,2021/6/8,31.61,32,32.25,31.36,328422,601601,
103,2021/6/9,32.1,31.97,32.56,31.91,278344,601601,
104,2021/6/10,31.74,30.9,32.1,30.83,445280,601601,
105,2021/6/11,30.95,30.21,30.98,29.8,547200,601601,
106,2021/6/15,30.21,29.32,30.34,29.08,548033,601601,
107,2021/6/16,29.29,29.45,29.72,29.21,259101,601601,
108,2021/6/17,29.3,28.45,29.56,28.3,447784,601601,
109,2021/6/18,28.45,28.18,28.46,27.72,417526,601601,
110,2021/6/21,27.92,27.66,27.97,27.3,426340,601601,
111,2021/6/22,27.9,28.15,28.35,27.8,376341,601601,
112,2021/6/23,27.95,28.36,28.53,27.92,313292,601601,
113,2021/6/24,28.39,28.42,28.67,28.2,277496,601601,
114,2021/6/25,28.5,28.75,28.97,28.5,360505,601601,
115,2021/6/28,28.71,27.98,28.8,27.7,413295,601601,
116,2021/6/29,27.75,27.77,28.07,27.72,301298,601601,
117,2021/6/30,27.77,27.97,28.05,27.67,208205,601601,
118,2021/7/1,27.97,28.34,28.48,27.49,358647,601601,
119,2021/7/2,28.01,27.19,28.03,27.1,381275,601601,
120,2021/7/5,27.1,27.32,27.37,26.87,271555,601601,
121,2021/7/6,27.29,28.13,28.26,27.21,390915,601601,
122,2021/7/7,27.98,27.89,28.39,27.6,259844,601601,
123,2021/7/8,27.92,27.13,27.92,26.8,404461,601601,
124,2021/7/9,26.9,26.9,27.47,26.69,333554,601601,
125,2021/7/12,27.09,26.45,27.09,26.32,437617,601601,
126,2021/7/13,26.48,26.91,27,26.2,329441,601601,
127,2021/7/14,26.78,25.84,26.78,25.83,482468,601601,
128,2021/7/15,25.93,27.37,27.58,25.93,719292,601601,
129,2021/7/16,27.11,27.04,27.8,26.71,462840,601601,
130,2021/7/19,26.85,27.15,27.15,26.3,356985,601601,
131,2021/7/20,26.8,26.61,27.13,26.42,268176,601601,
132,2021/7/21,26.46,26.87,27.1,26.39,396652,601601,
