,date,open,close,high,low,volume,code,predict
1,2019/1/3,17.76,17.98,18.15,17.74,46153,601628,
2,2019/1/4,17.8,18.31,18.46,17.67,76165,601628,
3,2019/1/7,18.41,18.05,18.44,17.9,102205,601628,
4,2019/1/8,18.06,17.81,18.15,17.72,79915,601628,
5,2019/1/9,18.02,18.15,18.36,17.93,96097,601628,
6,2019/1/10,18.03,18.12,18.2,17.82,60428,601628,
7,2019/1/11,18.1,18.27,18.46,18.08,66133,601628,
8,2019/1/14,18.04,17.99,18.26,17.93,65235,601628,
9,2019/1/15,18.1,18.29,18.33,17.97,55773,601628,
10,2019/1/16,18.21,18.65,18.69,18.16,92442,601628,
11,2019/1/17,18.77,18.9,19.33,18.77,162680,601628,
12,2019/1/18,19.12,19.33,19.37,18.92,109011,601628,
13,2019/1/21,19.23,20.08,20.08,19.21,174233,601628,
14,2019/1/22,20.09,19.72,20.1,19.63,71605,601628,
15,2019/1/23,19.61,19.72,20.01,19.54,50835,601628,
16,2019/1/24,19.91,19.67,19.92,19.47,47316,601628,
17,2019/1/25,19.86,20.12,20.4,19.82,104513,601628,
18,2019/1/28,20.21,20.1,20.46,19.85,53843,601628,
19,2019/1/29,19.9,20.29,20.44,19.85,73939,601628,
20,2019/1/30,19.32,19.88,20.13,19.32,163678,601628,
21,2019/1/31,19.88,20.58,20.91,19.63,163927,601628,
22,2019/2/1,20.82,20.69,20.95,20.42,90429,601628,
23,2019/2/11,20.4,20.67,20.77,20.14,92193,601628,
24,2019/2/12,20.67,20.52,20.72,20.33,80360,601628,
25,2019/2/13,20.47,21.11,21.35,20.36,156186,601628,
26,2019/2/14,20.98,20.96,21.09,20.87,71340,601628,
27,2019/2/15,20.88,20.28,21.02,20.25,88053,601628,
28,2019/2/18,20.42,21.27,21.42,20.42,133325,601628,
29,2019/2/19,21.27,22.02,22.7,21.23,248901,601628,
30,2019/2/20,22.19,23,23.02,21.98,206111,601628,
31,2019/2/21,22.9,22.27,23.23,22.22,165414,601628,
32,2019/2/22,22.66,23.78,23.93,22,275112,601628,
33,2019/2/25,24.82,26.38,26.38,24.77,536878,601628,
34,2019/2/26,27.53,26.37,27.67,26.12,458819,601628,
35,2019/2/27,25.99,27.12,27.82,25.98,342543,601628,
36,2019/2/28,26.82,26.2,26.89,26.01,150173,601628,
37,2019/3/1,26.06,28.92,28.92,26.06,308867,601628,
38,2019/3/4,28.92,28.84,30.82,28.15,498014,601628,
39,2019/3/5,28.55,28.53,28.67,27.78,261382,601628,
40,2019/3/6,28.12,29.3,29.32,27.82,266340,601628,
41,2019/3/7,28.92,28.17,28.92,27.78,288253,601628,
42,2019/3/8,26.48,25.98,27.2,25.71,337920,601628,
43,2019/3/11,25.9,26.62,26.82,25.56,250544,601628,
44,2019/3/12,26.7,26.42,27.32,26.12,190092,601628,
45,2019/3/13,26.5,26.56,26.97,25.94,179848,601628,
46,2019/3/14,26.57,26.2,26.89,25.98,168024,601628,
47,2019/3/15,26.21,26.57,27.4,26.21,184391,601628,
48,2019/3/18,26.67,27.42,27.78,26.21,209105,601628,
49,2019/3/19,27.54,27.39,28.19,27.22,185550,601628,
50,2019/3/20,27.1,27.24,27.7,26.68,155861,601628,
51,2019/3/21,27.22,27.22,27.76,26.86,171206,601628,
52,2019/3/22,27.22,26.71,27.22,26.33,132608,601628,
53,2019/3/25,26.17,25.14,26.17,25.08,247999,601628,
54,2019/3/26,25.42,24.72,25.47,24.62,141089,601628,
55,2019/3/27,25.03,24.81,25.21,24.69,90865,601628,
56,2019/3/28,24.54,24.2,24.57,23.97,166638,601628,
57,2019/3/29,24.37,26.14,26.15,24.26,259588,601628,
58,2019/4/1,26.31,26.64,27.42,26.31,278001,601628,
59,2019/4/2,26.74,26.72,27.14,26.36,177909,601628,
60,2019/4/3,26.37,26.72,26.77,26.1,194589,601628,
61,2019/4/4,27.1,27.17,27.87,26.84,240968,601628,
62,2019/4/8,27.24,27.94,28.31,27.13,307165,601628,
63,2019/4/9,27.64,27.18,27.94,26.82,141848,601628,
64,2019/4/10,26.82,26.89,27.3,26.32,129813,601628,
65,2019/4/11,26.81,26.47,27.3,26.32,110544,601628,
66,2019/4/12,26.55,26.41,26.92,26.22,74558,601628,
67,2019/4/15,27.02,26.78,27.92,26.74,248971,601628,
68,2019/4/16,26.73,27.92,28.02,26.68,212949,601628,
69,2019/4/17,27.82,27.66,28.33,27.42,189918,601628,
70,2019/4/18,27.54,27.91,27.99,27.22,109826,601628,
71,2019/4/19,28.82,29.2,29.47,28.45,311862,601628,
72,2019/4/22,29.32,27.7,29.32,27.62,262616,601628,
73,2019/4/23,27.5,27.95,28.38,27.37,148043,601628,
74,2019/4/24,28.08,27.52,28.12,27,127970,601628,
75,2019/4/25,27.27,27.31,27.91,27.18,131428,601628,
76,2019/4/26,27.34,27.9,28.62,27.24,243745,601628,
77,2019/4/29,28.18,28.81,29.1,27.84,272414,601628,
78,2019/4/30,28.5,28.12,28.72,27.59,189618,601628,
79,2019/5/6,26.82,25.4,27.01,25.09,305026,601628,
80,2019/5/7,25.76,25.49,25.98,25.02,182708,601628,
81,2019/5/8,24.66,24.82,25.29,24.36,133466,601628,
82,2019/5/9,24.56,23.82,24.77,23.68,162435,601628,
83,2019/5/10,24.07,24.83,24.9,23.64,192819,601628,
84,2019/5/13,24.46,23.25,24.46,23.13,269442,601628,
85,2019/5/14,22.88,23.55,23.82,22.88,160021,601628,
86,2019/5/15,23.75,23.94,24.17,23.6,149053,601628,
87,2019/5/16,23.82,23.85,24.12,23.62,83174,601628,
88,2019/5/17,23.88,23.17,23.9,23.05,114038,601628,
89,2019/5/20,22.84,23.34,23.61,22.8,82066,601628,
90,2019/5/21,23.27,23.58,23.8,23.18,113858,601628,
91,2019/5/22,23.54,23.27,23.68,23.12,71647,601628,
92,2019/5/23,23.26,22.96,23.26,22.83,91751,601628,
93,2019/5/24,23.12,23.12,23.32,23.02,84139,601628,
94,2019/5/27,23.03,23.48,23.54,22.62,135547,601628,
95,2019/5/28,23.26,23.53,23.71,23.24,117493,601628,
96,2019/5/29,23.32,24.77,25.7,23.13,343076,601628,
97,2019/5/30,24.32,24.19,24.53,23.92,136529,601628,
98,2019/5/31,24.22,23.94,24.4,23.93,103763,601628,
99,2019/6/3,24.03,24.03,24.47,23.71,113305,601628,
100,2019/6/4,24.02,23.86,24.07,23.53,87546,601628,
101,2019/6/5,24.17,23.88,24.25,23.82,86043,601628,
102,2019/6/6,23.85,23.89,24.2,23.76,83190,601628,
103,2019/6/10,24.08,24.27,24.42,23.9,103331,601628,
104,2019/6/11,24.19,24.88,25.11,24.15,183850,601628,
105,2019/6/12,24.7,24.61,24.9,24.52,76948,601628,
106,2019/6/13,24.53,24.61,24.77,24.26,76503,601628,
107,2019/6/14,24.61,24.4,24.9,24.24,83449,601628,
108,2019/6/17,24.42,24.56,24.75,24.35,68106,601628,
109,2019/6/18,24.56,24.65,24.71,24.43,56811,601628,
110,2019/6/19,25.53,24.8,25.64,24.78,131969,601628,
111,2019/6/20,24.95,26.36,26.42,24.91,289152,601628,
112,2019/6/21,26.34,26.24,26.58,25.96,155840,601628,
113,2019/6/24,26.28,26.46,26.66,26,107547,601628,
114,2019/6/25,26.46,25.9,26.46,25.5,111118,601628,
115,2019/6/26,25.67,25.98,26.24,25.62,83730,601628,
116,2019/6/27,26.17,26.45,26.64,26.04,116793,601628,
117,2019/6/28,26.55,26.3,26.56,26.09,82642,601628,
118,2019/7/1,26.93,27.74,27.81,26.86,196063,601628,
119,2019/7/2,27.68,27.33,27.68,27.1,106874,601628,
120,2019/7/3,27.26,27.01,27.33,26.81,92925,601628,
121,2019/7/4,27.13,26.73,27.26,26.59,76731,601628,
122,2019/7/5,26.94,27.35,27.48,26.81,107013,601628,
123,2019/7/8,27.1,26.28,27.11,26.08,128521,601628,
124,2019/7/9,26.2,26.39,26.53,26.16,69828,601628,
125,2019/7/10,26.63,26.25,26.76,26.24,67728,601628,
126,2019/7/11,26.59,27.18,27.65,26.49,244369,601628,
127,2019/7/12,27.14,28.65,29.03,27.14,315399,601628,
