,date,open,close,high,low,volume,code,predict
140,2021/8/2,4.2,4.28,4.31,4.14,2083042,601668,
141,2021/8/3,4.26,4.35,4.35,4.25,2162835,601668,
142,2021/8/4,4.33,4.3,4.33,4.28,1305897,601668,
143,2021/8/5,4.28,4.34,4.37,4.28,1696451,601668,
144,2021/8/6,4.33,4.3,4.33,4.28,1042867,601668,
145,2021/8/9,4.29,4.4,4.43,4.27,2202398,601668,
146,2021/8/10,4.38,4.4,4.4,4.35,1196701,601668,
147,2021/8/11,4.4,4.46,4.57,4.4,3603132,601668,
148,2021/8/12,4.44,4.44,4.46,4.42,1065998,601668,
149,2021/8/13,4.43,4.38,4.44,4.36,1224951,601668,
150,2021/8/16,4.37,4.45,4.5,4.36,1645484,601668,
151,2021/8/17,4.45,4.4,4.53,4.36,2845528,601668,
152,2021/8/18,4.4,4.51,4.51,4.38,2789051,601668,
153,2021/8/19,4.53,4.45,4.53,4.43,1915275,601668,
154,2021/8/20,4.46,4.42,4.47,4.38,1397252,601668,
155,2021/8/23,4.43,4.38,4.44,4.38,1253429,601668,
156,2021/8/24,4.38,4.36,4.4,4.34,1357921,601668,
157,2021/8/25,4.37,4.39,4.41,4.33,1608032,601668,
158,2021/8/26,4.38,4.38,4.41,4.36,1458011,601668,
159,2021/8/27,4.38,4.48,4.49,4.37,2624080,601668,
160,2021/8/30,4.5,4.44,4.52,4.43,2064806,601668,
161,2021/8/31,4.44,4.55,4.55,4.44,3075808,601668,
162,2021/9/1,4.58,4.87,4.93,4.57,10453572,601668,
163,2021/9/2,4.85,4.94,4.99,4.81,7933559,601668,
164,2021/9/3,4.91,4.82,4.98,4.81,4875968,601668,
165,2021/9/6,4.84,4.9,5.02,4.84,5429821,601668,
166,2021/9/7,4.89,4.95,4.98,4.86,4072835,601668,
167,2021/9/8,4.95,4.98,5.03,4.92,3564434,601668,
168,2021/9/9,4.99,5.1,5.2,4.93,5873579,601668,
169,2021/9/10,5.15,5.01,5.23,5,6014261,601668,
170,2021/9/13,5,5.04,5.13,4.97,3943900,601668,
171,2021/9/14,5.02,4.84,5.08,4.83,4676003,601668,
172,2021/9/15,4.83,4.8,4.87,4.78,2920703,601668,
173,2021/9/16,4.82,4.7,4.85,4.7,3292220,601668,
