,date,open,close,high,low,volume,code,predict
20,2021/2/1,6.02,6.05,6.12,5.94,1324847,601766,
21,2021/2/2,6.07,6.09,6.24,6,1624283,601766,
22,2021/2/3,6.03,5.83,6.05,5.82,1984198,601766,
23,2021/2/4,5.82,5.87,5.94,5.72,1585927,601766,
24,2021/2/5,5.83,5.78,5.93,5.78,1074393,601766,
25,2021/2/8,5.77,5.76,5.87,5.68,1075763,601766,
26,2021/2/9,5.78,6.01,6.02,5.77,1650068,601766,
27,2021/2/10,6,5.96,6.03,5.92,1130547,601766,
28,2021/2/18,6.24,6.06,6.29,6.05,1541404,601766,
29,2021/2/19,6.05,6.68,6.68,6.03,3260819,601766,
30,2021/2/22,6.83,6.75,7.16,6.66,4140166,601766,
31,2021/2/23,6.66,6.58,7,6.54,2673197,601766,
32,2021/2/24,6.59,6.93,7.07,6.51,2907593,601766,
33,2021/2/25,6.98,7.11,7.24,6.88,3551148,601766,
34,2021/2/26,6.94,6.68,6.99,6.66,2802883,601766,
35,2021/3/1,6.73,6.92,6.97,6.56,2248225,601766,
36,2021/3/2,6.91,6.71,6.91,6.63,1763822,601766,
37,2021/3/3,6.72,6.76,6.86,6.6,1478852,601766,
38,2021/3/4,6.65,6.49,6.68,6.49,1638671,601766,
39,2021/3/5,6.43,6.49,6.64,6.42,1188462,601766,
40,2021/3/8,6.52,6.43,6.64,6.42,1214779,601766,
41,2021/3/9,6.43,6.3,6.52,6.12,1458739,601766,
42,2021/3/10,6.34,6.23,6.44,6.22,844529,601766,
43,2021/3/11,6.23,6.32,6.35,6.23,972600,601766,
44,2021/3/12,6.32,6.51,6.58,6.24,1669529,601766,
45,2021/3/15,6.46,6.5,6.58,6.43,1106128,601766,
46,2021/3/16,6.52,6.49,6.55,6.41,946517,601766,
47,2021/3/17,6.49,6.38,6.49,6.37,705139,601766,
48,2021/3/18,6.37,6.3,6.42,6.29,776682,601766,
49,2021/3/19,6.23,6.12,6.25,6.12,1078258,601766,
50,2021/3/22,6.12,6.21,6.27,6.1,906023,601766,
51,2021/3/23,6.18,6.14,6.27,6.12,664883,601766,
52,2021/3/24,6.12,5.95,6.14,5.93,1184625,601766,
53,2021/3/25,5.95,5.97,6.03,5.93,490633,601766,
54,2021/3/26,5.98,6.08,6.12,5.97,661855,601766,
55,2021/3/29,6.08,6.06,6.14,6.03,600541,601766,
56,2021/3/30,6.07,6.1,6.14,6.03,535192,601766,
57,2021/3/31,6.11,6.24,6.3,6.1,1245995,601766,
58,2021/4/1,6.19,6.16,6.23,6.1,832403,601766,
59,2021/4/2,6.14,6.06,6.15,6.04,617402,601766,
60,2021/4/6,6.05,6.08,6.11,6,819912,601766,
61,2021/4/7,6.06,6.14,6.2,6.03,802532,601766,
62,2021/4/8,6.12,6.02,6.14,6.01,804770,601766,
63,2021/4/9,6.03,6.02,6.09,6,468866,601766,
64,2021/4/12,6.07,6.04,6.11,6.01,585293,601766,
65,2021/4/13,6.03,5.94,6.04,5.93,549666,601766,
66,2021/4/14,5.93,5.99,6.01,5.93,406402,601766,
67,2021/4/15,5.99,5.92,5.99,5.89,477339,601766,
68,2021/4/16,5.93,6.02,6.05,5.93,572656,601766,
69,2021/4/19,6.04,6.12,6.13,6.03,822436,601766,
70,2021/4/20,6.11,6.03,6.11,6.02,625322,601766,
71,2021/4/21,6.02,5.97,6.03,5.96,472224,601766,
72,2021/4/22,5.95,5.97,6.02,5.95,373504,601766,
73,2021/4/23,5.97,5.94,5.97,5.89,575737,601766,
74,2021/4/26,5.93,5.83,5.94,5.82,731191,601766,
75,2021/4/27,5.83,5.83,5.86,5.77,535567,601766,
76,2021/4/28,5.84,5.87,5.91,5.8,465321,601766,
77,2021/4/29,5.87,5.88,5.9,5.83,384765,601766,
78,2021/4/30,5.88,5.79,5.89,5.77,521572,601766,
79,2021/5/6,5.81,5.8,5.86,5.78,463577,601766,
80,2021/5/7,5.8,5.86,5.89,5.79,597237,601766,
81,2021/5/10,5.85,5.81,5.86,5.78,624129,601766,
82,2021/5/11,5.78,5.8,5.81,5.72,643144,601766,
83,2021/5/12,5.78,5.79,5.79,5.74,401743,601766,
