,date,open,close,high,low,volume,code,predict
162,2021/9/1,7.176,7.826,7.826,7.136,1218411,601800,
163,2021/9/2,8.136,8.626,8.626,8.036,3753636,601800,
164,2021/9/3,8.896,8.456,8.906,8.416,3246396,601800,
165,2021/9/6,8.456,8.916,9.326,8.366,3399359,601800,
166,2021/9/7,8.776,9.156,9.506,8.646,2812191,601800,
167,2021/9/8,8.976,9.036,9.196,8.846,2013994,601800,
168,2021/9/9,8.946,9.756,9.776,8.846,2840528,601800,
169,2021/9/10,9.756,9.466,10.206,9.446,2677113,601800,
170,2021/9/13,9.336,9.506,9.646,9.326,1583958,601800,
171,2021/9/14,9.476,9.146,9.486,8.956,1797597,601800,
172,2021/9/15,8.996,8.866,9.176,8.756,1509066,601800,
173,2021/9/16,8.896,8.846,9.096,8.796,1206725,601800,
174,2021/9/17,8.816,8.756,8.936,8.476,1227855,601800,
175,2021/9/22,8.526,9.016,9.176,8.526,1589377,601800,
176,2021/9/23,9.126,9.086,9.306,8.876,1533663,601800,
177,2021/9/24,9.046,8.646,9.156,8.606,1143320,601800,
178,2021/9/27,8.766,8.096,8.826,7.986,1510197,601800,
179,2021/9/28,8.036,8.296,8.346,8.036,863646,601800,
180,2021/9/29,8.256,8.066,8.486,7.956,1054738,601800,
181,2021/9/30,8.026,8.036,8.106,7.846,876470,601800,
182,2021/10/8,8.266,8.106,8.396,7.956,734785,601800,
183,2021/10/11,8.096,7.906,8.116,7.786,733299,601800,
184,2021/10/12,7.816,7.526,7.886,7.446,998907,601800,
185,2021/10/13,7.526,7.546,7.596,7.346,677947,601800,
186,2021/10/14,7.546,7.486,7.586,7.406,565531,601800,
187,2021/10/15,7.476,7.386,7.576,7.356,552675,601800,
188,2021/10/18,7.416,7.476,7.536,7.396,587954,601800,
189,2021/10/19,7.486,7.516,7.616,7.406,601296,601800,
190,2021/10/20,7.496,7.446,7.556,7.426,443425,601800,
191,2021/10/21,7.456,7.446,7.496,7.326,592770,601800,
192,2021/10/22,7.396,7.246,7.496,7.236,618250,601800,
193,2021/10/25,7.206,7.496,7.536,7.166,852545,601800,
194,2021/10/26,7.496,7.426,7.776,7.416,898128,601800,
195,2021/10/27,7.366,7.276,7.546,7.256,548270,601800,
196,2021/10/28,7.266,7.156,7.336,7.126,496048,601800,
197,2021/10/29,7.146,7.196,7.216,7.076,394597,601800,
198,2021/11/1,7.176,7.206,7.216,7.106,451724,601800,
199,2021/11/2,7.176,6.996,7.186,6.896,705918,601800,
200,2021/11/3,6.966,7.026,7.036,6.926,320299,601800,
201,2021/11/4,7.006,6.996,7.026,6.956,320738,601800,
202,2021/11/5,6.996,6.826,7.006,6.826,455968,601800,
203,2021/11/8,6.876,6.836,6.956,6.826,313484,601800,
204,2021/11/9,6.866,6.876,6.886,6.796,279782,601800,
205,2021/11/10,6.856,6.846,6.866,6.726,402627,601800,
206,2021/11/11,6.826,7.076,7.156,6.826,820280,601800,
207,2021/11/12,7.046,6.976,7.056,6.906,495755,601800,
208,2021/11/15,6.976,6.996,7.036,6.936,287360,601800,
209,2021/11/16,7.026,6.916,7.066,6.906,303534,601800,
210,2021/11/17,6.936,6.926,6.966,6.866,216952,601800,
211,2021/11/18,6.906,6.876,6.976,6.876,271180,601800,
212,2021/11/19,6.866,6.926,6.936,6.776,447625,601800,
213,2021/11/22,6.896,6.876,6.926,6.846,338914,601800,
214,2021/11/23,6.866,6.996,7.016,6.836,510392,601800,
215,2021/11/24,6.976,6.956,6.996,6.936,308924,601800,
216,2021/11/25,6.956,6.986,7.016,6.926,292584,601800,
217,2021/11/26,6.966,6.866,6.976,6.866,285565,601800,
218,2021/11/29,6.776,6.836,6.926,6.746,309623,601800,
219,2021/11/30,6.846,6.846,6.946,6.816,256068,601800,
220,2021/12/1,6.806,6.896,6.906,6.796,189018,601800,
221,2021/12/2,6.876,7.236,7.346,6.866,1071043,601800,
222,2021/12/3,7.246,7.516,7.606,7.126,1299283,601800,
223,2021/12/6,7.526,7.376,7.576,7.346,906080,601800,
224,2021/12/7,7.456,7.816,7.826,7.416,1438801,601800,8.017
225,2021/12/8,7.746,7.806,7.886,7.616,1015482,601800,7.9325347
226,2021/12/9,7.716,7.786,7.836,7.706,716294,601800,7.9354796
227,2021/12/10,7.786,7.626,7.996,7.626,932440,601800,7.9542627
228,2021/12/13,7.786,7.836,8.206,7.696,1536441,601800,7.9181747
229,2021/12/14,7.726,7.596,7.756,7.566,656360,601800,7.880652
230,2021/12/15,7.586,7.716,7.856,7.586,692978,601800,7.910888
231,2021/12/16,7.766,7.916,8.036,7.736,700986,601800,7.937066
232,2021/12/17,7.966,7.936,8.186,7.906,801510,601800,7.893336
233,2021/12/20,7.846,8.266,8.396,7.816,1354666,601800,7.967379
234,2021/12/21,8.176,8.466,8.546,8.076,1113543,601800,7.980883
235,2021/12/22,8.446,8.366,8.486,8.256,666587,601800,8.025739
236,2021/12/23,8.336,8.396,8.446,8.286,491173,601800,8.067564
237,2021/12/24,8.386,8.156,8.386,8.126,645382,601800,8.121044
238,2021/12/27,8.126,8.266,8.296,8.096,533921,601800,8.129245
239,2021/12/28,8.276,8.176,8.336,7.966,782578,601800,8.140437
240,2021/12/29,8.186,8.006,8.226,8.006,452779,601800,8.093993
241,2021/12/30,8.016,8.156,8.176,7.996,485835,601800,8.071022
242,2021/12/31,8.116,8.376,8.446,8.106,610688,601800,8.022311
243,2022/1/3,,,,,,,7.9394627
244,2022/1/4,,,,,,,7.8535376
