,date,open,close,high,low,volume,code,predict
97,2021/6/1,3.419,3.399,3.419,3.369,1416787,601818,
98,2021/6/2,3.399,3.389,3.419,3.369,1412057,601818,
99,2021/6/3,3.389,3.379,3.409,3.369,1048979,601818,
100,2021/6/4,3.379,3.389,3.419,3.369,1333921,601818,
101,2021/6/7,3.419,3.439,3.459,3.399,1650265,601818,
102,2021/6/8,3.429,3.459,3.479,3.419,1438303,601818,
103,2021/6/9,3.449,3.419,3.449,3.409,1129666,601818,
104,2021/6/10,3.409,3.409,3.439,3.399,905222,601818,
105,2021/6/11,3.409,3.419,3.429,3.389,1073039,601818,
106,2021/6/15,3.409,3.379,3.419,3.379,841387,601818,
107,2021/6/16,3.379,3.389,3.409,3.369,785026,601818,
108,2021/6/17,3.389,3.389,3.399,3.369,681361,601818,
109,2021/6/18,3.379,3.399,3.399,3.369,787051,601818,
110,2021/6/21,3.389,3.379,3.399,3.369,716396,601818,
111,2021/6/22,3.379,3.379,3.399,3.369,829965,601818,
112,2021/6/23,3.379,3.369,3.389,3.359,788729,601818,
113,2021/6/24,3.379,3.379,3.389,3.359,684224,601818,
114,2021/6/25,3.369,3.399,3.419,3.369,982009,601818,
115,2021/6/28,3.409,3.379,3.419,3.369,747647,601818,
116,2021/6/29,3.379,3.359,3.389,3.359,742249,601818,
117,2021/6/30,3.369,3.369,3.379,3.359,476242,601818,
118,2021/7/1,3.369,3.369,3.389,3.359,725147,601818,
119,2021/7/2,3.369,3.349,3.379,3.339,772459,601818,
120,2021/7/5,3.339,3.299,3.349,3.299,1298787,601818,
121,2021/7/6,3.299,3.299,3.319,3.279,924360,601818,
122,2021/7/7,3.299,3.289,3.309,3.279,689902,601818,
123,2021/7/8,3.299,3.249,3.299,3.229,1332174,601818,
124,2021/7/9,3.239,3.209,3.249,3.199,1222989,601818,
125,2021/7/12,3.229,3.209,3.239,3.199,947356,601818,
126,2021/7/13,3.219,3.239,3.249,3.199,910435,601818,
127,2021/7/14,3.239,3.199,3.239,3.199,931930,601818,
128,2021/7/15,3.209,3.239,3.249,3.199,1023365,601818,
129,2021/7/16,3.229,3.239,3.249,3.219,746388,601818,
130,2021/7/19,3.239,3.239,3.249,3.199,903167,601818,
131,2021/7/20,3.229,3.239,3.249,3.219,901382,601818,
132,2021/7/21,3.259,3.229,3.279,3.229,1102467,601818,
133,2021/7/22,3.229,3.249,3.279,3.229,754763,601818,
134,2021/7/23,3.249,3.239,3.259,3.229,739088,601818,
135,2021/7/26,3.229,3.189,3.239,3.179,903417,601818,
136,2021/7/27,3.199,3.129,3.199,3.119,1195437,601818,
137,2021/7/28,3.129,3.139,3.159,3.129,896498,601818,
138,2021/7/29,3.139,3.109,3.149,3.099,756724,601818,
139,2021/7/30,3.109,3.099,3.109,3.069,605928,601818,
140,2021/8/2,3.089,3.129,3.149,3.059,1303603,601818,
141,2021/8/3,3.119,3.119,3.129,3.089,789499,601818,
142,2021/8/4,3.119,3.089,3.129,3.079,764212,601818,
143,2021/8/5,3.099,3.089,3.119,3.079,566957,601818,
144,2021/8/6,3.089,3.099,3.109,3.069,506953,601818,
145,2021/8/9,3.089,3.139,3.159,3.089,886844,601818,
146,2021/8/10,3.139,3.169,3.189,3.119,894849,601818,
147,2021/8/11,3.159,3.199,3.219,3.159,939804,601818,
148,2021/8/12,3.199,3.169,3.199,3.169,533303,601818,
149,2021/8/13,3.179,3.149,3.179,3.149,548141,601818,
150,2021/8/16,3.159,3.189,3.199,3.159,657672,601818,
151,2021/8/17,3.179,3.169,3.209,3.159,669913,601818,
