,date,open,close,high,low,volume,code,predict
35,2021/3/1,4.076,4.056,4.086,4.016,1125002,601857,
36,2021/3/2,4.026,3.956,4.036,3.946,1581205,601857,
37,2021/3/3,3.966,3.996,4.016,3.946,1037069,601857,
38,2021/3/4,4.006,4.016,4.056,3.996,1207978,601857,
39,2021/3/5,4.076,4.106,4.116,4.026,2121771,601857,
40,2021/3/8,4.216,4.196,4.266,4.176,3174768,601857,
41,2021/3/9,4.166,4.156,4.206,4.096,1981757,601857,
42,2021/3/10,4.146,4.076,4.156,4.076,1169710,601857,
43,2021/3/11,4.106,4.126,4.136,4.076,1066022,601857,
44,2021/3/12,4.146,4.136,4.166,4.096,1081477,601857,
45,2021/3/15,4.116,4.196,4.206,4.116,1434318,601857,
46,2021/3/16,4.176,4.156,4.186,4.126,929659,601857,
47,2021/3/17,4.136,4.126,4.136,4.076,928780,601857,
48,2021/3/18,4.116,4.096,4.126,4.096,776134,601857,
49,2021/3/19,4.006,4.006,4.046,3.986,1461098,601857,
50,2021/3/22,3.996,4.046,4.046,3.986,751876,601857,
51,2021/3/23,4.036,4.006,4.036,3.996,637298,601857,
52,2021/3/24,3.976,3.956,3.986,3.946,880911,601857,
53,2021/3/25,3.986,3.966,4.006,3.966,653114,601857,
54,2021/3/26,3.976,3.976,3.996,3.956,591740,601857,
55,2021/3/29,3.996,3.986,4.026,3.976,855421,601857,
56,2021/3/30,3.996,3.986,4.006,3.976,690643,601857,
57,2021/3/31,3.976,3.986,3.996,3.956,731929,601857,
58,2021/4/1,3.986,3.966,3.986,3.956,602538,601857,
59,2021/4/2,3.986,3.966,3.986,3.956,655117,601857,
60,2021/4/6,3.956,3.936,3.966,3.926,636932,601857,
61,2021/4/7,3.926,3.956,3.966,3.926,692010,601857,
62,2021/4/8,3.946,3.946,3.966,3.936,614596,601857,
63,2021/4/9,3.936,3.956,3.976,3.936,709024,601857,
64,2021/4/12,3.956,3.966,3.986,3.946,713422,601857,
65,2021/4/13,3.966,3.936,3.976,3.916,727180,601857,
66,2021/4/14,3.936,3.936,3.946,3.916,473144,601857,
67,2021/4/15,3.956,3.956,3.956,3.936,610204,601857,
68,2021/4/16,3.956,3.996,4.006,3.946,842987,601857,
69,2021/4/19,3.996,3.976,3.996,3.966,928417,601857,
70,2021/4/20,3.966,3.956,3.976,3.946,551239,601857,
71,2021/4/21,3.946,3.916,3.956,3.916,815961,601857,
72,2021/4/22,3.926,3.856,3.926,3.836,1629497,601857,
73,2021/4/23,3.856,3.856,3.866,3.836,568130,601857,
74,2021/4/26,3.856,3.856,3.876,3.846,554343,601857,
75,2021/4/27,3.856,3.826,3.856,3.806,599983,601857,
76,2021/4/28,3.826,3.856,3.856,3.816,456538,601857,
77,2021/4/29,3.866,3.886,3.896,3.856,698191,601857,
78,2021/4/30,3.936,3.936,3.956,3.906,1384814,601857,
79,2021/5/6,3.966,4.066,4.096,3.956,2700550,601857,
80,2021/5/7,4.066,4.126,4.136,4.046,2453754,601857,
81,2021/5/10,4.156,4.266,4.276,4.156,3213358,601857,
82,2021/5/11,4.236,4.246,4.256,4.186,2211700,601857,
83,2021/5/12,4.246,4.376,4.376,4.236,2463119,601857,
84,2021/5/13,4.376,4.376,4.396,4.306,2053805,601857,
85,2021/5/14,4.326,4.336,4.366,4.266,2032162,601857,
86,2021/5/17,4.366,4.346,4.416,4.326,1572319,601857,
87,2021/5/18,4.396,4.556,4.576,4.376,2864499,601857,
88,2021/5/19,4.536,4.486,4.536,4.446,1462802,601857,
89,2021/5/20,4.396,4.346,4.396,4.296,1802003,601857,
90,2021/5/21,4.306,4.376,4.386,4.296,1305720,601857,
91,2021/5/24,4.396,4.306,4.416,4.286,1365567,601857,
92,2021/5/25,4.356,4.406,4.426,4.346,1662661,601857,
93,2021/5/26,4.396,4.366,4.396,4.346,997478,601857,
94,2021/5/27,4.356,4.326,4.386,4.326,1045859,601857,
95,2021/5/28,4.356,4.356,4.396,4.336,781853,601857,
96,2021/5/31,4.346,4.306,4.346,4.286,884064,601857,
97,2021/6/1,4.316,4.396,4.406,4.296,1284599,601857,
98,2021/6/2,4.416,4.396,4.456,4.366,1322939,601857,
99,2021/6/3,4.446,4.436,4.506,4.426,1328689,601857,
100,2021/6/4,4.396,4.376,4.416,4.336,1111744,601857,
101,2021/6/7,4.416,4.436,4.446,4.406,1068026,601857,
102,2021/6/8,4.416,4.406,4.436,4.386,809200,601857,
103,2021/6/9,4.446,4.576,4.586,4.436,2286462,601857,
104,2021/6/10,4.536,4.596,4.626,4.526,1464946,601857,
105,2021/6/11,4.616,4.876,4.996,4.606,4398713,601857,
106,2021/6/15,4.896,4.916,5.036,4.836,3298848,601857,
107,2021/6/16,5.016,4.996,5.116,4.896,3272438,601857,
108,2021/6/17,4.936,4.916,4.936,4.786,2822193,601857,
109,2021/6/18,4.836,4.836,4.896,4.776,1966820,601857,
110,2021/6/21,4.886,4.796,4.906,4.746,1862333,601857,
111,2021/6/22,4.886,5.066,5.136,4.876,3011015,601857,
112,2021/6/23,5.066,5.066,5.106,4.976,1797703,601857,
113,2021/6/24,5.066,5.076,5.106,5.006,1323524,601857,
114,2021/6/25,5.086,5.096,5.236,5.026,2171730,601857,
115,2021/6/28,5.166,5.036,5.206,5.036,1604964,601857,
116,2021/6/29,4.993,5.013,5.083,4.873,1660826,601857,
117,2021/6/30,5.023,5.063,5.083,4.973,1041356,601857,
118,2021/7/1,5.083,5.013,5.093,4.943,1318342,601857,
119,2021/7/2,5.123,5.003,5.213,4.983,2282634,601857,
120,2021/7/5,4.983,4.963,5.013,4.853,1685007,601857,
121,2021/7/6,5.013,5.023,5.043,4.983,1084489,601857,
122,2021/7/7,4.883,4.893,4.933,4.833,1767700,601857,
123,2021/7/8,4.823,4.763,4.863,4.713,2014392,601857,
124,2021/7/9,4.793,4.763,4.823,4.713,1403228,601857,
125,2021/7/12,4.823,4.703,4.833,4.693,1511921,601857,
126,2021/7/13,4.703,4.723,4.773,4.653,1302438,601857,
127,2021/7/14,4.723,4.653,4.733,4.633,1326311,601857,
128,2021/7/15,4.573,4.633,4.673,4.533,1635330,601857,
129,2021/7/16,4.593,4.593,4.633,4.573,1094563,601857,
130,2021/7/19,4.583,4.513,4.583,4.463,1323065,601857,
131,2021/7/20,4.423,4.473,4.483,4.353,1895540,601857,
132,2021/7/21,4.473,4.453,4.493,4.403,919568,601857,
133,2021/7/22,4.523,4.513,4.613,4.493,1681879,601857,
134,2021/7/23,4.513,4.483,4.573,4.473,1138084,601857,
135,2021/7/26,4.483,4.403,4.493,4.373,1409861,601857,
136,2021/7/27,4.423,4.473,4.553,4.413,1852509,601857,
137,2021/7/28,4.423,4.423,4.503,4.353,1562981,601857,
138,2021/7/29,4.443,4.413,4.453,4.373,1267603,601857,
139,2021/7/30,4.413,4.453,4.503,4.373,1206529,601857,
140,2021/8/2,4.423,4.443,4.453,4.323,1454451,601857,
141,2021/8/3,4.373,4.353,4.403,4.343,1280180,601857,
142,2021/8/4,4.353,4.383,4.403,4.333,829719,601857,
143,2021/8/5,4.343,4.333,4.373,4.323,999712,601857,
144,2021/8/6,4.343,4.323,4.353,4.283,940953,601857,
145,2021/8/9,4.283,4.313,4.343,4.273,800721,601857,
146,2021/8/10,4.303,4.323,4.333,4.273,898600,601857,
147,2021/8/11,4.343,4.383,4.413,4.343,1433989,601857,
148,2021/8/12,4.383,4.373,4.413,4.343,937874,601857,
149,2021/8/13,4.373,4.323,4.383,4.313,953219,601857,
150,2021/8/16,4.313,4.373,4.393,4.293,1284904,601857,
151,2021/8/17,4.363,4.303,4.393,4.283,1414046,601857,
152,2021/8/18,4.283,4.313,4.323,4.253,1145507,601857,
153,2021/8/19,4.273,4.213,4.283,4.203,1410525,601857,
154,2021/8/20,4.203,4.173,4.223,4.143,1324970,601857,
155,2021/8/23,4.163,4.203,4.233,4.163,1002811,601857,
156,2021/8/24,4.263,4.283,4.293,4.243,1345910,601857,
157,2021/8/25,4.313,4.383,4.383,4.273,1369775,601857,
158,2021/8/26,4.383,4.423,4.473,4.363,1588485,601857,
159,2021/8/27,4.443,4.503,4.503,4.423,1648295,601857,
160,2021/8/30,4.553,4.633,4.653,4.543,2403491,601857,
161,2021/8/31,4.613,4.713,4.723,4.553,2166718,601857,
162,2021/9/1,4.733,4.703,4.773,4.643,1773358,601857,
163,2021/9/2,4.693,4.733,4.763,4.663,1471801,601857,
164,2021/9/3,4.793,4.823,4.853,4.783,1800424,601857,
165,2021/9/6,4.803,4.783,4.873,4.773,1338878,601857,
166,2021/9/7,4.793,4.903,4.923,4.773,2047435,601857,
167,2021/9/8,4.873,4.933,5.003,4.853,1431153,601857,
168,2021/9/9,4.933,5.043,5.103,4.923,2552545,601857,
169,2021/9/10,5.013,4.963,5.073,4.933,2113731,601857,
170,2021/9/13,5.033,5.273,5.283,5.013,3914450,601857,
171,2021/9/14,5.303,5.483,5.763,5.233,6600459,601857,
172,2021/9/15,5.393,5.763,5.883,5.373,5927286,601857,
173,2021/9/16,5.923,5.723,5.963,5.633,5418312,601857,
