,date,open,close,high,low,volume,code,predict
1,2020/1/3,87.78,87.76,88,86.77,70270,601888,
2,2020/1/6,87,86.78,88.69,86.28,68575,601888,
3,2020/1/7,87.52,87.69,88.66,87.5,55208,601888,
4,2020/1/8,86.83,88.08,88.66,86.46,70121,601888,
5,2020/1/9,88.77,90.78,91.5,88.66,88167,601888,
6,2020/1/10,91.96,91.12,91.96,90.83,56159,601888,
7,2020/1/13,87.78,87.78,89.51,86.88,205279,601888,
8,2020/1/14,88.58,85.62,88.73,85.09,144294,601888,
9,2020/1/15,85.62,86.14,86.37,85.19,64136,601888,
10,2020/1/16,86.59,87.17,87.61,85.7,69959,601888,
11,2020/1/17,87.62,86.63,88.08,86.09,67499,601888,
12,2020/1/20,86.93,83.68,87.08,81.93,209408,601888,
13,2020/1/21,82.46,80.53,82.46,79.78,232072,601888,
14,2020/1/22,79.78,81.36,82.14,79.39,123340,601888,
15,2020/1/23,79.78,78.78,80.31,77.18,248091,601888,
16,2020/2/3,70.58,70.58,70.58,70.58,202001,601888,
17,2020/2/4,70.58,71.86,73.58,70.28,308469,601888,
18,2020/2/5,74.48,74.56,75.25,72.92,259335,601888,
19,2020/2/6,75.68,77.58,77.58,75,202305,601888,
20,2020/2/7,77.05,76.98,77.38,75.06,173476,601888,
21,2020/2/10,76.28,75.78,77.06,75.29,134697,601888,
22,2020/2/11,76.3,76.83,77.18,75.75,137075,601888,
23,2020/2/12,76.78,77.18,77.5,76.28,91286,601888,
24,2020/2/13,77.26,75.94,77.26,75.48,127488,601888,
25,2020/2/14,75.4,77.72,78.21,75.4,131659,601888,
26,2020/2/17,77.72,78.03,78.59,77.55,143153,601888,
27,2020/2/18,78.08,76.98,78.38,76.38,131840,601888,
28,2020/2/19,76.53,80.09,80.2,76.19,182784,601888,
29,2020/2/20,81.62,82.58,83.61,81.38,226742,601888,
30,2020/2/21,82.5,81.85,82.98,81.27,115521,601888,
31,2020/2/24,80.38,79.75,81.85,79.51,170001,601888,
32,2020/2/25,78.74,78.62,78.76,77.55,127635,601888,
33,2020/2/26,77.66,76.98,78.06,76.61,147424,601888,
34,2020/2/27,77.36,77.23,78.79,76.78,166170,601888,
35,2020/2/28,73.21,75.28,76.78,73.21,174421,601888,
36,2020/3/2,74.83,75.17,76.05,73.66,141896,601888,
37,2020/3/3,76.28,75.95,76.76,75.17,142904,601888,
38,2020/3/4,75.95,75.84,76.58,74.45,113274,601888,
39,2020/3/5,76.68,80.89,81.61,76.68,258300,601888,
40,2020/3/6,79.88,80.05,81.38,79.48,122065,601888,
41,2020/3/9,78.38,75.91,78.38,75.12,188819,601888,
42,2020/3/10,75.78,78.26,79.66,75.4,115434,601888,
43,2020/3/11,77.9,79.44,81.58,76.9,183675,601888,
44,2020/3/12,77.76,75.86,78.36,75.66,140499,601888,
45,2020/3/13,71.78,80.37,81.28,71.78,287941,601888,
46,2020/3/16,79.28,74.58,79.37,74.58,203655,601888,
47,2020/3/17,74.53,74,76.68,71.58,119813,601888,
48,2020/3/18,74.48,72.16,75.07,70.9,126317,601888,
49,2020/3/19,70.64,68.7,72.77,66.84,157135,601888,
50,2020/3/20,70.06,72.38,73.28,69.58,161599,601888,
51,2020/3/23,69.93,68.93,71.38,68.28,120420,601888,
52,2020/3/24,70.28,70.05,72.63,68.91,131747,601888,
53,2020/3/25,72.58,71.58,73.06,68.98,260637,601888,
54,2020/3/26,69.9,69.68,70.92,69.16,135378,601888,
55,2020/3/27,70.4,69.2,70.48,68.83,100273,601888,
56,2020/3/30,67.78,64.73,68.05,63.28,240120,601888,
57,2020/3/31,65.35,63.98,65.35,63.95,111436,601888,
58,2020/4/1,64.03,65.31,67.02,63.8,135308,601888,
59,2020/4/2,65.28,68.61,68.78,64.89,124682,601888,
60,2020/4/3,68.73,69.41,71.19,68.61,121980,601888,
61,2020/4/7,72.08,72.33,72.76,71.4,183501,601888,
62,2020/4/8,71.43,72.4,74.22,71.42,115076,601888,
63,2020/4/9,72.85,74.28,74.46,72.13,75962,601888,
64,2020/4/10,73.98,74.1,76.62,73.35,76182,601888,
65,2020/4/13,73.28,75.21,75.73,73.19,75413,601888,
66,2020/4/14,75.78,76.17,76.32,74.5,131620,601888,
67,2020/4/15,76.13,73.38,76.13,72.38,121155,601888,
68,2020/4/16,72.63,73.78,74.08,72.34,71206,601888,
69,2020/4/17,75.78,78.08,79.35,75.78,193457,601888,
70,2020/4/20,78.96,79.58,80.47,77.15,142136,601888,
71,2020/4/21,79.77,79,80.06,77.63,94106,601888,
72,2020/4/22,80.06,82.7,83.13,79.33,211734,601888,
73,2020/4/23,85.28,83.34,85.78,82.58,157356,601888,
74,2020/4/24,83.17,84.47,85.53,83.17,98170,601888,
75,2020/4/27,84.64,83.18,85.14,82.32,91161,601888,
76,2020/4/28,82.69,86.4,87.38,82.36,144491,601888,
77,2020/4/29,86.12,87.08,88.58,86.12,101543,601888,
78,2020/4/30,87.38,88.08,90.57,85.78,98585,601888,
79,2020/5/6,86.28,87.03,88.22,86.08,159248,601888,
80,2020/5/7,87.22,87.98,88.22,85.89,73743,601888,
81,2020/5/8,89.78,89.46,90.38,88,78600,601888,
82,2020/5/11,89.66,85.68,90.27,85.44,143757,601888,
83,2020/5/12,86.62,87.22,88.58,86.47,129353,601888,
84,2020/5/13,87.28,86.77,87.96,86.28,68164,601888,
85,2020/5/14,85.9,85.63,86.58,85.28,62146,601888,
86,2020/5/15,86.07,84.35,86.52,84.14,90573,601888,
87,2020/5/18,84.67,84.28,85.48,84.26,73919,601888,
88,2020/5/19,85.48,86.18,88.19,84.98,128089,601888,
89,2020/5/20,86.16,84.44,87.43,84.14,87943,601888,
90,2020/5/21,85.28,84.56,85.6,83.83,80926,601888,
91,2020/5/22,84.79,82.95,85.68,82.32,125278,601888,
92,2020/5/25,83.56,85.57,86.72,82.68,110381,601888,
93,2020/5/26,86.66,92.8,93.65,86.6,183132,601888,
94,2020/5/27,92.06,93.38,93.42,90.47,125821,601888,
95,2020/5/28,93.98,91.78,94.27,90.87,121149,601888,
96,2020/5/29,91.34,98.01,98.01,90.53,187179,601888,
97,2020/6/1,98.28,98.96,101.32,96,159126,601888,
98,2020/6/2,100.68,96.65,102.15,96.22,260914,601888,
99,2020/6/3,98.78,98.96,99.44,94.86,130163,601888,
100,2020/6/4,97.78,96.7,98.53,96.68,79008,601888,
101,2020/6/5,96.64,103.19,104.86,96.64,174327,601888,
102,2020/6/8,101.88,102.96,104.98,101.03,92119,601888,
103,2020/6/9,102.78,106.78,108.78,101.78,99914,601888,
104,2020/6/10,102.78,103.12,104.78,99.46,238111,601888,
105,2020/6/11,101.78,105.73,107.84,100.77,156897,601888,
106,2020/6/12,104.58,116.63,116.63,104.24,200100,601888,
107,2020/6/15,116.79,116.78,125.28,115.53,241210,601888,
108,2020/6/16,118.68,123.28,123.35,115.68,127969,601888,
109,2020/6/17,122.27,121.66,122.88,119.58,98758,601888,
110,2020/6/18,120.78,125.86,126.26,119.38,111603,601888,
111,2020/6/19,124.22,127.59,128.18,122.28,128414,601888,
112,2020/6/22,126.8,123.03,127.09,121.38,129406,601888,
113,2020/6/23,122.98,123.28,126.28,120.5,117054,601888,
114,2020/6/24,124.33,124.08,126.55,122.28,108089,601888,
115,2020/6/29,123.71,136.81,136.81,121.99,168839,601888,
116,2020/6/30,143.28,150.81,150.81,141.88,292303,601888,
117,2020/7/1,154.93,164.06,164.96,151.68,290701,601888,
118,2020/7/2,162.78,162.92,169.97,158.78,239326,601888,
119,2020/7/3,162.78,179.53,179.53,162.28,233984,601888,
120,2020/7/6,185.01,197.81,197.81,178.78,183000,601888,
121,2020/7/7,210.78,189.18,215.66,183.8,460523,601888,
122,2020/7/8,181.78,192.64,196.18,178.86,414108,601888,
123,2020/7/9,187.78,190.57,193.64,183.78,271546,601888,
124,2020/7/10,188.18,200.27,209.72,184.3,316848,601888,
125,2020/7/13,202.78,191.45,204.78,183.78,320542,601888,
126,2020/7/14,185.62,186.78,193.75,185.59,229319,601888,
127,2020/7/15,186.88,187.31,192.46,183.29,265085,601888,
128,2020/7/16,187.51,168.5,189.3,168.5,313732,601888,
129,2020/7/17,177.5,185.6,185.6,177.5,290002,601888,
130,2020/7/20,189.49,193.5,201.89,186.91,281397,601888,
131,2020/7/21,191.5,194.25,197.8,187.5,174129,601888,
132,2020/7/22,197.47,204.11,213.93,193.51,328083,601888,
133,2020/7/23,201.5,224.77,224.77,198.66,341294,601888,
134,2020/7/24,223.5,202.04,226,202.04,413670,601888,
