,date,open,close,high,low,volume,code,predict
118,2021/7/1,5.96,6.06,6.06,5.94,1087543,601939,
119,2021/7/2,6.01,5.99,6.01,5.94,768407,601939,
120,2021/7/5,5.97,5.95,5.98,5.89,897862,601939,
121,2021/7/6,5.94,6,6.01,5.91,722133,601939,
122,2021/7/7,6.01,5.98,6.04,5.95,630027,601939,
123,2021/7/8,5.97,5.88,5.99,5.86,1426341,601939,
124,2021/7/9,5.86,5.79,5.88,5.76,1213477,601939,
125,2021/7/12,5.83,5.69,5.85,5.67,1622916,601939,
126,2021/7/13,5.7,5.7,5.72,5.65,1226345,601939,
127,2021/7/14,5.7,5.61,5.7,5.61,1336664,601939,
128,2021/7/15,5.626,5.696,5.716,5.596,1371567,601939,
129,2021/7/16,5.686,5.696,5.716,5.646,675968,601939,
130,2021/7/19,5.686,5.666,5.696,5.616,729659,601939,
131,2021/7/20,5.656,5.626,5.666,5.616,694571,601939,
132,2021/7/21,5.636,5.566,5.656,5.546,1116322,601939,
133,2021/7/22,5.566,5.586,5.616,5.536,912186,601939,
134,2021/7/23,5.586,5.556,5.586,5.536,923115,601939,
135,2021/7/26,5.546,5.496,5.556,5.466,968666,601939,
136,2021/7/27,5.496,5.436,5.506,5.416,926642,601939,
137,2021/7/28,5.436,5.516,5.516,5.416,1070669,601939,
138,2021/7/29,5.516,5.456,5.536,5.436,773674,601939,
139,2021/7/30,5.436,5.396,5.446,5.366,908010,601939,
140,2021/8/2,5.376,5.426,5.446,5.316,921017,601939,
141,2021/8/3,5.416,5.376,5.426,5.356,644323,601939,
142,2021/8/4,5.376,5.346,5.406,5.346,699408,601939,
143,2021/8/5,5.346,5.336,5.376,5.326,636527,601939,
144,2021/8/6,5.336,5.316,5.336,5.276,704675,601939,
145,2021/8/9,5.316,5.376,5.436,5.296,1065247,601939,
146,2021/8/10,5.386,5.466,5.476,5.356,904777,601939,
147,2021/8/11,5.496,5.626,5.686,5.486,1816949,601939,
148,2021/8/12,5.596,5.566,5.626,5.556,608431,601939,
149,2021/8/13,5.576,5.546,5.586,5.536,451542,601939,
150,2021/8/16,5.566,5.536,5.596,5.526,593159,601939,
151,2021/8/17,5.546,5.546,5.586,5.506,869918,601939,
152,2021/8/18,5.526,5.626,5.646,5.516,1402862,601939,
153,2021/8/19,5.606,5.566,5.606,5.536,875045,601939,
154,2021/8/20,5.566,5.566,5.596,5.536,1013722,601939,
155,2021/8/23,5.556,5.556,5.586,5.536,529524,601939,
156,2021/8/24,5.556,5.566,5.586,5.546,578260,601939,
157,2021/8/25,5.576,5.526,5.576,5.516,626635,601939,
158,2021/8/26,5.516,5.506,5.536,5.486,549406,601939,
159,2021/8/27,5.496,5.486,5.526,5.486,566171,601939,
160,2021/8/30,5.506,5.406,5.506,5.386,914507,601939,
161,2021/8/31,5.416,5.486,5.486,5.396,904414,601939,
162,2021/9/1,5.476,5.586,5.626,5.476,1463360,601939,
163,2021/9/2,5.576,5.596,5.616,5.556,717930,601939,
164,2021/9/3,5.596,5.646,5.676,5.556,1166856,601939,
165,2021/9/6,5.636,5.636,5.666,5.616,721746,601939,
166,2021/9/7,5.636,5.706,5.736,5.616,1215284,601939,
167,2021/9/8,5.706,5.856,5.876,5.696,2095146,601939,
168,2021/9/9,5.816,5.866,5.926,5.756,1657141,601939,
169,2021/9/10,5.866,5.906,5.986,5.856,1759594,601939,
170,2021/9/13,5.896,5.926,5.936,5.826,1422086,601939,
171,2021/9/14,5.916,5.786,5.946,5.766,1347641,601939,
