,date,open,close,high,low,volume,code,predict
58,2021/4/1,2.932,2.912,2.932,2.902,1890368,601988,
59,2021/4/2,2.912,2.892,2.922,2.882,1397313,601988,
60,2021/4/6,2.892,2.882,2.902,2.872,1478734,601988,
61,2021/4/7,2.882,2.892,2.902,2.872,2062779,601988,
62,2021/4/8,2.892,2.882,2.892,2.882,1239303,601988,
63,2021/4/9,2.892,2.892,2.892,2.882,1248207,601988,
64,2021/4/12,2.892,2.912,2.912,2.882,1616637,601988,
65,2021/4/13,2.912,2.902,2.922,2.892,1305931,601988,
66,2021/4/14,2.902,2.902,2.912,2.892,1160397,601988,
67,2021/4/15,2.892,2.882,2.902,2.882,953823,601988,
68,2021/4/16,2.892,2.902,2.902,2.882,1024468,601988,
69,2021/4/19,2.902,2.902,2.912,2.892,1243944,601988,
70,2021/4/20,2.902,2.892,2.912,2.882,1206588,601988,
71,2021/4/21,2.892,2.892,2.902,2.882,808858,601988,
72,2021/4/22,2.902,2.872,2.902,2.862,1580101,601988,
73,2021/4/23,2.872,2.852,2.882,2.852,1101118,601988,
74,2021/4/26,2.862,2.832,2.862,2.832,1260551,601988,
75,2021/4/27,2.832,2.832,2.842,2.822,981259,601988,
76,2021/4/28,2.832,2.832,2.842,2.822,909351,601988,
77,2021/4/29,2.832,2.862,2.872,2.822,1479396,601988,
78,2021/4/30,2.862,2.832,2.872,2.822,1603655,601988,
79,2021/5/6,2.842,2.842,2.862,2.832,1408883,601988,
80,2021/5/7,2.832,2.862,2.862,2.832,1742503,601988,
81,2021/5/10,2.862,2.842,2.862,2.832,1507135,601988,
82,2021/5/11,2.842,2.852,2.852,2.832,1001318,601988,
83,2021/5/12,2.842,2.862,2.872,2.842,1608610,601988,
84,2021/5/13,2.852,2.862,2.862,2.842,1331762,601988,
85,2021/5/14,2.862,2.872,2.872,2.852,1381322,601988,
86,2021/5/17,2.862,2.862,2.882,2.862,1672326,601988,
87,2021/5/18,2.872,2.862,2.872,2.852,1048191,601988,
88,2021/5/19,2.862,2.852,2.862,2.852,968107,601988,
89,2021/5/20,2.862,2.862,2.862,2.852,1219959,601988,
90,2021/5/21,2.862,2.862,2.872,2.852,1485196,601988,
91,2021/5/24,2.862,2.872,2.872,2.852,1350404,601988,
92,2021/5/25,2.872,2.902,2.902,2.862,2170452,601988,
93,2021/5/26,2.902,2.902,2.902,2.882,1416513,601988,
94,2021/5/27,2.892,2.892,2.912,2.892,1649366,601988,
95,2021/5/28,2.902,2.922,2.922,2.892,2391545,601988,
96,2021/5/31,2.922,2.912,2.932,2.882,2489595,601988,
97,2021/6/1,2.902,2.922,2.932,2.892,2045122,601988,
98,2021/6/2,2.922,2.942,2.942,2.902,2904250,601988,
99,2021/6/3,2.942,2.932,2.962,2.922,3820831,601988,
100,2021/6/4,2.949,2.939,2.949,2.929,2753626,601988,
101,2021/6/7,2.949,2.919,2.949,2.899,2564211,601988,
102,2021/6/8,2.909,2.909,2.919,2.889,2148917,601988,
103,2021/6/9,2.909,2.909,2.909,2.889,1559372,601988,
104,2021/6/10,2.899,2.879,2.909,2.879,2031435,601988,
105,2021/6/11,2.879,2.859,2.889,2.859,2641528,601988,
106,2021/6/15,2.859,2.849,2.869,2.849,1694357,601988,
107,2021/6/16,2.849,2.869,2.879,2.849,1803828,601988,
108,2021/6/17,2.859,2.859,2.879,2.859,1309840,601988,
109,2021/6/18,2.859,2.839,2.869,2.839,1639909,601988,
110,2021/6/21,2.839,2.849,2.859,2.839,1172562,601988,
111,2021/6/22,2.849,2.849,2.859,2.839,930629,601988,
112,2021/6/23,2.849,2.849,2.859,2.839,875408,601988,
113,2021/6/24,2.849,2.849,2.859,2.839,823244,601988,
114,2021/6/25,2.859,2.869,2.879,2.849,1265417,601988,
115,2021/6/28,2.869,2.859,2.879,2.859,967219,601988,
116,2021/6/29,2.859,2.859,2.869,2.849,875760,601988,
117,2021/6/30,2.859,2.859,2.859,2.849,607037,601988,
118,2021/7/1,2.859,2.859,2.869,2.849,1021638,601988,
119,2021/7/2,2.859,2.859,2.869,2.849,1396733,601988,
120,2021/7/5,2.849,2.859,2.859,2.849,869428,601988,
121,2021/7/6,2.859,2.869,2.869,2.849,1161960,601988,
122,2021/7/7,2.869,2.859,2.869,2.849,863284,601988,
123,2021/7/8,2.859,2.849,2.859,2.839,1373624,601988,
124,2021/7/9,2.839,2.849,2.859,2.839,997913,601988,
125,2021/7/12,2.859,2.839,2.859,2.839,1219712,601988,
126,2021/7/13,2.839,2.829,2.849,2.829,1314055,601988,
127,2021/7/14,2.839,2.809,2.839,2.809,1557135,601988,
128,2021/7/15,2.809,2.819,2.829,2.799,922700,601988,
129,2021/7/16,2.819,2.829,2.829,2.809,847802,601988,
130,2021/7/19,2.819,2.819,2.829,2.809,965184,601988,
131,2021/7/20,2.819,2.819,2.829,2.809,749300,601988,
132,2021/7/21,2.819,2.819,2.829,2.809,769705,601988,
