,date,open,close,high,low,volume,code,predict
0,2021/1/4,4.22,4.28,4.31,4.18,1730383,601989,
1,2021/1/5,4.25,4.24,4.32,4.22,1330757,601989,
2,2021/1/6,4.26,4.34,4.42,4.23,2267619,601989,
3,2021/1/7,4.3,4.33,4.39,4.23,1815752,601989,
4,2021/1/8,4.3,4.25,4.32,4.22,1235161,601989,
5,2021/1/11,4.26,4.22,4.32,4.21,1139262,601989,
6,2021/1/12,4.2,4.44,4.44,4.2,2407267,601989,
7,2021/1/13,4.41,4.57,4.65,4.38,3327111,601989,
8,2021/1/14,4.5,4.47,4.74,4.45,2749875,601989,
9,2021/1/15,4.45,4.41,4.48,4.32,1659761,601989,
10,2021/1/18,4.41,4.5,4.54,4.39,1207424,601989,
11,2021/1/19,4.49,4.39,4.49,4.36,949943,601989,
12,2021/1/20,4.37,4.36,4.42,4.35,649014,601989,
13,2021/1/21,4.34,4.33,4.37,4.32,753504,601989,
14,2021/1/22,4.33,4.21,4.33,4.19,1077863,601989,
15,2021/1/25,4.21,4.16,4.25,4.15,717634,601989,
16,2021/1/26,4.13,4.09,4.13,4.06,907366,601989,
17,2021/1/27,4.1,4.08,4.13,4.08,527787,601989,
18,2021/1/28,4.07,4.1,4.17,4.06,530565,601989,
19,2021/1/29,4.1,4.08,4.13,4.05,610790,601989,
20,2021/2/1,4.03,4.04,4.06,4.01,525175,601989,
21,2021/2/2,4.03,4.07,4.08,4.03,396904,601989,
22,2021/2/3,4.06,4.04,4.09,4.03,393302,601989,
23,2021/2/4,4.04,3.98,4.05,3.94,690495,601989,
24,2021/2/5,3.98,4.02,4.03,3.97,417031,601989,
25,2021/2/8,4.02,4.05,4.05,3.99,405703,601989,
26,2021/2/9,4.04,4.09,4.1,4.02,550890,601989,
27,2021/2/10,4.07,4.09,4.1,4.06,436130,601989,
28,2021/2/18,4.13,4.14,4.17,4.12,598803,601989,
29,2021/2/19,4.13,4.21,4.21,4.12,588151,601989,
30,2021/2/22,4.2,4.23,4.33,4.19,1125851,601989,
31,2021/2/23,4.21,4.21,4.28,4.2,694259,601989,
32,2021/2/24,4.22,4.17,4.26,4.14,645917,601989,
33,2021/2/25,4.19,4.19,4.23,4.17,673113,601989,
34,2021/2/26,4.14,4.12,4.17,4.11,619581,601989,
35,2021/3/1,4.14,4.14,4.15,4.12,458180,601989,
36,2021/3/2,4.15,4.11,4.17,4.09,503002,601989,
37,2021/3/3,4.11,4.16,4.16,4.1,428132,601989,
38,2021/3/4,4.15,4.18,4.21,4.14,743759,601989,
39,2021/3/5,4.16,4.2,4.21,4.13,585168,601989,
40,2021/3/8,4.21,4.14,4.24,4.14,693018,601989,
41,2021/3/9,4.13,4.1,4.15,4.05,657039,601989,
42,2021/3/10,4.1,4.06,4.13,4.05,456444,601989,
43,2021/3/11,4.07,4.1,4.1,4.05,478957,601989,
44,2021/3/12,4.09,4.1,4.12,4.06,541151,601989,
45,2021/3/15,4.09,4.12,4.15,4.07,505086,601989,
46,2021/3/16,4.12,4.11,4.13,4.08,406785,601989,
47,2021/3/17,4.1,4.11,4.14,4.09,505404,601989,
48,2021/3/18,4.1,4.08,4.12,4.08,431357,601989,
49,2021/3/19,4.07,4.09,4.1,4.05,454216,601989,
50,2021/3/22,4.08,4.1,4.11,4.06,407163,601989,
51,2021/3/23,4.1,4.08,4.1,4.06,387188,601989,
52,2021/3/24,4.06,4.06,4.09,4.05,402240,601989,
53,2021/3/25,4.06,4.05,4.08,4.05,311845,601989,
54,2021/3/26,4.05,4.06,4.08,4.05,289880,601989,
55,2021/3/29,4.06,4.07,4.1,4.05,434018,601989,
56,2021/3/30,4.07,4.08,4.12,4.06,621078,601989,
57,2021/3/31,4.08,4.09,4.12,4.07,482537,601989,
58,2021/4/1,4.09,4.08,4.11,4.07,350380,601989,
59,2021/4/2,4.08,4.07,4.09,4.05,393850,601989,
60,2021/4/6,4.1,4.19,4.29,4.1,1526021,601989,
61,2021/4/7,4.2,4.25,4.32,4.16,1352741,601989,
62,2021/4/8,4.23,4.17,4.23,4.16,781406,601989,
63,2021/4/9,4.17,4.17,4.22,4.15,514799,601989,
64,2021/4/12,4.18,4.15,4.22,4.14,554224,601989,
65,2021/4/13,4.15,4.1,4.16,4.09,462360,601989,
66,2021/4/14,4.1,4.12,4.13,4.08,421238,601989,
67,2021/4/15,4.11,4.12,4.14,4.09,381276,601989,
68,2021/4/16,4.13,4.2,4.24,4.12,788648,601989,
69,2021/4/19,4.2,4.19,4.24,4.17,857095,601989,
70,2021/4/20,4.17,4.18,4.21,4.17,592036,601989,
71,2021/4/21,4.16,4.13,4.17,4.13,422961,601989,
72,2021/4/22,4.14,4.13,4.16,4.12,369520,601989,
73,2021/4/23,4.13,4.09,4.14,4.08,463503,601989,
74,2021/4/26,4.09,4.11,4.18,4.09,603583,601989,
75,2021/4/27,4.09,4.11,4.12,4.06,421872,601989,
76,2021/4/28,4.11,4.1,4.12,4.08,378891,601989,
77,2021/4/29,4.09,4.08,4.12,4.07,408319,601989,
78,2021/4/30,4.09,4.09,4.12,4.06,591988,601989,
79,2021/5/6,4.1,4.19,4.24,4.09,1085850,601989,
80,2021/5/7,4.19,4.19,4.25,4.16,997602,601989,
81,2021/5/10,4.18,4.23,4.23,4.16,984400,601989,
82,2021/5/11,4.21,4.24,4.24,4.18,695078,601989,
83,2021/5/12,4.24,4.2,4.24,4.16,617552,601989,
84,2021/5/13,4.17,4.19,4.23,4.16,597867,601989,
85,2021/5/14,4.19,4.23,4.23,4.16,891197,601989,
86,2021/5/17,4.23,4.21,4.23,4.19,609704,601989,
87,2021/5/18,4.23,4.24,4.28,4.21,1035267,601989,
88,2021/5/19,4.23,4.21,4.23,4.18,700903,601989,
89,2021/5/20,4.2,4.22,4.24,4.18,761300,601989,
90,2021/5/21,4.21,4.19,4.23,4.18,568239,601989,
91,2021/5/24,4.18,4.19,4.22,4.18,575285,601989,
92,2021/5/25,4.18,4.23,4.23,4.15,899686,601989,
93,2021/5/26,4.22,4.24,4.29,4.22,914110,601989,
94,2021/5/27,4.24,4.22,4.25,4.2,666063,601989,
95,2021/5/28,4.22,4.19,4.23,4.17,693426,601989,
96,2021/5/31,4.18,4.16,4.2,4.15,777097,601989,
97,2021/6/1,4.16,4.16,4.16,4.14,640864,601989,
98,2021/6/2,4.15,4.11,4.16,4.1,742683,601989,
99,2021/6/3,4.11,4.11,4.14,4.1,533004,601989,
100,2021/6/4,4.11,4.12,4.14,4.1,476295,601989,
101,2021/6/7,4.13,4.12,4.14,4.11,461044,601989,
102,2021/6/8,4.12,4.14,4.15,4.09,742092,601989,
103,2021/6/9,4.14,4.11,4.15,4.11,542131,601989,
104,2021/6/10,4.11,4.11,4.12,4.09,663974,601989,
105,2021/6/11,4.1,4.09,4.11,4.08,827077,601989,
106,2021/6/15,4.09,4.08,4.11,4.08,560226,601989,
107,2021/6/16,4.08,4.08,4.1,4.07,458703,601989,
108,2021/6/17,4.08,4.08,4.1,4.07,415881,601989,
109,2021/6/18,4.07,4.08,4.09,4.06,433259,601989,
110,2021/6/21,4.07,4.11,4.11,4.07,577045,601989,
111,2021/6/22,4.1,4.11,4.12,4.09,605657,601989,
112,2021/6/23,4.1,4.09,4.11,4.08,433103,601989,
113,2021/6/24,4.08,4.09,4.11,4.07,480963,601989,
114,2021/6/25,4.09,4.11,4.12,4.07,603351,601989,
115,2021/6/28,4.11,4.09,4.12,4.08,475371,601989,
116,2021/6/29,4.09,4.08,4.11,4.07,461815,601989,
117,2021/6/30,4.08,4.12,4.13,4.07,650194,601989,
118,2021/7/1,4.13,4.1,4.14,4.09,774446,601989,
119,2021/7/2,4.14,4.16,4.21,4.13,1296632,601989,
120,2021/7/5,4.16,4.17,4.21,4.14,762392,601989,
121,2021/7/6,4.16,4.14,4.17,4.12,564728,601989,
122,2021/7/7,4.14,4.12,4.15,4.11,470034,601989,
123,2021/7/8,4.11,4.09,4.12,4.09,565459,601989,
124,2021/7/9,4.09,4.09,4.1,4.07,552165,601989,
125,2021/7/12,4.11,4.09,4.11,4.08,668497,601989,
126,2021/7/13,4.09,4.09,4.1,4.07,658328,601989,
127,2021/7/14,4.08,4.04,4.09,4.03,741731,601989,
128,2021/7/15,4.03,4.03,4.05,4,656816,601989,
129,2021/7/16,4.03,4.04,4.06,3.99,860835,601989,
130,2021/7/19,4.03,3.99,4.04,3.99,710533,601989,
131,2021/7/20,3.98,4.01,4.03,3.97,477575,601989,
132,2021/7/21,4.02,4.01,4.03,3.99,545568,601989,
133,2021/7/22,4,4.01,4.02,3.98,561671,601989,
134,2021/7/23,4.01,4.06,4.07,3.99,990269,601989,
135,2021/7/26,4.04,3.94,4.1,3.94,2436674,601989,
136,2021/7/27,3.93,3.85,3.97,3.85,1962759,601989,
137,2021/7/28,3.84,3.8,3.85,3.78,975423,601989,
138,2021/7/29,3.83,3.83,3.83,3.8,610971,601989,
139,2021/7/30,3.82,3.81,3.83,3.79,625404,601989,
140,2021/8/2,3.81,3.91,3.92,3.79,961347,601989,
141,2021/8/3,3.9,3.89,3.95,3.88,715408,601989,
142,2021/8/4,3.88,3.9,3.91,3.87,597827,601989,
143,2021/8/5,3.9,4.11,4.2,3.88,3022281,601989,
144,2021/8/6,4.07,4.05,4.13,4.03,1499164,601989,
145,2021/8/9,4.06,4.04,4.1,4.02,862615,601989,
146,2021/8/10,4.03,4.07,4.09,4.02,946955,601989,
147,2021/8/11,4.06,4.04,4.08,4.03,875313,601989,
148,2021/8/12,4.05,4.01,4.07,4.01,648357,601989,
149,2021/8/13,4.02,4.02,4.11,3.99,1759412,601989,
150,2021/8/16,4.02,4.01,4.09,4,922250,601989,
151,2021/8/17,4.01,4,4.05,3.99,983997,601989,
152,2021/8/18,4,4.02,4.03,3.97,796782,601989,
153,2021/8/19,4.01,4,4.02,3.98,826256,601989,
154,2021/8/20,3.98,3.95,4.01,3.93,1095028,601989,
155,2021/8/23,3.95,4.03,4.05,3.94,1352669,601989,
156,2021/8/24,4.01,4.05,4.06,3.99,1312747,601989,
157,2021/8/25,4.04,4.24,4.32,4.03,4139542,601989,
158,2021/8/26,4.21,4.29,4.4,4.18,4035210,601989,
159,2021/8/27,4.27,4.2,4.32,4.19,1980753,601989,
160,2021/8/30,4.26,4.16,4.32,4.13,2001420,601989,
161,2021/8/31,4.15,4.37,4.44,4.13,3482750,601989,
162,2021/9/1,4.37,4.5,4.65,4.36,4006262,601989,
163,2021/9/2,4.53,4.47,4.55,4.38,2805608,601989,
164,2021/9/3,4.46,4.34,4.47,4.31,2781535,601989,
165,2021/9/6,4.36,4.4,4.44,4.34,1994233,601989,
166,2021/9/7,4.4,4.62,4.68,4.37,3819329,601989,
167,2021/9/8,4.58,4.65,4.74,4.55,3298181,601989,
168,2021/9/9,4.61,4.78,4.88,4.56,3958181,601989,
169,2021/9/10,4.78,4.67,4.88,4.66,3294940,601989,
170,2021/9/13,4.65,4.85,4.92,4.61,3091330,601989,
171,2021/9/14,4.82,4.64,4.85,4.62,2802520,601989,
172,2021/9/15,4.64,4.64,4.71,4.6,1633119,601989,
173,2021/9/16,4.65,4.52,4.74,4.5,2270050,601989,
174,2021/9/17,4.6,4.57,4.66,4.44,2013618,601989,
175,2021/9/22,4.5,4.81,4.85,4.45,3572282,601989,
176,2021/9/23,4.78,5.02,5.08,4.77,4432450,601989,
177,2021/9/24,5,4.89,5.05,4.84,2377585,601989,
178,2021/9/27,4.87,4.59,4.9,4.5,2770687,601989,
179,2021/9/28,4.56,4.6,4.67,4.52,1560907,601989,
180,2021/9/29,4.55,4.4,4.56,4.35,1803341,601989,
181,2021/9/30,4.41,4.41,4.48,4.37,1022508,601989,
182,2021/10/8,4.49,4.47,4.56,4.43,1043547,601989,
183,2021/10/11,4.44,4.43,4.49,4.36,1222031,601989,
184,2021/10/12,4.39,4.26,4.42,4.21,1509076,601989,
185,2021/10/13,4.25,4.3,4.32,4.2,1054104,601989,
186,2021/10/14,4.29,4.29,4.33,4.27,715790,601989,
187,2021/10/15,4.29,4.25,4.32,4.25,634320,601989,
188,2021/10/18,4.24,4.29,4.33,4.23,883207,601989,
189,2021/10/19,4.27,4.27,4.3,4.23,742521,601989,
190,2021/10/20,4.25,4.25,4.29,4.21,812613,601989,
191,2021/10/21,4.24,4.17,4.28,4.16,1002009,601989,
192,2021/10/22,4.16,4.19,4.28,4.15,941208,601989,
193,2021/10/25,4.17,4.24,4.24,4.15,737211,601989,
194,2021/10/26,4.23,4.19,4.24,4.16,655739,601989,
195,2021/10/27,4.23,4.14,4.24,4.12,814701,601989,
196,2021/10/28,4.1,4.06,4.14,4.03,933242,601989,
197,2021/10/29,4.06,4.14,4.15,4.04,837733,601989,
198,2021/11/1,4.12,4.13,4.17,4.1,693494,601989,
199,2021/11/2,4.15,4.43,4.49,4.13,3129520,601989,
200,2021/11/3,4.3,4.26,4.31,4.22,1792807,601989,
201,2021/11/4,4.24,4.26,4.3,4.18,1201296,601989,
202,2021/11/5,4.24,4.13,4.24,4.12,1141000,601989,
203,2021/11/8,4.11,4.13,4.13,4.08,676534,601989,
204,2021/11/9,4.12,4.17,4.2,4.08,940224,601989,
205,2021/11/10,4.15,4.16,4.21,4.12,830542,601989,
206,2021/11/11,4.14,4.17,4.19,4.14,727986,601989,
207,2021/11/12,4.16,4.21,4.23,4.15,1003114,601989,
208,2021/11/15,4.2,4.24,4.36,4.18,1377770,601989,
209,2021/11/16,4.22,4.15,4.25,4.14,942020,601989,
210,2021/11/17,4.14,4.16,4.19,4.11,705403,601989,
211,2021/11/18,4.14,4.18,4.21,4.13,750422,601989,
212,2021/11/19,4.17,4.19,4.21,4.14,698157,601989,
213,2021/11/22,4.17,4.19,4.22,4.16,760222,601989,
214,2021/11/23,4.18,4.24,4.27,4.17,1162996,601989,
215,2021/11/24,4.23,4.21,4.26,4.2,742578,601989,
216,2021/11/25,4.21,4.17,4.22,4.16,669573,601989,
217,2021/11/26,4.16,4.14,4.17,4.13,675722,601989,
218,2021/11/29,4.1,4.11,4.14,4.08,777092,601989,
219,2021/11/30,4.11,4.17,4.23,4.1,1321294,601989,
220,2021/12/1,4.15,4.15,4.16,4.13,775569,601989,
221,2021/12/2,4.15,4.16,4.19,4.13,889495,601989,
222,2021/12/3,4.16,4.19,4.21,4.15,1032504,601989,
223,2021/12/6,4.2,4.19,4.26,4.17,1251448,601989,
224,2021/12/7,4.2,4.17,4.21,4.14,1083439,601989,4.2551265
225,2021/12/8,4.17,4.24,4.25,4.16,1521969,601989,4.253267
226,2021/12/9,4.23,4.28,4.29,4.21,1481584,601989,4.251899
227,2021/12/10,4.26,4.28,4.28,4.23,991329,601989,4.245188
228,2021/12/13,4.28,4.24,4.31,4.23,978833,601989,4.216906
229,2021/12/14,4.24,4.27,4.28,4.23,950822,601989,4.2171044
230,2021/12/15,4.25,4.25,4.33,4.24,904705,601989,4.2150784
231,2021/12/16,4.25,4.25,4.27,4.23,847412,601989,4.218768
232,2021/12/17,4.26,4.24,4.3,4.23,888215,601989,4.2092724
233,2021/12/20,4.23,4.18,4.24,4.18,959559,601989,4.21721
234,2021/12/21,4.18,4.22,4.22,4.17,850815,601989,4.225828
235,2021/12/22,4.22,4.2,4.22,4.19,584698,601989,4.2289495
236,2021/12/23,4.2,4.18,4.21,4.17,628083,601989,4.2323194
237,2021/12/24,4.17,4.14,4.18,4.13,809904,601989,4.235683
238,2021/12/27,4.14,4.16,4.16,4.13,553100,601989,4.2325716
239,2021/12/28,4.14,4.17,4.18,4.14,561760,601989,4.2314367
240,2021/12/29,4.21,4.21,4.31,4.2,1526251,601989,4.2319894
241,2021/12/30,4.19,4.22,4.24,4.18,953990,601989,4.233635
242,2021/12/31,4.21,4.22,4.23,4.2,761446,601989,4.2239876
243,2022/1/3,,,,,,,4.2197185
244,2022/1/4,,,,,,,4.21562
