,date,open,close,high,low,volume,code,predict
79,2020/5/6,58.509,58.646,59.093,57.849,178050,603259,
80,2020/5/7,58.652,59.271,59.789,58.325,131756,603259,
81,2020/5/8,59.503,60.646,60.855,59.105,137519,603259,
82,2020/5/11,60.884,60.17,61.087,59.521,143412,603259,
83,2020/5/12,60.146,62.134,62.134,59.706,162417,603259,
84,2020/5/13,62.075,64.581,64.789,61.444,164400,603259,
85,2020/5/14,63.884,64.587,65.319,63.682,89180,603259,
86,2020/5/15,65.027,64.057,65.158,63.265,80337,603259,
87,2020/5/18,64.003,64.831,65.825,63.86,102737,603259,
88,2020/5/19,65.349,65.182,65.944,63.265,98837,603259,
89,2020/5/20,65.17,64.128,65.17,63.795,76212,603259,
90,2020/5/21,64.741,64.456,65.539,64.146,90342,603259,
91,2020/5/22,64.218,61.866,64.337,61.539,115158,603259,
92,2020/5/25,61.86,62.67,62.837,61.182,66675,603259,
93,2020/5/26,64.39,64.158,64.456,63.081,77160,603259,
94,2020/5/27,64.438,61.14,64.45,60.89,118611,603259,
95,2020/5/28,61.122,60.099,61.599,59.105,133029,603259,
96,2020/5/29,60.301,62.372,62.664,60.301,106117,603259,
97,2020/6/1,63.265,63.908,64.682,62.849,103397,603259,
98,2020/6/2,63.98,63.98,64.253,62.718,98536,603259,
99,2020/6/3,64.277,66.051,66.051,63.98,147577,603259,
100,2020/6/4,66.722,67.013,67.938,66.705,139823,603259,
101,2020/6/5,66.68,67.322,67.53,65.847,122546,603259,
102,2020/6/8,67.68,65.43,67.913,64.822,217383,603259,
103,2020/6/9,65.43,65.763,66.422,65.23,123641,603259,
104,2020/6/10,65.68,66.938,67.513,65.68,139840,603259,
105,2020/6/11,66.93,66.922,68.538,66.33,142767,603259,
106,2020/6/12,66.18,68.497,68.963,66.013,179394,603259,
107,2020/6/15,68.38,67.972,69.372,67.93,142400,603259,
108,2020/6/16,68.763,69.347,69.705,68.013,158231,603259,
109,2020/6/17,69.347,70.055,71.58,69.338,160625,603259,
110,2020/6/18,70.055,69.763,70.813,68.555,140094,603259,
111,2020/6/19,70.638,73.497,74.28,70.372,243361,603259,
112,2020/6/22,73.455,73.997,74.597,72.688,145072,603259,
113,2020/6/23,73.763,76.747,76.755,73.347,189491,603259,
114,2020/6/24,76.747,79.08,79.588,75.288,177222,603259,
115,2020/6/29,78.18,79.988,80.397,77.755,179776,603259,
116,2020/6/30,79.988,79.68,81.013,78.513,149642,603259,
117,2020/7/1,80.763,78.155,80.763,75.513,212193,603259,
118,2020/7/2,77.93,76.68,78.763,76.03,174986,603259,
119,2020/7/3,76.438,79.072,79.247,75.938,172896,603259,
120,2020/7/6,77.93,77.513,78.347,76.747,283737,603259,
121,2020/7/7,77.097,78.947,80.563,76.322,246068,603259,
122,2020/7/8,78.655,79.947,81.713,78.605,172031,603259,
123,2020/7/9,80.313,83.605,83.763,79.18,204557,603259,
124,2020/7/10,83.347,83.605,86.263,82.347,137556,603259,
125,2020/7/13,84.18,86.68,87.488,84.03,183840,603259,
126,2020/7/14,86.172,85.413,86.172,82.797,174750,603259,
127,2020/7/15,86.513,88.18,89.555,85.847,228082,603259,
128,2020/7/16,88.347,82.997,90.847,82.68,229752,603259,
129,2020/7/17,83.055,84.422,86.48,82.513,179124,603259,
130,2020/7/20,86.672,83.088,86.672,80.497,161830,603259,
131,2020/7/21,85.013,90.438,90.913,84.28,282313,603259,
132,2020/7/22,89.18,90.447,91.713,88.355,182883,603259,
133,2020/7/23,90.263,94.997,96.838,90.013,217415,603259,
134,2020/7/24,94.288,88.388,94.597,87.563,219667,603259,
135,2020/7/27,88.763,88.163,90.722,86.638,137139,603259,
136,2020/7/28,89.613,89.93,90.247,86.597,136405,603259,
137,2020/7/29,88.347,90.513,91.372,86.78,204751,603259,
138,2020/7/30,90.43,90.863,94.313,90.105,158438,603259,
139,2020/7/31,91.222,93.347,94.18,90.513,146523,603259,
140,2020/8/3,93.397,93.288,94.538,91.73,134991,603259,
141,2020/8/4,93.597,94.397,97.097,93.438,146054,603259,
142,2020/8/5,94.188,96.68,97.888,93.022,146667,603259,
143,2020/8/6,96.68,94.513,97.83,93.605,149814,603259,
144,2020/8/7,94.013,92.43,95.238,89.93,178964,603259,
145,2020/8/10,92.313,93.513,94.588,90.597,148415,603259,
146,2020/8/11,93.355,93.555,97.38,93.355,132585,603259,
147,2020/8/12,92.813,90.138,93.963,87.513,187186,603259,
148,2020/8/13,90.263,88.455,91.138,87.43,120649,603259,
149,2020/8/14,89.18,89.08,92.08,85.013,209300,603259,
150,2020/8/17,88.588,88.272,89.072,86.58,163939,603259,
151,2020/8/18,88.447,90.08,91.13,87.688,144562,603259,
152,2020/8/19,89.597,87.747,90.58,87.63,95877,603259,
153,2020/8/20,87.663,87.105,88.488,85.83,116126,603259,
154,2020/8/21,87.988,87.097,88.597,86.355,98454,603259,
155,2020/8/24,87.872,87.088,88.097,85.43,125528,603259,
156,2020/8/25,87.022,87.922,88.072,86.263,115876,603259,
157,2020/8/26,87.18,88.263,90.747,86.772,193223,603259,
158,2020/8/27,88.68,89.43,89.505,86.572,120072,603259,
159,2020/8/28,90.005,91.68,92.005,87.222,225786,603259,
160,2020/8/31,93.138,90.772,93.247,90.43,191930,603259,
161,2020/9/1,90.28,88.913,91.055,88.772,177861,603259,
162,2020/9/2,88.905,90.755,91.147,87.947,199858,603259,
163,2020/9/3,90.513,89.288,92.58,88.597,237886,603259,
164,2020/9/4,88.13,86.863,88.13,85.055,185244,603259,
165,2020/9/7,86.072,82.897,86.847,82.897,162704,603259,
166,2020/9/8,82.772,83.247,84.155,81.838,133810,603259,
167,2020/9/9,82.013,80.997,82.18,80.147,117916,603259,
168,2020/9/10,82.488,80.755,82.488,80.005,141827,603259,
169,2020/9/11,80.263,81.013,81.447,80.105,94174,603259,
170,2020/9/14,81.013,80.513,81.58,79.597,136150,603259,
171,2020/9/15,80.722,81.43,81.597,80.405,108761,603259,
172,2020/9/16,81.438,80.263,82.305,79.68,111889,603259,
173,2020/9/17,80.263,78.58,80.413,77.438,158981,603259,
174,2020/9/18,78.763,79.663,79.83,78.022,131592,603259,
175,2020/9/21,80.455,78.522,80.822,78.305,103230,603259,
176,2020/9/22,78.522,78.372,80.022,78.255,110495,603259,
177,2020/9/23,79.113,80.847,81.68,78.813,162777,603259,
178,2020/9/24,80.513,79.88,80.83,79.18,103666,603259,
179,2020/9/25,81.68,80.822,82.088,80.188,183767,603259,
180,2020/9/28,81.255,79.68,81.53,79.097,108386,603259,
181,2020/9/29,80.047,83.013,84.03,79.73,170131,603259,
182,2020/9/30,83.563,83.763,85.847,83.18,133959,603259,
183,2020/10/9,85.013,85.588,86.388,84.18,116836,603259,
