,date,open,close,high,low,volume,code,predict
79,2020/5/6,3.363,3.503,3.533,3.363,2384655,603993,
80,2020/5/7,3.463,3.463,3.533,3.453,1456490,603993,
81,2020/5/8,3.503,3.503,3.553,3.443,1373494,603993,
82,2020/5/11,3.503,3.433,3.513,3.423,1053165,603993,
83,2020/5/12,3.403,3.393,3.433,3.343,773635,603993,
84,2020/5/13,3.373,3.403,3.453,3.353,811048,603993,
85,2020/5/14,3.393,3.323,3.403,3.323,845176,603993,
86,2020/5/15,3.353,3.333,3.373,3.313,611825,603993,
87,2020/5/18,3.353,3.413,3.443,3.303,1119599,603993,
88,2020/5/19,3.433,3.403,3.443,3.383,695490,603993,
89,2020/5/20,3.413,3.403,3.463,3.393,904155,603993,
90,2020/5/21,3.393,3.343,3.403,3.333,649221,603993,
91,2020/5/22,3.333,3.273,3.333,3.253,741946,603993,
92,2020/5/25,3.273,3.223,3.303,3.203,920911,603993,
93,2020/5/26,3.233,3.273,3.273,3.223,464401,603993,
94,2020/5/27,3.263,3.233,3.273,3.223,447301,603993,
95,2020/5/28,3.243,3.283,3.293,3.233,663425,603993,
96,2020/5/29,3.263,3.273,3.323,3.243,695816,603993,
97,2020/6/1,3.303,3.393,3.393,3.283,1100387,603993,
98,2020/6/2,3.393,3.373,3.413,3.353,930348,603993,
99,2020/6/3,3.383,3.353,3.393,3.343,738796,603993,
100,2020/6/4,3.373,3.533,3.563,3.343,3195558,603993,
101,2020/6/5,3.513,3.463,3.523,3.433,1389380,603993,
102,2020/6/8,3.483,3.563,3.633,3.463,2383063,603993,
103,2020/6/9,3.573,3.573,3.623,3.523,1310646,603993,
104,2020/6/10,3.553,3.473,3.573,3.463,1036437,603993,
105,2020/6/11,3.503,3.463,3.563,3.443,1092715,603993,
106,2020/6/12,3.383,3.423,3.443,3.363,905440,603993,
107,2020/6/15,3.423,3.373,3.443,3.353,903206,603993,
108,2020/6/16,3.423,3.623,3.713,3.393,3742362,603993,
109,2020/6/17,3.643,3.633,3.763,3.603,2949557,603993,
110,2020/6/18,3.633,3.633,3.713,3.583,1721880,603993,
111,2020/6/19,3.653,3.643,3.703,3.613,1902581,603993,
112,2020/6/22,3.653,3.633,3.713,3.603,1697417,603993,
113,2020/6/23,3.633,3.593,3.653,3.563,1271038,603993,
114,2020/6/24,3.573,3.553,3.603,3.533,1147303,603993,
115,2020/6/29,3.543,3.513,3.583,3.483,990982,603993,
116,2020/6/30,3.526,3.566,3.606,3.516,876627,603993,
117,2020/7/1,3.576,3.646,3.676,3.566,1538729,603993,
118,2020/7/2,3.646,3.766,3.776,3.616,2727319,603993,
119,2020/7/3,3.816,3.966,4.146,3.806,4047613,603993,
120,2020/7/6,4.036,4.246,4.256,4.006,4643607,603993,
121,2020/7/7,4.326,4.206,4.426,4.146,4406335,603993,
122,2020/7/8,4.196,4.336,4.376,4.126,4231788,603993,
123,2020/7/9,4.346,4.416,4.446,4.296,3590753,603993,
124,2020/7/10,4.346,4.186,4.376,4.176,3252056,603993,
125,2020/7/13,4.296,4.616,4.616,4.286,4644250,603993,
126,2020/7/14,4.616,4.596,4.746,4.476,5629092,603993,
127,2020/7/15,4.676,4.306,4.716,4.226,4451855,603993,
128,2020/7/16,4.306,4.026,4.366,4.006,3185033,603993,
129,2020/7/17,4.016,4.016,4.096,3.946,2039103,603993,
130,2020/7/20,4.076,4.396,4.416,4.046,3477183,603993,
131,2020/7/21,4.476,4.356,4.496,4.296,2164101,603993,
132,2020/7/22,4.496,4.336,4.556,4.316,2732141,603993,
133,2020/7/23,4.286,4.336,4.426,4.246,2327963,603993,
134,2020/7/24,4.316,4.116,4.316,4.076,2520685,603993,
135,2020/7/27,4.126,4.286,4.366,4.116,2922445,603993,
136,2020/7/28,4.446,4.426,4.626,4.356,4678312,603993,
137,2020/7/29,4.436,4.446,4.466,4.326,2694807,603993,
138,2020/7/30,4.526,4.366,4.546,4.356,2797721,603993,
139,2020/7/31,4.256,4.296,4.346,4.206,2834422,603993,
140,2020/8/3,4.326,4.436,4.446,4.256,3083808,603993,
141,2020/8/4,4.586,4.576,4.696,4.486,4998931,603993,
142,2020/8/5,4.546,4.746,4.796,4.426,5969028,603993,
143,2020/8/6,4.766,4.816,4.906,4.676,5633057,603993,
144,2020/8/7,4.796,4.656,4.806,4.596,3738590,603993,
145,2020/8/10,4.546,4.466,4.556,4.406,3651775,603993,
146,2020/8/11,4.446,4.326,4.506,4.296,2452007,603993,
147,2020/8/12,4.246,4.276,4.306,4.096,2655711,603993,
148,2020/8/13,4.246,4.206,4.266,4.166,1342458,603993,
149,2020/8/14,4.186,4.246,4.276,4.166,1083398,603993,
150,2020/8/17,4.256,4.366,4.376,4.216,2099393,603993,
151,2020/8/18,4.386,4.346,4.436,4.326,1737563,603993,
152,2020/8/19,4.356,4.316,4.416,4.316,1816493,603993,
153,2020/8/20,4.446,4.376,4.506,4.356,2568285,603993,
154,2020/8/21,4.376,4.376,4.436,4.296,1839958,603993,
155,2020/8/24,4.366,4.296,4.366,4.256,1481000,603993,
156,2020/8/25,4.296,4.176,4.306,4.146,1760972,603993,
157,2020/8/26,4.146,4.056,4.216,4.036,1520101,603993,
158,2020/8/27,4.066,4.086,4.096,3.996,1313219,603993,
159,2020/8/28,4.066,4.126,4.126,4.026,1415980,603993,
160,2020/8/31,4.166,4.176,4.286,4.166,2053941,603993,
161,2020/9/1,4.156,4.266,4.276,4.136,1743691,603993,
162,2020/9/2,4.226,4.126,4.236,4.096,2017961,603993,
163,2020/9/3,4.126,4.086,4.146,4.066,900313,603993,
164,2020/9/4,4.026,4.066,4.076,3.996,801202,603993,
165,2020/9/7,4.046,4.016,4.126,3.996,1214872,603993,
166,2020/9/8,4.016,3.996,4.036,3.906,1371626,603993,
167,2020/9/9,3.936,3.916,3.966,3.896,1140669,603993,
168,2020/9/10,3.966,3.906,3.996,3.896,1087256,603993,
169,2020/9/11,3.896,3.876,3.926,3.826,1079743,603993,
170,2020/9/14,3.876,3.926,3.976,3.876,896022,603993,
171,2020/9/15,3.926,3.946,3.966,3.906,744229,603993,
172,2020/9/16,3.946,3.936,3.966,3.886,839696,603993,
173,2020/9/17,3.916,3.886,3.936,3.866,936429,603993,
174,2020/9/18,3.896,4.006,4.016,3.886,1489106,603993,
175,2020/9/21,4.026,3.966,4.036,3.946,951958,603993,
176,2020/9/22,3.936,3.876,3.946,3.846,1232532,603993,
177,2020/9/23,3.856,3.836,3.876,3.826,677921,603993,
178,2020/9/24,3.806,3.706,3.806,3.696,1120420,603993,
179,2020/9/25,3.726,3.656,3.736,3.616,962898,603993,
180,2020/9/28,3.666,3.616,3.686,3.606,620735,603993,
181,2020/9/29,3.646,3.646,3.676,3.636,609528,603993,
182,2020/9/30,3.656,3.616,3.656,3.576,801789,603993,
183,2020/10/9,3.716,3.776,3.796,3.696,1068098,603993,
184,2020/10/12,3.816,3.856,3.866,3.786,1058878,603993,
185,2020/10/13,3.856,3.846,3.856,3.806,621616,603993,
186,2020/10/14,3.836,3.786,3.846,3.776,641205,603993,
187,2020/10/15,3.786,3.786,3.826,3.776,516572,603993,
188,2020/10/16,3.796,3.796,3.826,3.776,603570,603993,
